ID,Text,Classe,Text_Lem,Homophobia,sexism,Racism,Normal,Manual Analysis (MA)
34,@obsurfer84 @teenage Let people look at the polls that Muslims answered and see that they come from hate. http://t.co/j2BAMNBzi4,1,obsurfer84 teenage let people look poll muslim answered see come hate http //t.co/j2bamnbzi4,1,0,1,0,1
35,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime I just gave you the proof from the Quran and the Hadiths that you are lying.,1,qoloob4 vandaliser sajid_fairooz israeliregime gave proof quran hadith lying,0,0,1,0,1
36,@MaxBlumenthal Here are the verses from Quran and Hadith proving genocidal aim of the Muslim biggots. http://t.co/pF8iwpdb1d,1,maxblumenthal verse quran hadith proving genocidal aim muslim biggots http //t.co/pf8iwpdb1d,1,0,1,0,1
38,@truaemusic @mattybboi83 @Number10gov Not masked. The Quran and the Hadith declared war on humanity 1400 years ago. http://t.co/tuOWg1ltyj,1,truaemusic mattybboi83 number10gov masked quran hadith declared war humanity 1400 year ago http //t.co/tuowg1ltyj,0,0,0,1,1
39,RT @IronmanL1: The Jihad of Words:how words in Islam are twisted to deceive the Kafir  http://t.co/aFcgWBrqAM,1,rt ironmanl1 jihad word word islam twisted deceive kafir http //t.co/afcgwbrqam,0,0,1,0,1
40,"The myth of ""moderate"" Islamic rebels.  They are all fanatics and #Islam must be outlawed.  http://t.co/BYGcWWqJW5",1,myth `` moderate '' islamic rebel fanatic islam must outlawed http //t.co/bygcwwqjw5,1,0,1,0,1
42,@IAmThe1Teacher @IronmanL1 @stevecorrales80 And yet it is a law of Islam and 1/3 of Muslims support that law. But you tell me to tolerate em,1,iamthe1teacher ironmanl1 stevecorrales80 yet law islam 1/3 muslim support law tell tolerate em,0,0,1,0,1
43,RT @Chris_1791: What about current slavery? #Ferguson #blacktwitter #DontAllBlackLivesMatter Afraid of Islam? http://t.co/AN93G7q3gg http:/���,1,rt chris_1791 current slavery ferguson blacktwitter dontallblacklivesmatter afraid islam http //t.co/an93g7q3gg http /���,0,0,1,0,1
44,@Lithobolos @PoliticalAnt @ZaibatsuNews And there is no Jihad and world domination in Judaism as there is in Islam.,1,lithobolos politicalant zaibatsunews jihad world domination judaism islam,0,0,1,0,1
45,"RT @lajouetreine: RT@UnPoliticalPrty: The true history of #Islam and Slavery 

MUST SEE http://t.co/UFJt3iAzzw

#PJNET",1,rt lajouetreine rt unpoliticalprty true history islam slavery must see http //t.co/ufjt3iazzw pjnet,0,0,1,0,1
46,@roisin_morgan It can't be separate while those wishing to destroy Israel use it as a basis of their genocidal fanaticism.,1,roisin_morgan ca n't separate wishing destroy israel use basis genocidal fanaticism,1,0,1,0,1
47,"RT @BlissTabitha: Australia: Gifted teen embraces Islam, becomes a jihad terrorist http://t.co/bpmb7EoaGv",1,rt blisstabitha australia gifted teen embrace islam becomes jihad terrorist http //t.co/bpmb7eoagv,0,0,0,1,1
48,@rayyoosheh The murdering Muslim blasphemy mobs of Pakistan. http://t.co/f3aWjksaUz #Islam,1,rayyoosheh murdering muslim blasphemy mob pakistan http //t.co/f3awjksauz islam,1,0,1,0,1
50,"Gay man thrown off the rooftop by ISIS for being gay.  Despite what the radical left claims, this is the real #Islam. http://t.co/1YPpriD7pk",1,gay man thrown rooftop isi gay despite radical left claim real islam http //t.co/1ypprid7pk,1,0,0,0,1
51,"@LifeInKhilafah Islam, on the other hand fights to take away people's freedom and force them to obey an imaginary terrorist god.",1,lifeinkhilafah islam hand fight take away people 's freedom force obey imaginary terrorist god,1,0,0,0,1
53,"@PoliticalAnt Look at the data dipwad, 2/3 want sharia law, which denies all rights to women and non Muslims. http://t.co/7QupIMBaN7",1,politicalant look data dipwad 2/3 want sharia law denies right woman non muslim http //t.co/7qupimban7,1,1,1,0,1
54,@roisin_morgan Your terminology is as meaningless as the assumptions you make from them. Palestinians have no country and never have had one,1,roisin_morgan terminology meaningless assumption make palestinian country never one,0,0,1,0,1
55,"@flatspaddler1 @SumbelinaZ @velvethammer @IronmanL1 @Hatewatch She is crying, ""Boohoo, you are terrorizing our Islamic terrorists""",1,flatspaddler1 sumbelinaz velvethammer ironmanl1 hatewatch cry `` boohoo terrorizing islamic terrorist '',1,0,1,0,1
56,"@yousufpoosuf @HillaryGuess Muslims are fighting Jews, Hindus, Buddhists, Christians, atheists and animists somewhere in the world.",1,yousufpoosuf hillaryguess muslim fighting jew hindu buddhist christian atheist animist somewhere world,0,0,1,0,1
57,@Abu_Baraa1 @tanach67 Not by illiterate baby rapists like you and your prophet.,1,abu_baraa1 tanach67 illiterate baby rapist like prophet,1,0,1,0,1
58,@brassidio @rayyoosheh @waffle_gurl Islam is a believe system based mainly on illusion. Overlooking gross barbarity is necessary.,1,brassidio rayyoosheh waffle_gurl islam believe system based mainly illusion overlooking gross barbarity necessary,1,0,1,0,1
59,@chrissmax He is lying. It's Islam. ISIS does nothing that the prophet Mohammed did not also do.,1,chrissmax lying 's islam isi nothing prophet mohammed also,0,0,1,0,1
60,"RT @brassidio: Islam gave women rights. Unfortunately, they were less than they were before Islam http://t.co/RLJBP1ZOQh",1,rt brassidio islam gave woman right unfortunately le islam http //t.co/rljbp1zoqh,0,0,1,0,1
61,@IAmThe1Teacher @IronmanL1 @stevecorrales80 What do you think we are doing when we accept Muslim immigrants.  What do we get back.,1,iamthe1teacher ironmanl1 stevecorrales80 think accept muslim immigrant get back,0,0,0,1,1
62,"RT @RavenHUWolf: Read it Liberals &amp; get a reality check on life! Within Islam your views, beliefs, any democracy system, mean nothing! http���",1,rt ravenhuwolf read liberal amp get reality check life within islam view belief democracy system mean nothing http���,0,0,0,1,1
63,"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Yes, Jews are tired of being murdered by Muslims. So what?",1,qoloob4 vandaliser sajid_fairooz israeliregime yes jew tired murdered muslim,1,0,1,0,1
64,"@AAlwuhaib1977 All the lies they tell and the mantras they repeat about apartheid, etc. are all scripted propaganda and not spontaneous.",1,aalwuhaib1977 lie tell mantra repeat apartheid etc scripted propaganda spontaneous,0,0,1,0,1
66,"@Habibiline @Jihadii8 Not to mention crushing poverty, endless violence, and legal forced marriage of 8 year old girls.",1,habibiline jihadii8 mention crushing poverty endless violence legal forced marriage 8 year old girl,0,1,0,0,1
68,@EuklidProof Daesh followers of the pedophile prophet Mohammed and the terrorist Allah are dying in their rage and in their thousands.,1,euklidproof daesh follower pedophile prophet mohammed terrorist allah dying rage thousand,1,0,1,0,1
69,@congressman_aly I know that they are dedicated to the extermination of the Jews just like their prophet Mohammed was.,1,congressman_aly know dedicated extermination jew like prophet mohammed,1,0,1,0,1
71,"@logicalmind11 No, but if you are following a Quran that has hatred and bigotry in it it makes you a hateful bigot.",1,logicalmind11 following quran hatred bigotry make hateful bigot,1,0,1,0,1
73,@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I dont have to live there to know you can't leave house without male relative,1,halalcunty biebervalue liamxkiwi greenlinerzjm halalflaws dont live know ca n't leave house without male relative,1,1,0,0,1
74,"@FarooqSumar @NafeezAhmed @MaxBlumenthal As this Palestinian makes clear, they are Egyptians and Saudis and that Arabs must destroy Jews....",1,farooqsumar nafeezahmed maxblumenthal palestinian make clear egyptian saudi arab must destroy jew ....,1,0,1,0,1
75,@Kaya786 Islamophobia is like Naziphobia. There is no such thing.,1,kaya786 islamophobia like naziphobia thing,0,0,1,0,1
77,"@greenlinerzjm It means ""God is Great"". Often shouted while Muslims are murdering one of gods creations.",1,greenlinerzjm mean `` god great '' often shouted muslim murdering one god creation,1,0,1,0,1
78,@roisin_morgan And while all other religious groups globally are under genocidal attacks by Muslims you blame the Jews.  Utterly  stupid.,1,roisin_morgan religious group globally genocidal attack muslim blame jew utterly stupid,1,0,1,0,1
82,"@ummayman90 No, you know damn well that Mohammed told his followers to breed as a source of population imperialism. #Islam",1,ummayman90 know damn well mohammed told follower breed source population imperialism islam,1,0,1,0,1
84,@ameytahl Leave it to some microbrain to get sanctimonious by finding a way to play the race card.,1,ameytahl leave microbrain get sanctimonious finding way play race card,1,0,1,0,1
85,RT @DHfromtheV: Christian lady in Pakistan is facing execution for blaspheming the prophet Mohommed. They take Islam serious as hell. No fr���,1,rt dhfromthev christian lady pakistan facing execution blaspheming prophet mohommed take islam serious hell fr���,1,0,1,0,1
86,@KeeganNYC @syedmuhammad555 Sure. Why do one third of Muslims want to murder people who want to leave Islam? http://t.co/PqW3lGrmH5,1,keegannyc syedmuhammad555 sure one third muslim want murder people want leave islam http //t.co/pqw3lgrmh5,1,0,1,0,1
87,"@CamilleHughes16 @_Watch_Observe_ A Muslim's ""religious freedom"" involves denying others their freedom.  So Islam must be outlawed.",1,camillehughes16 _watch_observe_ muslim 's `` religious freedom '' involves denying others freedom islam must outlawed,1,0,1,0,1
88,RT @swagd0ctor: @VileIslam @TRobinsonNewEra @OZzSue @BBCNews Turks won't bomb isis because isis kill Christians http://t.co/HotvEOhXtz,1,rt swagd0ctor vileislam trobinsonnewera ozzsue bbcnews turk wo n't bomb isi isi kill christian http //t.co/hotveohxtz,0,0,0,1,1
89,"@IndyVoices I read the entire Quran and many of the Hadiths, and murdering ""unbelievers"" and forcing Islam on people is exactly what it is.",1,indyvoices read entire quran many hadith murdering `` unbeliever '' forcing islam people exactly,1,0,1,0,1
90,"RT @MaajidNawaz: .@ggreenwald teaching me about discrimination, implies via the link that critiquing Islam is like being a homophobe http:/���",1,rt maajidnawaz ggreenwald teaching discrimination implies via link critiquing islam like homophobe http /���,1,0,0,0,1
93,@asem_1994 ISIS beheads people. Saudi beheads people. Mohammed beheaded 600 Jews.,1,asem_1994 isi beheads people saudi beheads people mohammed beheaded 600 jew,1,0,1,0,1
94,@AbuYigitAlCahrz @LeonardoMaxwel1 Could that be because Islam declared war on humanity 1400 years ago? http://t.co/xZjOzUQnZx,1,abuyigitalcahrz leonardomaxwel1 could islam declared war humanity 1400 year ago http //t.co/xzjozuqnzx,1,0,1,0,1
95,"RT @sudixitca: Our Prophet Our Honor = Rape, Beheadings, and Genocide Our Honor = Muhammad Does not Deserve Respect.",1,rt sudixitca prophet honor rape beheading genocide honor muhammad deserve respect,1,1,1,0,1
96,"Islam considers women as one big sex organ, so no part of her can be exposed.  This is a reflection of the perversion of their prophet.",1,islam considers woman one big sex organ part exposed reflection perversion prophet,1,1,1,0,1
97,RT @curdistani: ISIS intend turn war of Islamism into ethnic war of Pan Arabism&amp;Kurd in Mosul. As evidence show they are conducting Pan ara���,1,rt curdistani isi intend turn war islamism ethnic war pan arabism amp kurd mosul evidence show conducting pan ara���,0,0,1,0,1
98,RT @george3612: @ProudPatriot101 Austrians Say Islam Does Not Belong in Their Nation: Poll http://t.co/Pa7yTFBQhB ���,1,rt george3612 proudpatriot101 austrian say islam belong nation poll http //t.co/pa7ytfbqhb ���,0,0,0,1,1
99,@pNibbler @AlterNet @MaxBlumenthal In every Christian nation you can say what you want about Christians &amp; Jesus. Muslims kill for blasphemy.,1,pnibbler alternet maxblumenthal every christian nation say want christian amp jesus muslim kill blasphemy,1,0,0,0,1
100,@FalconEye123456 May Allah bless him with 72 virgin pigs.,1,falconeye123456 may allah bless 72 virgin pig,1,0,1,0,1
102,@DianH4 Perish slowly my ass. Slavery lasted longer in the Muslim world that anywhere else. And your hero is trying to bring it back.,1,dianh4 perish slowly as slavery lasted longer muslim world anywhere else hero trying bring back,1,0,1,0,1
103,@Zahoorgorsi What the Americans did in Iraq was allow the Iraqis to elect their leadership.  Sunnis and Shia killing each other is Islam.,1,zahoorgorsi american iraq allow iraqi elect leadership sunni shia killing islam,0,0,1,0,1
104,@FarooqSumar @NafeezAhmed @MaxBlumenthal And the Muslim Nazis left the Jews nothing but this. http://t.co/MTVgnwqZVu,1,farooqsumar nafeezahmed maxblumenthal muslim nazi left jew nothing http //t.co/mtvgnwqzvu,1,0,1,0,1
106,RT @brassidio: Muslims are like spoilt children who throw violent tantrums when they don't get their own way. #RespectForMuslims,1,rt brassidio muslim like spoilt child throw violent tantrum n't get way respectformuslims,1,0,1,0,1
107,@PoliticalAnt @Lithobolos @ZaibatsuNews So ISIS beheads because their prophet beheaded . ISIS rapes slaves because their prophet raped them.,1,politicalant lithobolos zaibatsunews isi beheads prophet beheaded isi rape slave prophet raped,1,1,1,0,1
109,"@AAlwuhaib1977 So while thousands of churches, temples, synagogs have been destroyed by Muslim biggots, you only worry about one Muslim ....",1,aalwuhaib1977 thousand church temple synagogs destroyed muslim biggots worry one muslim ....,1,0,1,0,1
111,"@Bruciebabe @andyblueskyz @End_Bigotry @chezkig1 @ericcartmanfat @AbbsWinston All the Jews,Christians and gays would be dead. Women enslaved",1,bruciebabe andyblueskyz end_bigotry chezkig1 ericcartmanfat abbswinston jew christian gay would dead woman enslaved,1,1,1,0,1
113,@DianH4 By showing your love of a genocidal animal like Baghdadi you have given the reason why Islam must be exterminated.,1,dianh4 showing love genocidal animal like baghdadi given reason islam must exterminated,0,0,1,0,1
115,"As long as the Middle East is in the grip of #Islam, there will never be such a thing as an Arab Spring. #Syria #Libya #Yemen #Iraq #Egypt",1,long middle east grip islam never thing arab spring syria libya yemen iraq egypt,1,0,1,0,1
116,@Damhan97 @niall_cullen @AC360 Having more children is what their prophet Mohammed told them to do.  Reproductive imperialism.,1,damhan97 niall_cullen ac360 child prophet mohammed told reproductive imperialism,0,0,0,1,1
118,"@DianH4 @rogue_allah You are lying again, just like a Muslim. The Quran approves of raping slave girls explicitly.",1,dianh4 rogue_allah lying like muslim quran approves raping slave girl explicitly,1,0,1,0,1
119,"RT @RudawEnglish: #ISIS has begun recruiting Moroccan prostitutes for its militants in Syria and #Iran, luring them with promises of money ���",1,rt rudawenglish isi begun recruiting moroccan prostitute militant syria iran luring promise money ���,0,1,0,0,1
120,RT @peddoc63: @fernleex Muslims not killing are complicit by silence.Tolerance of intolerance is cowardice.Ali was maimed by Islam. http://���,1,rt peddoc63 fernleex muslim killing complicit silence.tolerance intolerance cowardice.ali maimed islam http //���,1,0,1,0,1
121,@morasilh @bbcturkce The Sunni Turkmen are genocidal criminals living off loot they stole from minorities. What they want counts for nothing,1,morasilh bbcturkce sunni turkmen genocidal criminal living loot stole minority want count nothing,1,0,1,0,1
122,"@discerningmumin It's not a prophet competition. It's about following a fraud who owned slaves, had people murdered, was a bigot, etc.",1,discerningmumin 's prophet competition 's following fraud owned slave people murdered bigot etc,1,0,1,0,1
124,@ZamiraTwitt One way of helping to prevent such crimes would be to outlaw the sick and 2 religion of Islam that victimizes women.,1,zamiratwitt one way helping prevent crime would outlaw sick 2 religion islam victimizes woman,1,1,1,0,1
125,@SumerSloan @PAWarnhoff @etsho127 Why haven't you and your world stopped over 100 Islamic terrorist organizations from murdering children.,1,sumersloan pawarnhoff etsho127 n't world stopped 100 islamic terrorist organization murdering child,1,0,1,0,1
126,@MaxBlumenthal @Ajzionts Max Blumenthal's Muslim friends busy raping Christian girls around the world. http://t.co/liSKP9U8Uq,1,maxblumenthal ajzionts max blumenthal 's muslim friend busy raping christian girl around world http //t.co/liskp9u8uq,1,0,1,0,1
127,@GENUG @TheMuslimIssue Saudi Arabia - a nation of Islamolunatics hiding from the Islamolunatics they helped to create. #Islam,1,genug themuslimissue saudi arabia nation islamolunatics hiding islamolunatics helped create islam,0,0,1,0,1
129,"@biebervalue @greenlinerzjm You fucking moron, slavery is approved right in the Quran. Read it you stupid idiot.",1,biebervalue greenlinerzjm fucking moron slavery approved right quran read stupid idiot,1,0,1,0,1
130,"@discerningmumin And now, every Jihadi group wants to reinstate slavery in the present because the Quran approves it and Mohammed practiced.",1,discerningmumin every jihadi group want reinstate slavery present quran approves mohammed practiced,1,0,1,0,1
131,@halalflaws @biebervalue @greenlinerzjm What your prophet said was that women are stupid and corrupt. #Islam http://t.co/gmiSHq8QaG,1,halalflaws biebervalue greenlinerzjm prophet said woman stupid corrupt islam http //t.co/gmishq8qag,1,1,1,0,1
133,"@KellyTurner99 @buellerishere @isra_jourisra @fei989 And not only did Mohammed burn them, the crucified, stoned and beheaded people.",1,kellyturner99 buellerishere isra_jourisra fei989 mohammed burn crucified stoned beheaded people,1,0,1,0,1
135,@etsho127 @PAWarnhoff @SumerSloan They could never choose.  Islam has given them nothing but Caliphates and dictatorships for 1400 years.,1,etsho127 pawarnhoff sumersloan could never choose islam given nothing caliphate dictatorship 1400 year,0,0,1,0,1
136,@shehzilk @watan71969 Those Jews are assholes.  Most Jews are secular and humanist.  Most Muslims are Islamists. http://t.co/GQx6BZAFJ5,1,shehzilk watan71969 jew asshole jew secular humanist muslim islamist http //t.co/gqx6bzafj5,1,0,1,0,1
142,@RTUKnews An Islamist human rights group? LOL. Now there is a contradiction in terms.,1,rtuknews islamist human right group lol contradiction term,0,0,1,0,1
143,"@Abu_Baraa1 Peace? You Idiot, Islam declared war on all humanity 1400 years ago. How can you blab on about peace. Time to exterminate Islam.",1,abu_baraa1 peace idiot islam declared war humanity 1400 year ago blab peace time exterminate islam,1,0,1,0,1
145,"@buellerishere @KellyTurner99 ""That which your right hand posses"" means slave.  The Quran gives clear permission to rape slaves.",1,buellerishere kellyturner99 `` right hand posse '' mean slave quran give clear permission rape slave,1,0,1,0,1
147,"@jihadi_11 @Sheikh_Times3 What do you care, scumbag? You murder and enslave unarmed Ezidi and Christian civilians.",1,jihadi_11 sheikh_times3 care scumbag murder enslave unarmed ezidi christian civilian,1,0,1,0,1
148,@truaemusic @mattybboi83 @Number10gov Child abuse is illegal in western culture. It is accepted in Islamic cultures because their prophet...,1,truaemusic mattybboi83 number10gov child abuse illegal western culture accepted islamic culture prophet ...,0,1,1,0,1
149,"@rico_hands @NAInfidels @semzyxx @owais00 Hey, idiot! You can't use the problems of Judaism to justify the barbarity of the Quran.",1,rico_hands nainfidels semzyxx owais00 hey idiot ca n't use problem judaism justify barbarity quran,1,0,1,0,1
150,"@DianH4 @ExposeFalsehood We don't support tyrants, Islam produces nothing but tyrants.  All the Caliphs and Sultans were tyrants.",1,dianh4 exposefalsehood n't support tyrant islam produce nothing tyrant caliph sultan tyrant,0,0,1,0,1
151,@ummahwitness Then why do you smelly rag heads keep moving to Britian?,1,ummahwitness smelly rag head keep moving britian,1,0,1,0,1
152,@MDBishop82 @railgirl1952 @LyndaG1963 @Coslopuss @MaxBlumenthal In fact Blumenthal's Palestinian friends behead gays.,1,mdbishop82 railgirl1952 lyndag1963 coslopuss maxblumenthal fact blumenthal 's palestinian friend behead gay,1,0,0,0,1
153,Muslim abuse and murder of minority religions continues in all Muslim majority countries. http://t.co/1UoMvZWcCq #Islam #Pakistan #Syria,1,muslim abuse murder minority religion continues muslim majority country http //t.co/1uomvzwccq islam pakistan syria,1,0,1,0,1
154,"@CherguiaMbark Mostly it shows how vile, inhuman, digusting, and barbaric that religion is. #Islam",1,cherguiambark mostly show vile inhuman digusting barbaric religion islam,1,0,1,0,1
155,@anjemchoudary @JihadiA8 Sharia put the Muslim world 1000 years behind the rest of civilization and tortured minorities.,1,anjemchoudary jihadia8 sharia put muslim world 1000 year behind rest civilization tortured minority,0,0,1,0,1
156,@discerningmumin The first slaughterers were the Muslims. They invaded the Christian world 400 years before the crusades.,1,discerningmumin first slaughterer muslim invaded christian world 400 year crusade,1,0,1,0,1
157,@Brown_Saraah Terrorism has been the core of Islam ever since the fraudulent prophet Mohammed invented it.,1,brown_saraah terrorism core islam ever since fraudulent prophet mohammed invented,1,0,1,0,1
161,@anjemchoudary Idiots like you making such declarations have no contact with reality.  Islam is inhuman and must be outlawed.,1,anjemchoudary idiot like making declaration contact reality islam inhuman must outlawed,0,0,1,0,1
162,@riwired @_Elreda I like that picture of Israel in the context of the Muslim world.  A tiny spec they blame for all their own evil.,1,riwired _elreda like picture israel context muslim world tiny spec blame evil,0,0,1,0,1
165,"@etsho127 @SumerSloan @PAWarnhoff Furthermore,your pedo prophet attacked cities with catapults killing children.So what are you crying about",1,etsho127 sumersloan pawarnhoff furthermore pedo prophet attacked city catapult killing children.so cry,0,0,0,1,1
167,@kewldevzzo Islam is full of incitements to murder unbelievers.  What are you talking about?,1,kewldevzzo islam full incitement murder unbeliever talking,1,0,1,0,1
168,@CavusSeyit You are the one who believes in a god that asks one part of his creation to murder another part. Impossible to get any stupider.,1,cavusseyit one belief god asks one part creation murder another part impossible get stupider,0,0,0,1,1
169,@FarooqSumar @NafeezAhmed @MaxBlumenthal Now the Muslim Arabs are using the Palestinans as their spear point to complete the extermination.,1,farooqsumar nafeezahmed maxblumenthal muslim arab using palestinans spear point complete extermination,1,0,1,0,1
170,@jncatron @dailydot Pigs like you never whine so loud at the hundreds of murders by Muslims every day around the world.,1,jncatron dailydot pig like never whine loud hundred murder muslim every day around world,1,0,1,0,1
171,@loveconcursall @ottomanland But look at the reality disconnect. Burak says he is for freedom and against all slavery while at the ...,1,loveconcursall ottomanland look reality disconnect burak say freedom slavery ...,0,0,0,1,1
175,"@mir576607189 Looks like a slum, as people are forced to go to mosque at gun point. Daesh are creating hundreds of thousands of atheists.",1,mir576607189 look like slum people forced go mosque gun point daesh creating hundred thousand atheist,1,0,1,0,1
176,"@scamp_faridxx @cameIzzz The problem was not the communists atheism, but rather their totalitarianism, just like Islam.",1,scamp_faridxx cameizzz problem communist atheism rather totalitarianism like islam,0,1,0,0,1
177,"@Vandaliser @sajid_fairooz @IsraeliRegime A word of advice, until you can show that wikiislam is false, don't bother me with your advice.",1,vandaliser sajid_fairooz israeliregime word advice show wikiislam false n't bother advice,0,0,1,0,1
178,RT @SeanAAitken: The Kurds clean up the ISIS Islamofascist trash in Kobane. Kobane is the graveyard of ISIS. Via @jackshahine http://t.co/N���,1,rt seanaaitken kurd clean isi islamofascist trash kobane kobane graveyard isi via jackshahine http //t.co/n���,1,0,1,0,1
179,"@sajid_fairooz @IsraeliRegime Muslim declared war on humanity and their have been murdering men, women, and children for 1400 years.",1,sajid_fairooz israeliregime muslim declared war humanity murdering men woman child 1400 year,1,0,1,0,1
181,@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime No the hatred was all started by Mohammed. http://t.co/Yyl4nn6LgN,1,sirajzarook odiniainvictus bilalighumman israeliregime hatred started mohammed http //t.co/yyl4nn6lgn,1,0,1,0,1
182,@taimiiSays Islam is hatred and Jihad. http://t.co/bp228IR12B,1,taimiisays islam hatred jihad http //t.co/bp228ir12b,1,0,1,0,1
188,"@truaemusic You are defending the prophet Mohammed and he was a murderer, 2, imperialist and bigot.",1,truaemusic defending prophet mohammed murderer 2 imperialist bigot,1,0,1,0,1
192,@HoosierJason @ciomdx @JameelJaffer @ggreenwald Why not. Muslims have practically exterminated every non Muslim minority in Mus countries.,1,hoosierjason ciomdx jameeljaffer ggreenwald muslim practically exterminated every non muslim minority mu country,1,0,1,0,1
193,@Vandaliser @sajid_fairooz @IsraeliRegime Read Ibn Warraq on the treatement of Jews and other minorities in Muslim history.,1,vandaliser sajid_fairooz israeliregime read ibn warraq treatement jew minority muslim history,0,0,1,0,1
