ID,Text,Classe,Sentiments_analyze
122,J.Mayer sucks the big one.,0,"0,0,0"
123,Just rain here!!! Damn! :(,0,"0,0,0"
124,oooh damn that sounds good!,0,"0,0,0"
125,! w@n+ yUh t@ m@k3 m3 $w3@+,0,"0,0,0"
126,Can you draw pictures well?,0,"0,0,0"
127,Can crop circles be square?,0,"0,0,0"
128,ouch. I hate when i do that,0,"0,0,0"
129,lmao idk wea its at....haha,0,"0,0,0"
130,O. M. G. FREAK. no offense.,0,"0,0,0"
131,do you like girls? hahaha:],0,"0,0,0"
132,Would you get high with me?,0,"0,0,0"
133,dont hate her  embrace her!,0,"0,0,0"
134,got damn man. that's nice!!,0,"0,0,0"
135,piratee&;s or ninja&;s? Ahah,0,"0,0,0"
136,what do you always pray for?,0,"0,0,0"
137,anything jennifer lopez haha,0,"0,0,0"
138,What colour is your bedroom?,0,"0,0,0"
139,Name 1 girl you find pretty.,0,"0,1,0"
140,I hate getting confused lol.,0,"0,0,0"
141,you are the computer nerd :),0,"0,0,0"
142,i L o v e Y u h h ! ! ! ! (:,0,"0,0,0"
143,not at all :) look away haha,0,"0,0,0"
144,keep it inside. almost always,0,"0,0,0"
145,once. unless im super active.,0,"0,0,0"
146,HOW U LYK YO BRED TOASTED????,0,"0,0,0"
147,great went ta jamaca...Yew???,0,"0,0,0"
148,i know alot of pretty people.,0,"0,0,0"
149,I'll alert the gay-thorities.,0,"1,0,0"
150,Be truly Kind to one another.,0,"0,0,0"
151,Have you ever been beaten up?,0,"0,0,0"
152,Name a bird with a long neck.,0,"0,0,0"
153,Sleep? What the fuck is that?,0,"0,0,0"
154,Shore I'd be happy too!!!! :),0,"0,0,0"
155,Fuck the Atrium. That is all.,0,"0,0,0"
156,Yes haha im not gayy silly (:,0,"0,0,0"
157,yeah. time zones are a bitch.,0,"0,0,0"
158,Do you ever go bird watching?,0,"0,0,0"
159,what song best describes you?,0,"0,0,0"
160,what gives you peace of mind?,0,"0,0,0"
161,ahahaha. you're a nerd. &lt;3,0,"0,0,0"
162,Do you think demons are real?,0,"0,0,0"
163,Yuh m@k3 d@ 53x m3+3r q0 vv!ld,0,"0,0,0"
164,ummm.....ahhh hottt seniorrr(:,0,"0,0,0"
165,How many suitcases do you own?,0,"0,0,0"
166,why do you hate the piano? o_O,0,"0,0,0"
167,you hate loud people  like us?,0,"0,0,0"
168,haha  she has a nice ass also.,0,"1,1,0"
169,Apple store!(; Need a MAC pro!,0,"0,0,0"
170,tell me 5 facts about yourself,0,"0,0,0"
171,dont you hate scarlett though?,0,"0,0,0"
172,I hate it when they do that :3,0,"0,0,0"
173,Famous(: Bhut im ME 4 rite now!,0,"0,0,0"
174,r u &amp; Frances still talken?,0,"0,0,0"
175,how do you make yourself happy?,0,"0,0,0"
176,LOL!! Not DMX  his ass is crazy,0,"0,0,0"
177,Its sunday so i can sleep in :),0,"0,0,0"
178,Damn  last tweet was for you :P,0,"0,0,0"
179,Those dogs look FAT to me!! ;-),0,"0,0,0"
180,So true I hate a dirty bathroom,0,"0,0,0"
181,fuck  that blows! For how long?,0,"0,0,0"
182,Damn.  That is a beautiful car.,0,"0,0,0"
183,The Beatles or The Temptations?,0,"0,0,0"
184,about kickin' some canadian ass?,0,"0,0,0"
185,Name 3 cheese products you like.,0,"0,0,0"
186,do you know how to speak korean?,0,"0,0,0"
187,personality 9r physic 8r looks 8,0,"0,0,0"
188,come here  I'll kickle your ass.,0,"0,0,0"
189,Oh damn....I'm so sorry honey...,0,"0,0,0"
190,hahah okey dokey!..sweet thang(;,0,"0,0,0"
191,When is the last time you cried?,0,"0,0,0"
192,Putting pants on sucks lol. Ross,0,"0,0,0"
193,I heart TROLLS! PHASE 2 Damn it!,0,"0,0,0"
194,I know its you dina im not dumb.,0,"0,0,0"
195,are good  im in a cookie club :),0,"0,0,0"
196,Have you ever been to Six Flags?,0,"0,0,0"
197,Any special reason for the hate?,0,"0,0,0"
198,Ohio  USA. And its pretty rad :],0,"0,0,0"
199,Why are people being so hateful?,0,"0,0,0"
200,tell me something about.. SNOW :],0,"0,0,0"
201,"and big kisses to you too  doll!""",0,"0,1,0"
202,How often do you get the hiccups?,0,"0,0,0"
203,omg really i never noticed lol =],0,"0,0,0"
204,how crude people are. all people.,0,"0,0,0"
205,Are the best things in life free?,0,"0,0,0"
206,yeah you should. Fucking dumbass.,0,"0,0,0"
207,I was on my way to work. Driving.,0,"0,0,0"
208,usual but it used to piss me off.,0,"0,0,0"
209,Juno  Sweet november  mr. deeds :],0,"0,0,0"
210,Do you watch Family Guy regularly?,0,"0,0,0"
211,Have you done something bad today?,0,"0,0,0"
212,Who&;s the most overrated athlete?,0,"0,0,0"
213,well then why did you bring it up?,0,"0,0,0"
214,i havent ate fries in a long time!,0,"0,0,0"
215,Hmmm fruit!! :) any kind of fruit.,0,"0,0,0"
216,Idk really. I think im an alien :],0,"0,0,0"
217,poor you!!! hate both subjects!!!!,0,"0,0,0"
218,<3 hahahahhahah thakssssssssssssss,0,"0,0,0"
219,Damn I don't think I'm on the list,0,"0,0,0"
220,why haven&;t i had any dinner yet?,0,"0,0,0"
221,I hate your direct message. Thanks.,0,"0,0,0"
222,craziest? i havent. only a raccoon.,0,"0,0,0"
223,sucks that the Source link is wrong,0,"0,0,0"
224,i think u and jack should date!!!:),0,"0,0,0"
225,aww that sucks! Sorry to hear it :(,0,"0,0,0"
226,Hmmm...i don&;t know. I want to. :D,0,"0,0,0"
227,HAPPY FUCKING BIRTHDAY YA PONGO! :),0,"0,0,0"
228,y0 v@q!N@ sm3lL lykK c0tT@q3 (h33s3,0,"0,0,0"
229,what club u @? Damn  I fell alseep!,0,"0,0,0"
230,Are yuh single and ready 2 mingle?!,0,"0,0,0"
231,I love cameras. Show your face yooo,0,"0,0,0"
232,Would you rather be rich or famous?,0,"0,0,0"
233,those are fine  you know I hate cats,0,"0,0,0"
234,Have you ever been to Hollywood  CA?,0,"0,0,0"
235,BITCH GET ONLINE  I FOUND CUTE SHOES,0,"1,1,0"
236,What kind of music do you listen to?,0,"0,0,0"
237,nick that video is so fucking killer,0,"0,0,0"
238,Damn iPhone  I meant wine and cheese,0,"0,0,0"
239,join the club! LOL  I hate the snow!,0,"0,0,0"
240,*damn BB be going hard on them boyz*,0,"0,0,0"
241,sucks they only made like 20 of them,0,"0,0,0"
242,Do you put cheese on your spaghetti?,0,"0,0,0"
243,Wow  that sucks. Is that even legal?,0,"0,0,0"
244,I hate it when I do things like that,0,"0,0,0"
245,Aww thanks a ton. but honestly what?,0,"0,0,0"
246,maybe if i was really that desperate.,0,"0,0,0"
247,Damn....your co-workers are classy...,0,"0,0,0"
248,i would look sexy and fuck shit up :D,0,"0,1,0"
249,agreed. Continues to piss me off too.,0,"0,0,0"
250,What did you eat for breakfast today?,0,"0,0,0"
251,ability to fly or breath under water?,0,"0,0,0"
252,Do you shrug it off or cry for hours?,0,"0,0,0"
253,Which is the song that makes you cry?,0,"0,0,0"
254,What movie do you know every line to?,0,"0,0,0"
255,Uhm. Actor(: They get paied more haha,0,"0,0,0"
256,What is the second most unique thing?,0,"0,0,0"
257,I hate on blogs?  what are you saying?,0,"0,0,0"
258,Do you want to start over with anyone?,0,"0,0,0"
259,hhahahaha oh i no  it does irritate me,0,"0,0,0"
260,am I too emo? http://snipurl.com/7rq8p,0,"0,0,0"
261,it is christmas eve im fucking excited,0,"0,0,0"
262,Have you ever cried from being so mad?,0,"0,0,0"
263,u better shut the fuck up wit that lol,0,"0,0,0"
264,ur butiful babe i just wish i waz urz.,0,"0,0,0"
265,Is using a inhaler a sign of weakness?,0,"0,0,0"
266,I also hate talk shows and reality tv.,0,"0,0,0"
267,If heat rises  shouldn&;t hell be cold?,0,"0,0,0"
268,10 things you want to do before you die,0,"0,0,0"
269,Yuppers! Nose and Cartilage piercings(;,0,"0,0,0"
270,lol ok shit i am going to get so fat!!!,0,"0,0,0"
271,My unemployed ass ain't goin' anywhere.,0,"0,0,0"
272,umm a homeless guys with blackberry haha,0,"0,0,0"
273,What is the bravest thing you have done?,0,"0,0,0"
274,wtf bxtch clea it iNeva ben ta hiz house,0,"1,1,0"
275,What is your best friend&;s Mom&;s name?,0,"0,0,0"
276,I am. Hence the hate. But I love him rly,0,"0,0,0"
277,lol.damn I gotta find a cheap ass flight,0,"0,0,0"
278,things that you cant leave/live without?,0,"0,0,0"
279,That sucks  i hope he feels better soon!,0,"0,0,0"
280,Justin Bieber.Duh. &amp;&amp; Russia! ;],0,"0,0,0"
281,"Nooooooooo comment on ""dick butts."" XDDD",0,"0,0,0"
282,Have you ever bid for something on ebay?,0,"0,0,0"
283,well i had to put my two cents in [: haha,0,"0,0,0"
284,hahahahhaahaha I hope you kicked his ass!,0,"0,0,0"
285,depends on how close we were at the time.,0,"0,0,0"
286,ain't that crazy? enough to piss you off!,0,"0,0,0"
287,well thats just too bad now isn&;t it? [;,0,"0,0,0"
288,its fucking terrible my friend and I left,0,"0,0,0"
289,THIS is why i hate the snow!!!!!!!!!!!!!!,0,"0,0,0"
290,damn straight you need to find your iPod.,0,"0,0,0"
291,http://www.e-castig.com/index.php?r=C1o6s,0,"0,0,0"
292,What holiday is closest to your birthday?,0,"0,0,0"
293,i hate everything about you- 3 days grace,0,"0,0,0"
294,DoIhKnowYuh?r AndYuhrLike...SpammingMyFS.,0,"0,0,0"
295,When was the first time that you had beer?,0,"0,0,0"
296,ahhh true.. true... plus it plays music XD,0,"0,0,0"
297,Yayyyy! Damn irish bitch! Congratulations!,0,"0,1,1"
298,something about piss should do. or zebras.,0,"0,0,0"
299,nigga you sound like a creep ass pedophile,0,"1,0,1"
300,my sides hurt from laughing so hard. Dick.,0,"0,0,0"
301,And why are you trying to give me advice.?,0,"0,0,0"
302,haha I love how much of a nerd Obama is...,0,"0,0,0"
303,hahahahahahaah thanks spency :DDDDD <3 you,0,"0,0,0"
304,can you travel around the world in 80 days,0,"0,0,0"
305,eww  that sucks. hopefully u have off soon?,0,"0,0,0"
306,i guess i would gett fat  and have a baby .,0,"0,0,0"
307,well r i think i really like my friend.. :/,0,"0,0,0"
308,WELL YOU THINK OF SOMETHING THEN I HATE YOU,0,"0,0,0"
309,hottest guy you have ever seen in real life?,0,"0,0,0"
310,jabbawockeez.. what do you think about them?,0,"0,0,0"
311,LOL well u should help them get some dick...,0,"1,1,0"
312,Sometimes lol if im in the mood to wear one.,0,"0,0,0"
313,Suave. Its cheap and gets the job done. haha,0,"0,0,0"
314,yeah I've been to N.O. recently  damn shame.,0,"0,0,0"
315,I hear you. BTW  the Jonas brothers are gay.,0,"1,0,0"
316,Damn you Pinot Noir and your grapey goodness!,0,"0,0,0"
317,how are you drunk bro? DAMN I.. it's only 2PM,0,"0,0,0"
318,damn  dude. nice find. awesome work in there.,0,"0,0,0"
319,that sucks! I hope you feel better soon *hug*,0,"0,0,0"
320,that sucks. Why is your vision all messed up?,0,"0,0,0"
321,bien. which is good in spanish. hahaha musta?,0,"0,0,0"
322,Robert :) Sorry I hate when I miss type names,0,"0,0,0"
323,Proton definantly. Positive polly yes i am :],0,"0,0,0"
324,benson- Dude fuck yea. I'm gonna bank tonight,0,"0,0,0"
325,do the makers of Friendster uses Facebook? =),0,"0,0,0"
326,What do you think about formspring.me so far?,0,"0,0,0"
327,puppy is good. Knows where to piss and shit..,0,"0,0,0"
328,Well then get some damn sleep ya dumbass! Lol,0,"0,0,0"
329,When you say you don&;t care  do you mean it?,0,"0,0,0"
330,mhm ohkay slide yo numba nd iWill met yew lol,0,"0,0,0"
331,Have you ever wasted you&;re time on anybody?,0,"0,0,0"
332,here's some cock for u http://twitpic.com/rrvm,0,"0,0,0"
333,I like my ma's homemade chicken noodle soup :],0,"0,0,0"
334,Damn it  now I have an urge to move to Vermont,0,"0,0,0"
335,Thats great . i hope things work out fine.. (:,0,"0,0,0"
336,So did anybody end up buying a fucking camera?,0,"0,0,0"
337,I KNOW!!!! makes my fucking dayyy!!! shes HUGE,0,"0,0,0"
338,http://twitpic.com/y2yl - That. Fucking. Rules.,0,"0,0,0"
339,What was the best advice you&;ve ever received?,0,"0,0,0"
340,I don't really remember but damn its killing me,0,"0,0,0"
341,Yes. And im sure there are tons that soo could.,0,"0,0,0"
342,ohh reallu? well how does it feel to want [; ?!,0,"0,0,0"
343,Tabi  I love you. (: I will meet you one day (;,0,"0,0,0"
344,dude that fucking sucks. He was a cool cat. RIP,0,"0,0,0"
345,fuck I feel bad for you. what pack did you get?,0,"0,0,0"
346,good call Boo   Bitch   Boo x2 Dumb ass plaxico,0,"1,1,0"
347,Is French kissing in France just called kissing?,0,"0,0,0"
348,http://tinyurl.com/these-hats-are-damn-tradition,0,"0,0,0"
349,Im just glad im gon be paid to sit on my ass lol,0,"0,0,0"
350,lol cleaning  i hate the dentist with a passion!,0,"0,0,0"
351,Would it bother you to never have personal time?,0,"0,0,0"
352,damn  you beat me to that example. :) #journchat,0,"0,0,0"
353,what was the most awkward situation in your life?,0,"0,0,0"
354,Hood has apparently lost his mind. Sucks for him.,0,"0,0,0"
355,yes. but we end up warped in the end either way..,0,"0,0,0"
356,Enterprise can suck my dick too! That's bullshit!,0,"0,1,0"
357,damn. now im craving them from you tweeting them!,0,"0,0,0"
358,Do bald men wash their head with soap or shampoo?,0,"0,0,0"
359,what&;s the funnest place you have ever traveled?,0,"0,0,0"
360,i hate snow. you can give me yr car. if you want.,0,"0,0,0"
361,damn bro. Next time go partying like that  holla!,0,"0,0,0"
362,Is quality or quantity of friends more important?,0,"0,0,0"
363,Damn. I got bammed. Wonder how many @glark reads.,0,"0,0,0"
364,Oh my! I'm not even that much of a control freak!,0,"0,0,0"
365,How old will you be turning on your next birthday?,0,"0,0,0"
366,:D thank you gurl/boy ? I really appreciate it!<33,0,"0,0,0"
367,okay. my page is not for you to be anonymous on :],0,"0,0,0"
368,Give it back to them. I don't really hate anyone..,0,"0,0,0"
369,so does that make Piss Bottle Man song of the day?,0,"0,0,0"
370,Damn dude the last 3 eps of TrueBlood are the best,0,"0,0,0"
371,which do you think is stronger: love or happiness?,0,"0,0,0"
372,it's stupid for me to be upset over  really. fuck.,0,"0,0,0"
373,What do you think is your most attractive feature?,0,"0,0,0"
374,Do you/have  you ever watched Desperate Housewives?,0,"0,0,0"
375,Hmm. Fine then. RAIN! I HATE YOU! NEVER RAIN AGAIN!,0,"0,0,0"
376,hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0,"0,0,0"
377,What&;s something that no one else knows about you?,0,"0,0,0"
378,Do you shower in the morning or at night before bed?,0,"0,0,0"
379,What would you want to be written on your tombstone?,0,"0,0,0"
380,i dont mind it because it gives me questions i guess,0,"0,0,0"
381,My pu$$zzy !z +hrobb!nq fo yo d!ck t@ q0 !n d@+ $h!+,0,"0,1,0"
382,you forgot to precede that tweet with the word FUCK.,0,"0,0,0"
383,My Dick by Mickey Avalon or My Neck  My Back by Khia,0,"0,0,0"
384,u are probably right tho   i hate these short days =/,0,"0,0,0"
385,Basicc Information -  Name ? Age ? Location ? Grade ?,0,"0,0,0"
386,just stuff. i can handle it imma big girl dont tripp.,0,"0,1,0"
387,lmao i no hahahahahhahahahahahaha thats what im sayin,0,"0,0,0"
388,If you wanted to look very sexy  how would you dress?,0,"0,1,0"
389,Do you think we are raising the next generation right?,0,"0,0,0"
390,Do you get along better with the same or opposite sex?,0,"0,1,0"
391,Of course. X marks the spot!!!!! Arrrg im soo ready :],0,"0,0,0"
392,look inside your bag/purse.. name three things you see,0,"0,0,0"
393,perhaps i should call it that to freak the family out.,0,"0,0,0"
394,so where are you located and what is it like there? :),0,"0,0,0"
395,You'll become a super nerd if you dress up as a Gundam,0,"0,0,0"
396,If a bee is allergic to pollen would it get the hives?,0,"0,0,0"
397,What&;s the nicest thing someone&;s ever done for you?,0,"0,0,0"
398,What&;s the best place near you to get some ice cream?,0,"0,0,0"
399,If you won a million dollars what would you do with it?,0,"0,0,0"
400,a bunch im sure. white lies are the hardest to remember,0,"0,0,0"
401,hey you&;re an amazing nice and sweet girl..pretty too!,0,"0,0,0"
402,Would you describe yourself as an argumentative person?,0,"0,0,0"
403,Would you rather take the picture or be in the picture?,0,"0,0,0"
404,Ever looked at a guy and then checked out his Package ??,0,"0,1,0"
405,Brutal...I hate when you pick the wrong day to drive....,0,"0,0,0"
406,If you could ask God any one question  what would it be?,0,"0,0,0"
407,yes YAY! you guessed it right ;) and i cant call you! :L,0,"0,0,0"
408,how to survive in this crazy khaos of a world i live in.,0,"0,0,0"
409,Beu03c4ter thu03b1n formspru03b9ng  try http://tr.im/M73W,0,"0,0,0"
410,I have before. but its been a while. I can do anything :),0,"0,0,0"
411,hahahahahhahahhaahhahahahah vvv ayee fix yerr infoooo ->>,0,"0,0,0"
412,oh man....that sounds damn good! now im hungry. damn you!,0,"0,0,0"
413,what&;s the Kindest thing anyone has ever done for you ??,0,"0,0,0"
414,a tonn :] I don't think my bf can hug me enough sometimes,0,"0,0,0"
415,And I see why you turned his ass down! Dis some bullshit!,0,"0,0,0"
416,Have you ever made out with someone of the same sex? Why?,0,"0,0,0"
417,If you knew someone was going to die would you tell them?,0,"0,0,0"
418,green pepper  cheese  onion  bacon-crunchy  and cheese :D,0,"0,0,0"
419,You&;ve been kidnapped by aliens.  What do they feed you?,0,"0,0,0"
420,"Damn that's like my lil brother. He's 11  5""8 and 250 lbs.",0,"0,0,0"
421,will u cook with me in food tec whenever we cook next :P ?,0,"0,0,0"
422,did you know gaga was on an episode of mtvs boiling point?,0,"0,0,0"
423,What award would you love to win and for what achievement?,0,"0,0,0"
424,Do you think it&;s better to find love or let it find you?,0,"0,0,0"
425,thank you! oooooohhh hot brownies right out of the oven :D,0,"0,0,0"
426,You'd god damn well better be an Engineer. all I'm saying.,0,"0,0,0"
427,I hate that I get scared and parnoid when my house is quiet,0,"0,0,0"
428,Damn!! Thats cold! The reason I'm always there for my kids!,0,"0,0,0"
429,aww damn!  I think we need to kick him out the league!  LOL,0,"0,0,0"
430,have you ever done anything illegal? and if so what was it?,0,"0,0,0"
431,You're going too? Fun.  @JesusNeedsNewPR I hate job hunting,0,"0,0,0"
432,How many lies do you think you have told in your life time?,0,"0,0,0"
433,Can a short person &quot;talk down&quot; to a taller person?,0,"0,0,0"
434,hmm..popcicles. i dont eat much when its really hot outside.,0,"0,0,0"
435,Have you ever made someone so mad that they broke something?,0,"0,0,0"
436,That sucks. I went to bed before the New Year even began.lol,0,"0,0,0"
437,Don&;t you hate it when people lie to you about coming over?,0,"0,0,0"
438,good to hear your okay... I need my the gay...... Wow i rhyme,0,"1,0,0"
439,damn  girl lol. do you kill 'em w/ kindness in real life too?,0,"0,1,0"
440,damn doll  u kinda look like brit wit hair!!!!!!!!!!!!!!!!!!!,0,"0,0,0"
441,the google iPhone app sucks! Vlingo is much better and faster,0,"0,0,0"
442,Well  I don't know if you have heard or not... but I hate it.,0,"0,0,0"
443,When you were little did you ever go ahhh infront of the fan?,0,"0,0,0"
444,Hope you're not getting a full fluoride. Hate that. Good luck!,0,"0,0,0"
445,damn! my breath actually stopped as I thought you'd done that.,0,"0,0,0"
446,hmmm probably buy a few things for me and one of my besties :D,0,"0,0,0"
447,figures...i hate when channels advertise for other channels...,0,"0,0,0"
448,Ohh man i bet its tha shit!! Ohhkayy!(: be safe have fun!! <33,0,"0,0,0"
449,U r soooooooooooooooooooo pretty Alexis<3 y r u so nice???????,0,"0,0,0"
450,I'll have to work on that one.  Ass clown is a solid contender.,0,"0,0,0"
451,i can never catch you on blogtv at night. damn time difference!,0,"0,0,0"
452,If rabbits feet are so lucky  then what happened to the rabbit?,0,"0,0,0"
453,Be honest: Do you have a song by Ozzy Osbourne in your library?,0,"0,0,0"
454,Is that a monkey in your pants...or are you just fucking crazy?,0,"0,0,0"
455,...........999 a girl?? lol oh god why did u make me so stupid??,0,"0,1,0"
456,Do you have any scars on your body?  If so  how&;d you get them?,0,"0,0,0"
457,yes I love it. its a funny hobbie and way to express yourself :),0,"0,0,0"
458,"are you aware that Layne refered to you as a ""Twitter Whore"" lol",0,"0,1,0"
459,I know...just get a damn blanket or put some socks on! im sayin!,0,"0,0,0"
460,*sends fruit basket* Hope you get better soon  being sick sucks!,0,"0,0,0"
461,i just love the speed & simplicity cum features of Google Chrome,0,"0,0,0"
462,i almost changed the channel after petersen's damn horse collar!,0,"0,0,0"
463,- it's a sweet deal and product. Customer service sucks pooh tho.,0,"0,0,0"
464,come to Dothan  bitch. You'll find someone to make out with fast.,0,"1,1,0"
465,lol I hate you. And by hate  I mean love  but I still hate you XD,0,"0,0,0"
466,- I wouldn't mind a wider ass. Haha. And some bigger tatas too ;],0,"1,1,0"
467,YOU SUNNUVA BITCH. / @TarinTowers: Only one week of spoons to go!,0,"0,0,0"
468,dammit! You keep your damn dirty hands off my fruit gummy chews!!,0,"0,0,0"
469,I never thought of it that way - but damn - that IS a good name..,0,"0,0,0"
470,can only handle so much pussy control...and the doves make me cry,0,"1,1,0"
471,no holiday is worth that! florida sucks! but happy new year!!!!!!,0,"0,0,0"
472,yes! haha neat trait of mine.. i can plug my nose with my lips :],0,"0,0,0"
473,Umm Bunch of people just joined  and i got bored  so i wanted too!,0,"0,0,0"
474,haha yeshhh you are  and you thought i was gonna think its gay -_-,0,"1,0,0"
475,Noah and the Whale!? That makes me think of Saturn commercials. :),0,"0,0,0"
476,i concur  2009 is going to kick ass if you have the right mind set,0,"0,0,0"
477,I am off for right now. Leave me things? <3 Please&amp;Thank you!!!,0,"0,0,0"
478,No no...not saying I like NY necessarily  just that I still hate FL,0,"0,0,0"
479,Thing I hate the most = Alternate side of the street parking rules.,0,"0,0,0"
480,You are sooo damn going! ;__; Don't ditch Derek on his special day!,0,"0,0,0"
481,Who do you think should be the next president of the United States?,0,"0,0,0"
482,he  he and some people bitch about never hearing back from them ;-),0,"0,1,0"
483,Well  I'm wearing underpants and a shirt. I'm not a fucking savage.,0,"0,0,0"
484,no doubt. Teach that kid how to read the bounce or block out...damn.,0,"0,0,0"
485,Congrats!  You'll have to make us a low-fat treat from it :) #fitfam,0,"0,0,0"
486,lol to ever since I got this twitterific I'm tweeting my ass off lol,0,"0,0,0"
