ID,Text,Classe,Homophobia,sexism,Racism
41,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan The only reason there is peace is because the Hindus are in power.,3,1,0,0
42,@IAmThe1Teacher @IronmanL1 @stevecorrales80 And yet it is a law of Islam and 1/3 of Muslims support that law. But you tell me to tolerate em,3,1,0,1
43,RT @Chris_1791: What about current slavery? #Ferguson #blacktwitter #DontAllBlackLivesMatter Afraid of Islam? http://t.co/AN93G7q3gg http:/���,3,1,0,1
44,@Lithobolos @PoliticalAnt @ZaibatsuNews And there is no Jihad and world domination in Judaism as there is in Islam.,3,0,0,1
45,"RT @lajouetreine: RT@UnPoliticalPrty: The true history of #Islam and Slavery 

MUST SEE http://t.co/UFJt3iAzzw

#PJNET",3,0,0,1
46,@roisin_morgan It can't be separate while those wishing to destroy Israel use it as a basis of their genocidal fanaticism.,3,0,0,0
47,"RT @BlissTabitha: Australia: Gifted teen embraces Islam, becomes a jihad terrorist http://t.co/bpmb7EoaGv",3,0,0,1
48,@rayyoosheh The murdering Muslim blasphemy mobs of Pakistan. http://t.co/f3aWjksaUz #Islam,3,0,0,1
49,RT @noisykafir: Please draw mohammed! Just a smiley face will do but draw it and post it. #IAmCharlieHebdo http://t.co/QIOVZyNxdJ,3,0,0,0
50,"Gay man thrown off the rooftop by ISIS for being gay.  Despite what the radical left claims, this is the real #Islam. http://t.co/1YPpriD7pk",3,1,0,1
51,"@LifeInKhilafah Islam, on the other hand fights to take away people's freedom and force them to obey an imaginary terrorist god.",3,1,0,0
52,@wilytone @SenTomCotton He couldn't be close to the idiot you are.  Terrorism has been rampant in ME 1400 years.,3,0,0,0
53,"@PoliticalAnt Look at the data dipwad, 2/3 want sharia law, which denies all rights to women and non Muslims. http://t.co/7QupIMBaN7",3,1,1,1
54,@roisin_morgan Your terminology is as meaningless as the assumptions you make from them. Palestinians have no country and never have had one,3,0,0,0
55,"@flatspaddler1 @SumbelinaZ @velvethammer @IronmanL1 @Hatewatch She is crying, ""Boohoo, you are terrorizing our Islamic terrorists""",3,0,0,0
56,"@yousufpoosuf @HillaryGuess Muslims are fighting Jews, Hindus, Buddhists, Christians, atheists and animists somewhere in the world.",3,1,0,1
57,@Abu_Baraa1 @tanach67 Not by illiterate baby rapists like you and your prophet.,3,1,0,1
58,@brassidio @rayyoosheh @waffle_gurl Islam is a believe system based mainly on illusion. Overlooking gross barbarity is necessary.,3,0,0,0
59,@chrissmax He is lying. It's Islam. ISIS does nothing that the prophet Mohammed did not also do.,3,0,0,1
60,"RT @brassidio: Islam gave women rights. Unfortunately, they were less than they were before Islam http://t.co/RLJBP1ZOQh",3,1,1,0
61,@IAmThe1Teacher @IronmanL1 @stevecorrales80 What do you think we are doing when we accept Muslim immigrants.  What do we get back.,3,1,0,1
62,"RT @RavenHUWolf: Read it Liberals &amp; get a reality check on life! Within Islam your views, beliefs, any democracy system, mean nothing! http���",3,0,0,0
63,"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Yes, Jews are tired of being murdered by Muslims. So what?",3,0,0,1
64,"@AAlwuhaib1977 All the lies they tell and the mantras they repeat about apartheid, etc. are all scripted propaganda and not spontaneous.",3,0,0,1
65,@AbiAlbaraaShami @mir576607189 Too bad the Caliphate is too stupid to create it's own twitter. Madrassas only produce morons.,3,0,0,0
66,"@Habibiline @Jihadii8 Not to mention crushing poverty, endless violence, and legal forced marriage of 8 year old girls.",3,0,0,0
67,@jukes303 Unlike you I do read before making assumptions.  I read all of the Quran and many of the Hadiths.  That is how I know it's vile.,3,0,0,0
68,@EuklidProof Daesh followers of the pedophile prophet Mohammed and the terrorist Allah are dying in their rage and in their thousands.,3,0,0,1
69,@congressman_aly I know that they are dedicated to the extermination of the Jews just like their prophet Mohammed was.,3,0,0,1
70,@Joyce_Karam The Saudis will arm Sunni rebels in Yemen. Civil war is inevitable.,3,0,0,0
71,"@logicalmind11 No, but if you are following a Quran that has hatred and bigotry in it it makes you a hateful bigot.",3,0,0,0
72,@MisfitInChains @oldgfatherclock @venereveritas13 SANTA JUST *IS* WHITE,3,1,0,1
73,@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I dont have to live there to know you can't leave house without male relative,3,0,0,1
74,"@FarooqSumar @NafeezAhmed @MaxBlumenthal As this Palestinian makes clear, they are Egyptians and Saudis and that Arabs must destroy Jews....",3,0,0,1
75,@Kaya786 Islamophobia is like Naziphobia. There is no such thing.,3,0,0,0
76,@SevilZadeh What does ISIS do that the prophet Mohammed did not also do?,3,1,0,0
77,"@greenlinerzjm It means ""God is Great"". Often shouted while Muslims are murdering one of gods creations.",3,0,0,0
78,@roisin_morgan And while all other religious groups globally are under genocidal attacks by Muslims you blame the Jews.  Utterly  stupid.,3,0,0,1
79,@loveconcursall @ottomanland ...the Prophet Mohammed did the same thing. Baghdadi can quote Quran and Hadiths for every action he takes.,3,1,0,0
80,"@mohamadraimi4 @korderakan Not only dead Daesh, but Baghdadi ran like a coward. Will he behead himself for fleeing like he does his men Gwer",3,0,0,1
81,@MaxBlumenthal Islamophobia - fear of this. http://t.co/Ky1NQPNlYb,3,0,0,0
82,"@ummayman90 No, you know damn well that Mohammed told his followers to breed as a source of population imperialism. #Islam",3,1,0,1
83,"@JoRitson Labor tells raped girls to go home and not bother them, the filthy animals.",3,1,0,1
84,@ameytahl Leave it to some microbrain to get sanctimonious by finding a way to play the race card.,3,0,0,1
85,RT @DHfromtheV: Christian lady in Pakistan is facing execution for blaspheming the prophet Mohommed. They take Islam serious as hell. No fr���,3,1,0,1
86,@KeeganNYC @syedmuhammad555 Sure. Why do one third of Muslims want to murder people who want to leave Islam? http://t.co/PqW3lGrmH5,3,0,0,1
87,"@CamilleHughes16 @_Watch_Observe_ A Muslim's ""religious freedom"" involves denying others their freedom.  So Islam must be outlawed.",3,0,0,1
88,RT @swagd0ctor: @VileIslam @TRobinsonNewEra @OZzSue @BBCNews Turks won't bomb isis because isis kill Christians http://t.co/HotvEOhXtz,3,0,0,1
89,"@IndyVoices I read the entire Quran and many of the Hadiths, and murdering ""unbelievers"" and forcing Islam on people is exactly what it is.",3,0,0,0
90,"RT @MaajidNawaz: .@ggreenwald teaching me about discrimination, implies via the link that critiquing Islam is like being a homophobe http:/���",3,1,0,0
91,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,3,0,0,0
92,@WithTrish @JRehling Not nearly to the extent that they went insane over a Mohammed cartoon.,3,0,0,0
93,@asem_1994 ISIS beheads people. Saudi beheads people. Mohammed beheaded 600 Jews.,3,1,0,0
94,@AbuYigitAlCahrz @LeonardoMaxwel1 Could that be because Islam declared war on humanity 1400 years ago? http://t.co/xZjOzUQnZx,3,0,0,1
95,"RT @sudixitca: Our Prophet Our Honor = Rape, Beheadings, and Genocide Our Honor = Muhammad Does not Deserve Respect.",3,0,0,1
96,"Islam considers women as one big sex organ, so no part of her can be exposed.  This is a reflection of the perversion of their prophet.",3,1,0,1
97,RT @curdistani: ISIS intend turn war of Islamism into ethnic war of Pan Arabism&amp;Kurd in Mosul. As evidence show they are conducting Pan ara���,3,0,0,1
98,RT @george3612: @ProudPatriot101 Austrians Say Islam Does Not Belong in Their Nation: Poll http://t.co/Pa7yTFBQhB ���,3,0,0,1
99,@pNibbler @AlterNet @MaxBlumenthal In every Christian nation you can say what you want about Christians &amp; Jesus. Muslims kill for blasphemy.,3,1,0,0
100,@FalconEye123456 May Allah bless him with 72 virgin pigs.,3,0,0,0
101,@discerningmumin Hamas was elected once and have not had elections since.They have skipped many elections. Mursi was going in same direction,3,0,0,0
102,@DianH4 Perish slowly my ass. Slavery lasted longer in the Muslim world that anywhere else. And your hero is trying to bring it back.,3,1,0,1
103,@Zahoorgorsi What the Americans did in Iraq was allow the Iraqis to elect their leadership.  Sunnis and Shia killing each other is Islam.,3,0,0,0
104,@FarooqSumar @NafeezAhmed @MaxBlumenthal And the Muslim Nazis left the Jews nothing but this. http://t.co/MTVgnwqZVu,3,1,0,1
105,@alihadi68 @David_Cameron Who's them? I only see real beheadings in Palestine and the rest of the Muslim world.,3,1,0,0
106,RT @brassidio: Muslims are like spoilt children who throw violent tantrums when they don't get their own way. #RespectForMuslims,3,0,0,1
107,@PoliticalAnt @Lithobolos @ZaibatsuNews So ISIS beheads because their prophet beheaded . ISIS rapes slaves because their prophet raped them.,3,1,0,0
108,@DawlatnaMansura The next step in warfare is the ground drone. A robot that will walk up to the Jihadi and blow out his brains.,3,1,0,0
109,"@AAlwuhaib1977 So while thousands of churches, temples, synagogs have been destroyed by Muslim biggots, you only worry about one Muslim ....",3,0,0,1
110,@loveconcursall @ottomanland The English &amp; Israel were really thinking ahead when they sent Baghdadi to all those Islamic religious schools.,3,0,0,0
111,"@Bruciebabe @andyblueskyz @End_Bigotry @chezkig1 @ericcartmanfat @AbbsWinston All the Jews,Christians and gays would be dead. Women enslaved",3,1,1,1
112,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 We don't make prophets out of pedophile priests. We get rid of them.,3,0,0,0
113,@DianH4 By showing your love of a genocidal animal like Baghdadi you have given the reason why Islam must be exterminated.,3,1,0,1
114,"RT @RavenHUWolf: Many of the ISIS members are walking ""stoners"" ~ even #daesh #Emwazi #JihadiJohn it's been rumored he's high on #Khat http���",3,0,0,0
115,"As long as the Middle East is in the grip of #Islam, there will never be such a thing as an Arab Spring. #Syria #Libya #Yemen #Iraq #Egypt",3,1,0,1
116,@Damhan97 @niall_cullen @AC360 Having more children is what their prophet Mohammed told them to do.  Reproductive imperialism.,3,0,0,0
117,RT @AmyMek: #WakeUpLibs-&gt;.@JoeNBC: Islamic jihadis like ���ultrafundamentalist Christians��� http://t.co/VAnp6y7clr #tcot #ILoveObama http://t.���,3,0,0,1
118,"@DianH4 @rogue_allah You are lying again, just like a Muslim. The Quran approves of raping slave girls explicitly.",3,0,0,1
119,"RT @RudawEnglish: #ISIS has begun recruiting Moroccan prostitutes for its militants in Syria and #Iran, luring them with promises of money ���",3,0,0,0
120,RT @peddoc63: @fernleex Muslims not killing are complicit by silence.Tolerance of intolerance is cowardice.Ali was maimed by Islam. http://���,3,1,0,1
121,@morasilh @bbcturkce The Sunni Turkmen are genocidal criminals living off loot they stole from minorities. What they want counts for nothing,3,1,0,1
122,"@discerningmumin It's not a prophet competition. It's about following a fraud who owned slaves, had people murdered, was a bigot, etc.",3,0,0,1
123,@alihadi68 @MaxBlumenthal @rudoren @nytimes Compare a Netanyahu speech to this genocidal Palestinian lunatic. https://t.co/8cmfoOZwxz,3,0,0,1
124,@ZamiraTwitt One way of helping to prevent such crimes would be to outlaw the sick and 2 religion of Islam that victimizes women.,3,1,1,0
125,@SumerSloan @PAWarnhoff @etsho127 Why haven't you and your world stopped over 100 Islamic terrorist organizations from murdering children.,3,0,0,0
126,@MaxBlumenthal @Ajzionts Max Blumenthal's Muslim friends busy raping Christian girls around the world. http://t.co/liSKP9U8Uq,3,1,0,1
127,@GENUG @TheMuslimIssue Saudi Arabia - a nation of Islamolunatics hiding from the Islamolunatics they helped to create. #Islam,3,1,0,0
128,@pNibbler @AlterNet @MaxBlumenthal The majority have radical and violent opinions when they are polled about them. http://t.co/LnGUHxNRyJ,3,0,0,0
129,"@biebervalue @greenlinerzjm You fucking moron, slavery is approved right in the Quran. Read it you stupid idiot.",3,0,0,1
130,"@discerningmumin And now, every Jihadi group wants to reinstate slavery in the present because the Quran approves it and Mohammed practiced.",3,1,0,1
131,@halalflaws @biebervalue @greenlinerzjm What your prophet said was that women are stupid and corrupt. #Islam http://t.co/gmiSHq8QaG,3,1,0,1
132,@NNdabbour64 A phony prophet trying to gain power through hatred and divisiveness is the reason for it.,3,0,0,0
133,"@KellyTurner99 @buellerishere @isra_jourisra @fei989 And not only did Mohammed burn them, the crucified, stoned and beheaded people.",3,0,0,1
134,@Vandaliser @sajid_fairooz @IsraeliRegime Degrassie is not a historian.,3,0,0,0
135,@etsho127 @PAWarnhoff @SumerSloan They could never choose.  Islam has given them nothing but Caliphates and dictatorships for 1400 years.,3,0,0,0
136,@shehzilk @watan71969 Those Jews are assholes.  Most Jews are secular and humanist.  Most Muslims are Islamists. http://t.co/GQx6BZAFJ5,3,0,0,1
137,@Almahiraa__ @munthir555 Nobody cares about your stupid rationalizations.  We are simple going to kill all the Daesh. Hope you are one of em,3,0,0,0
138,"RT @KenRoth: Dangerous to outsource Iraq security to Shia militia known for ""disappearances"" &amp; executions. http://t.co/3catmb5vZl http://t.���",3,0,0,0
139,@Lithobolos @PoliticalAnt @ZaibatsuNews So when are you going to admit that the Quran is wrong.  I'm waiting.,3,0,0,0
140,"RT @PatDollard: The #Ferguson ""crisis"" was manufactured by @BarackObama as the opening gambit of his campaign to limit cops' ability to arr���",3,0,0,1
141,@TheInfoIslam Oh good. That get's them out from behind the civilians so that the Peshmerga can kill them.,3,0,0,0
142,@RTUKnews An Islamist human rights group? LOL. Now there is a contradiction in terms.,3,1,0,0
143,"@Abu_Baraa1 Peace? You Idiot, Islam declared war on all humanity 1400 years ago. How can you blab on about peace. Time to exterminate Islam.",3,1,0,1
144,"RT @fatmaycollins: After the recent rape-murder case of a female Turkish student, other Turkish women are telling their stories to the worl���",3,0,0,0
145,"@buellerishere @KellyTurner99 ""That which your right hand posses"" means slave.  The Quran gives clear permission to rape slaves.",3,1,0,0
146,"@buttercupashby @MaDaSaHaTtEr_17 I take the whole sura, microbrain. You make such statement trying to hide the barbarity of Islam.",3,0,0,0
147,"@jihadi_11 @Sheikh_Times3 What do you care, scumbag? You murder and enslave unarmed Ezidi and Christian civilians.",3,0,0,1
148,@truaemusic @mattybboi83 @Number10gov Child abuse is illegal in western culture. It is accepted in Islamic cultures because their prophet...,3,0,0,0
149,"@rico_hands @NAInfidels @semzyxx @owais00 Hey, idiot! You can't use the problems of Judaism to justify the barbarity of the Quran.",3,0,0,1
150,"@DianH4 @ExposeFalsehood We don't support tyrants, Islam produces nothing but tyrants.  All the Caliphs and Sultans were tyrants.",3,1,0,1
151,@ummahwitness Then why do you smelly rag heads keep moving to Britian?,3,1,0,1
152,@MDBishop82 @railgirl1952 @LyndaG1963 @Coslopuss @MaxBlumenthal In fact Blumenthal's Palestinian friends behead gays.,3,0,0,0
153,Muslim abuse and murder of minority religions continues in all Muslim majority countries. http://t.co/1UoMvZWcCq #Islam #Pakistan #Syria,3,1,0,1
154,"@CherguiaMbark Mostly it shows how vile, inhuman, digusting, and barbaric that religion is. #Islam",3,0,0,0
155,@anjemchoudary @JihadiA8 Sharia put the Muslim world 1000 years behind the rest of civilization and tortured minorities.,3,1,0,1
156,@discerningmumin The first slaughterers were the Muslims. They invaded the Christian world 400 years before the crusades.,3,0,0,0
157,@Brown_Saraah Terrorism has been the core of Islam ever since the fraudulent prophet Mohammed invented it.,3,0,0,1
158,"@obsurfer84 @teenage Yes, you can lie about Islam all you want and you can deny all the evidence all you want.  No one cares about opinion.",3,1,0,1
159,@who_the_fa @MaxBlumenthal The difference is that he only said it. The Muslims are doing it.,3,0,0,0
160,RT @The_Rebel_Heart: Islamic States reveals It's Air Force ! Lol Daesh bags Isis Isil  http://t.co/JAgBL5XzeH,3,0,0,0
161,@anjemchoudary Idiots like you making such declarations have no contact with reality.  Islam is inhuman and must be outlawed.,3,1,0,1
162,@riwired @_Elreda I like that picture of Israel in the context of the Muslim world.  A tiny spec they blame for all their own evil.,3,0,0,1
163,"@LUVSHINECAFE @bradybaggett When religious war, jihad, is a cornerstone of the religion there is no possibility for reform.",3,0,0,0
164,@MaxBlumenthal Islamophobia - fear of this. http://t.co/MTgDmZGhSQ,3,0,0,0
165,"@etsho127 @SumerSloan @PAWarnhoff Furthermore,your pedo prophet attacked cities with catapults killing children.So what are you crying about",3,1,0,1
166,"@DavidRomeiPHD @ALWiss5 Anything an American does defines America, anything a Muslim does is an aberration? Idiot!",3,0,0,0
167,@kewldevzzo Islam is full of incitements to murder unbelievers.  What are you talking about?,3,1,0,1
168,@CavusSeyit You are the one who believes in a god that asks one part of his creation to murder another part. Impossible to get any stupider.,3,0,0,0
169,@FarooqSumar @NafeezAhmed @MaxBlumenthal Now the Muslim Arabs are using the Palestinans as their spear point to complete the extermination.,3,1,0,1
170,@jncatron @dailydot Pigs like you never whine so loud at the hundreds of murders by Muslims every day around the world.,3,0,0,1
171,@loveconcursall @ottomanland But look at the reality disconnect. Burak says he is for freedom and against all slavery while at the ...,3,0,0,0
172,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime There are zero lies that westerners create. It all comes from your own Quran and Hadiths.,3,0,0,1
173,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets There's a huge lie.  They colonialized everything they have at sword point.,3,1,0,1
174,RT @robfit: The 3 Stages of the Islamic demographic Jihad... #tcot =&gt;  http://t.co/UttUXJPIf3,3,1,0,1
175,"@mir576607189 Looks like a slum, as people are forced to go to mosque at gun point. Daesh are creating hundreds of thousands of atheists.",3,0,0,1
176,"@scamp_faridxx @cameIzzz The problem was not the communists atheism, but rather their totalitarianism, just like Islam.",3,0,0,0
177,"@Vandaliser @sajid_fairooz @IsraeliRegime A word of advice, until you can show that wikiislam is false, don't bother me with your advice.",3,0,0,0
178,RT @SeanAAitken: The Kurds clean up the ISIS Islamofascist trash in Kobane. Kobane is the graveyard of ISIS. Via @jackshahine http://t.co/N���,3,0,0,0
179,"@sajid_fairooz @IsraeliRegime Muslim declared war on humanity and their have been murdering men, women, and children for 1400 years.",3,0,0,1
180,@LifeInKhilafah What's to understand. The Daesh have passed a law that people cannot leave Raqqa or Mosul because they are sewers of terror.,3,0,0,0
181,@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime No the hatred was all started by Mohammed. http://t.co/Yyl4nn6LgN,3,0,0,0
182,@taimiiSays Islam is hatred and Jihad. http://t.co/bp228IR12B,3,0,0,1
183,@jerZboyUSA @theblaze The reason these politically correct idiots will never solve problem is because they won't acknowledge that it's Islam,3,0,0,1
184,@Dabiq_Warrior @Totenleserin More like three thousand.  And most of it was done by the Kurdish girls.,3,0,0,0
185,"@Assiye61 That is a lot of disinformation. For example, there were never more than 5 million North American Indians. http://t.co/ErZxfNAOUt",3,0,0,1
186,"@bradybaggett @LUVSHINECAFE Take a poll and see if 1/3 of Christians think gays should be killed.  If they do, Christianity should be banned",3,1,0,1
187,"@Raja5aab @Quickieleaks You challenge has been accepted, you have been given better verses, proving the Quran is a fraud.",3,0,0,0
188,"@truaemusic You are defending the prophet Mohammed and he was a murderer, 2, imperialist and bigot.",3,1,0,1
189,@biebervalue @greenlinerzjm Here is the Quran stating that the witness of a woman is worth half that of a man. #Islam http://t.co/qlZFV7ZXkJ,3,1,0,0
190,@buellerishere @KellyTurner99 And the Hadiths are even more specific about approving sexual slavery.,3,0,0,0
191,of course you were born in serbia...you're as fucked as A Serbian Film #MKR,3,0,0,1
192,@HoosierJason @ciomdx @JameelJaffer @ggreenwald Why not. Muslims have practically exterminated every non Muslim minority in Mus countries.,3,0,0,1
193,@Vandaliser @sajid_fairooz @IsraeliRegime Read Ibn Warraq on the treatement of Jews and other minorities in Muslim history.,3,0,0,0
194,"@Generalshaami44 Americans didn't burn any libraries, microbrain. And even if they did, why punish Iraqis by burning their libraries, dumbo?",3,0,0,0
195,@discerningmumin Now Muslim terror groups are trying to complete the job of killing or throwing out any remaining minority groups in Arabia.,3,0,0,1
196,"@jihadi_11 @Shami_IS_back Hopefully the followers of the slave trader, and pedophile prophet, Mohammed.",3,0,0,1
197,"@scamp_faridxx @AbuAlbaraaSham Yeah, it's called caring about human life, idiot - something a genocidal Daesh would'nt understand.",3,0,0,1
198,"@peymaneh123 @AnasMechch I don't see any burning civilians, and the picture is not even of a burning house.",3,0,0,0
199,@ummayman90 What do customs and rules and history have to do with it.  Marrying a 6 year old and screwing a 9 year old is sick like Islam.,3,0,0,1
200,@PoliticalAnt @Lithobolos @ZaibatsuNews But Sharia is very 2 and 2/3 of Muslims want it.,3,1,0,1
201,@asem_1994 The Quran approves of the beating of women and tells them to stay home. So ISIS does it also. http://t.co/0JZqklPyYH,3,0,1,1
202,@Ceff00 @JosephIsVegan @SumbelinaZ @IronmanL1 @Hatewatch There are over 100 Islamic terrorist groups. No other religion is close.,3,1,0,0
203,@roisin_morgan Those same genocidal Muslims that practice their bigotry and barbarity against religious and ethnic minorities everywhere.,3,1,0,1
204,@HillaryGuess @riwired @izrinhariri Because Islam has over 100 operating terrorist groups and a mandate to conquer the world by violence.,3,0,1,0
205,@Vandaliser @sajid_fairooz @IsraeliRegime Science was moving forward in India and Persia before Islam.  Islam only slowed it down.,3,0,0,0
206,"@fei989 @isra_jourisra War, chopping off heads, raping slave girls, were Mohammed's favorite activities.",3,1,1,1
207,@oni_keji @TheAtlantic The Quran clearly and explicitly declared war on all humanity 1400 years ago.  So humanity must declare war on Islam.,3,0,0,1
208,"@discerningmumin Unfortunately, real Islam, as defined in the Quran and Hadith, is too backwards and inhuman even for most ME Muslims.",3,0,0,1
209,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Most of Mohammed's 17 military expeditions were offensive.,3,0,0,0
210,@logicalmind11 You can never get rid of the radical Muslims because the Quran and Hadiths will always produce more.,3,1,0,0
211,@dankmtl Hard to get stupider than you. Still no change in ratios justified by anything Israel did.,3,0,0,0
212,RT @PatDollard: #ISIS using retarded kids as suicide bombers is nothing new. When I was in Ramadi they rolled one in a wheelchair at us. Ha���,3,1,0,1
213,@Pray_4_Life @Pontifex People who call being against Islam 3 know that Islam is not race but want to intimidate others into shutting up,3,0,1,0
214,@asem_1994 Look at the kinds of opinions that the Islamic world is stuck with. http://t.co/AryC4kA2CD,3,0,0,0
215,@LUVSHINECAFE @bradybaggett We need to outlaw Islam outright.,3,0,0,1
216,@haroonstyles @greenlinerzjm @halalflaws @biebervalue You try again. Mohammed screwed Aisha when she was 9. http://t.co/gJ5Ob13HFX,3,1,0,0
217,"@NNdabbour64 You have to be an idiot to think that you can follow an ideology of murder, imperialism, hatred and have people like you for it",3,0,0,0
218,@discerningmumin Islam has never been a resistance to oppression. It has always been source of oppression to both believers and non believer,3,1,0,0
219,@obsurfer84 They welcomed Islam with a sword at their throats. There was nothing kind about Islam. It was a religion designed for thugs.,3,0,0,1
220,@CamilleHughes16 @edbarber101658 @_Watch_Observe_ Then export all the non citizen Imams. Put cameras in the remaining Mosques.,3,0,0,0
221,@Iz_abdul Allah's words are filth and hatred and phony. http://t.co/E4yVziJyqk,3,1,0,0
222,@anjemchoudary Nothing desperate about it. Humanity realizes now that Islam declared war on it 1400 years ago and Islam will be destroyed.,3,0,0,1
223,"RT @AmyMek: #IslamLOVESWomen Muslim files suit AGAINST law banning child marriage,""OFFENDS Islam"" http://t.co/bPPiSINSS8 #IWD2015 http://t.���",3,1,0,1
