ID,Text,Classe,Text_Lem,Homophobia,sexism,Racism
12,"@jihadiAA Nobody gives a fuck about the streets when you are practicing genocide, murder, and slavery, microbrain.",3,jihadiaa nobody give fuck street practicing genocide murder slavery microbrain,1,0,1
13,"@Salon @TheMuslimGuy So when the subject of Islam's relationship with terrorism comes up, they react like the empty morons they are.",3,salon themuslimguy subject islam 's relationship terrorism come react like empty moron,0,0,1
14,RT @sneekinsneekout: @Madasatrain69 @OZzSue @Muslim_Patrol Being nice 2 islam is like hugging a serial killer and thinking he will stop bur���,3,rt sneekinsneekout madasatrain69 ozzsue muslim_patrol nice 2 islam like hugging serial killer thinking stop bur���,0,0,1
15,@IronmanL1 @IAmThe1Teacher @stevecorrales80 I don't think so. But we do need to outlaw Islam.,3,ironmanl1 iamthe1teacher stevecorrales80 n't think need outlaw islam,0,0,0
16,@Vandaliser @sajid_fairooz @IsraeliRegime Without Muslims science would be exactly where it is today. They made zero contrib to comp science,3,vandaliser sajid_fairooz israeliregime without muslim science would exactly today made zero contrib comp science,1,0,1
17,@DianH4 If Muslims ever produced a decent leader the world would be overjoyed to accept him.,3,dianh4 muslim ever produced decent leader world would overjoyed accept,0,0,0
18,@ardiem1m @MaxBlumenthal @oldkhayyam The job Mohammed set Muslims is not done while Israel exists. http://t.co/iLVg1qTxVa,3,ardiem1m maxblumenthal oldkhayyam job mohammed set muslim done israel exists http //t.co/ilvg1qtxva,0,0,0
19,@jukes303 That's just as big a fallacy as the oil fallacy.  The US had zero to do with the creation of Al Queda.,3,jukes303 's big fallacy oil fallacy u zero creation al queda,0,0,0
20,@UmarMal And yet our number and quality of schools are luxurious compared to Pakistan where 40% don't even have working toilets.,3,umarmal yet number quality school luxurious compared pakistan 40 n't even working toilet,0,0,0
21,"@truaemusic By hating the ideaology that enables it, that is what I'm doing.",3,truaemusic hating ideaology enables 'm,1,0,0
22,@logicalmind11 You are living under severe delusions. The reason Mohammed so hated Jews was because so few were willing to convert.,3,logicalmind11 living severe delusion reason mohammed hated jew willing convert,0,0,1
23,"@abu__ramadi And what race are Muslims exactly. The race of the stupid, blind and violent?",3,abu__ramadi race muslim exactly race stupid blind violent,0,0,0
24,@Vandaliser @sajid_fairooz @IsraeliRegime I don't see how that is relevant to how non Muslims were treated as third class citizens.,3,vandaliser sajid_fairooz israeliregime n't see relevant non muslim treated third class citizen,1,0,1
25,"@discerningmumin And if Muslims are angry that they can't force Islam on people, who cares? http://t.co/G43tlj1dGU",3,discerningmumin muslim angry ca n't force islam people care http //t.co/g43tlj1dgu,0,0,0
26,@mutaSawwif About 90% of Iraqi civilians are killed by Muslims.,3,mutasawwif 90 iraqi civilian killed muslim,0,1,1
27,@_sara22_ @Number10gov Muslim terrorist execute people daily. But when rare response happens to that provocation they fake being the victims,3,_sara22_ number10gov muslim terrorist execute people daily rare response happens provocation fake victim,0,0,1
28,"@robert150254 @Ag_nostic @riwired @itsomar99 Mostly Old Testament, were its heroes attacked and slaughter every man, woman, child, animal",3,robert150254 ag_nostic riwired itsomar99 mostly old testament hero attacked slaughter every man woman child animal,0,0,0
29,"@exJizyacolector @abunaseeha2 Yes, only Islam can generate that level of barbarity, hatred, and inhumanity. https://t.co/frOHLueT12",3,exjizyacolector abunaseeha2 yes islam generate level barbarity hatred inhumanity http //t.co/frohluet12,0,1,1
30,@ibnHlophe @eeviewonders @CTFleaMarkets That Hadith is specific to AP.  Many others are specific to war on non believers everywhere.,3,ibnhlophe eeviewonders ctfleamarkets hadith specific ap many others specific war non believer everywhere,0,0,0
31,@Hafisabidrees You animals are slitting throats and we are suppose to care that you are offended by cartoons. http://t.co/elEbZtioDk,3,hafisabidrees animal slitting throat suppose care offended cartoon http //t.co/elebztiodk,1,0,1
32,"@Dabiq_Warrior @Totenleserin In other words, you were too stupid to understand that your 7th century barbarity would bring more enemies.",3,dabiq_warrior totenleserin word stupid understand 7th century barbarity would bring enemy,0,0,0
33,@NNdabbour64 The same old lie about property rights.  But Arab women had those before Islam.,3,nndabbour64 old lie property right arab woman islam,0,0,0
34,@obsurfer84 @teenage Let people look at the polls that Muslims answered and see that they come from hate. http://t.co/j2BAMNBzi4,3,obsurfer84 teenage let people look poll muslim answered see come hate http //t.co/j2bamnbzi4,1,0,1
35,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime I just gave you the proof from the Quran and the Hadiths that you are lying.,3,qoloob4 vandaliser sajid_fairooz israeliregime gave proof quran hadith lying,0,0,1
36,@MaxBlumenthal Here are the verses from Quran and Hadith proving genocidal aim of the Muslim biggots. http://t.co/pF8iwpdb1d,3,maxblumenthal verse quran hadith proving genocidal aim muslim biggots http //t.co/pf8iwpdb1d,1,0,1
37,"RT @curdistani: Ottoman Enderun Schools were converting centers for non-Muslim kidnapped children, now #IS folowing them with Yazidis http:���",3,rt curdistani ottoman enderun school converting center non-muslim kidnapped child folowing yazidis http ���,0,0,1
38,@truaemusic @mattybboi83 @Number10gov Not masked. The Quran and the Hadith declared war on humanity 1400 years ago. http://t.co/tuOWg1ltyj,3,truaemusic mattybboi83 number10gov masked quran hadith declared war humanity 1400 year ago http //t.co/tuowg1ltyj,0,0,1
39,RT @IronmanL1: The Jihad of Words:how words in Islam are twisted to deceive the Kafir  http://t.co/aFcgWBrqAM,3,rt ironmanl1 jihad word word islam twisted deceive kafir http //t.co/afcgwbrqam,0,0,0
40,"The myth of ""moderate"" Islamic rebels.  They are all fanatics and #Islam must be outlawed.  http://t.co/BYGcWWqJW5",3,myth `` moderate '' islamic rebel fanatic islam must outlawed http //t.co/bygcwwqjw5,0,0,1
41,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan The only reason there is peace is because the Hindus are in power.,3,yousufpoosuf hillaryguess riwired izrinhariri atharhkhan reason peace hindu power,0,0,0
42,@IAmThe1Teacher @IronmanL1 @stevecorrales80 And yet it is a law of Islam and 1/3 of Muslims support that law. But you tell me to tolerate em,3,iamthe1teacher ironmanl1 stevecorrales80 yet law islam 1/3 muslim support law tell tolerate em,1,0,1
43,RT @Chris_1791: What about current slavery? #Ferguson #blacktwitter #DontAllBlackLivesMatter Afraid of Islam? http://t.co/AN93G7q3gg http:/���,3,rt chris_1791 current slavery ferguson blacktwitter dontallblacklivesmatter afraid islam http //t.co/an93g7q3gg http /���,1,1,1
44,@Lithobolos @PoliticalAnt @ZaibatsuNews And there is no Jihad and world domination in Judaism as there is in Islam.,3,lithobolos politicalant zaibatsunews jihad world domination judaism islam,0,0,0
45,"RT @lajouetreine: RT@UnPoliticalPrty: The true history of #Islam and Slavery 

MUST SEE http://t.co/UFJt3iAzzw

#PJNET",3,rt lajouetreine rt unpoliticalprty true history islam slavery must see http //t.co/ufjt3iazzw pjnet,0,0,1
46,@roisin_morgan It can't be separate while those wishing to destroy Israel use it as a basis of their genocidal fanaticism.,3,roisin_morgan ca n't separate wishing destroy israel use basis genocidal fanaticism,0,0,0
47,"RT @BlissTabitha: Australia: Gifted teen embraces Islam, becomes a jihad terrorist http://t.co/bpmb7EoaGv",3,rt blisstabitha australia gifted teen embrace islam becomes jihad terrorist http //t.co/bpmb7eoagv,1,0,1
48,@rayyoosheh The murdering Muslim blasphemy mobs of Pakistan. http://t.co/f3aWjksaUz #Islam,3,rayyoosheh murdering muslim blasphemy mob pakistan http //t.co/f3awjksauz islam,1,0,1
49,RT @noisykafir: Please draw mohammed! Just a smiley face will do but draw it and post it. #IAmCharlieHebdo http://t.co/QIOVZyNxdJ,3,rt noisykafir please draw mohammed smiley face draw post iamcharliehebdo http //t.co/qiovzynxdj,0,0,1
50,"Gay man thrown off the rooftop by ISIS for being gay.  Despite what the radical left claims, this is the real #Islam. http://t.co/1YPpriD7pk",3,gay man thrown rooftop isi gay despite radical left claim real islam http //t.co/1ypprid7pk,1,0,0
51,"@LifeInKhilafah Islam, on the other hand fights to take away people's freedom and force them to obey an imaginary terrorist god.",3,lifeinkhilafah islam hand fight take away people 's freedom force obey imaginary terrorist god,1,0,1
52,@wilytone @SenTomCotton He couldn't be close to the idiot you are.  Terrorism has been rampant in ME 1400 years.,3,wilytone sentomcotton could n't close idiot terrorism rampant 1400 year,0,0,0
53,"@PoliticalAnt Look at the data dipwad, 2/3 want sharia law, which denies all rights to women and non Muslims. http://t.co/7QupIMBaN7",3,politicalant look data dipwad 2/3 want sharia law denies right woman non muslim http //t.co/7qupimban7,0,1,1
54,@roisin_morgan Your terminology is as meaningless as the assumptions you make from them. Palestinians have no country and never have had one,3,roisin_morgan terminology meaningless assumption make palestinian country never one,0,0,0
55,"@flatspaddler1 @SumbelinaZ @velvethammer @IronmanL1 @Hatewatch She is crying, ""Boohoo, you are terrorizing our Islamic terrorists""",3,flatspaddler1 sumbelinaz velvethammer ironmanl1 hatewatch cry `` boohoo terrorizing islamic terrorist '',1,0,1
56,"@yousufpoosuf @HillaryGuess Muslims are fighting Jews, Hindus, Buddhists, Christians, atheists and animists somewhere in the world.",3,yousufpoosuf hillaryguess muslim fighting jew hindu buddhist christian atheist animist somewhere world,0,0,1
57,@Abu_Baraa1 @tanach67 Not by illiterate baby rapists like you and your prophet.,3,abu_baraa1 tanach67 illiterate baby rapist like prophet,0,0,0
58,@brassidio @rayyoosheh @waffle_gurl Islam is a believe system based mainly on illusion. Overlooking gross barbarity is necessary.,3,brassidio rayyoosheh waffle_gurl islam believe system based mainly illusion overlooking gross barbarity necessary,0,0,0
59,@chrissmax He is lying. It's Islam. ISIS does nothing that the prophet Mohammed did not also do.,3,chrissmax lying 's islam isi nothing prophet mohammed also,0,0,1
60,"RT @brassidio: Islam gave women rights. Unfortunately, they were less than they were before Islam http://t.co/RLJBP1ZOQh",3,rt brassidio islam gave woman right unfortunately le islam http //t.co/rljbp1zoqh,0,0,1
61,@IAmThe1Teacher @IronmanL1 @stevecorrales80 What do you think we are doing when we accept Muslim immigrants.  What do we get back.,3,iamthe1teacher ironmanl1 stevecorrales80 think accept muslim immigrant get back,0,0,0
62,"RT @RavenHUWolf: Read it Liberals &amp; get a reality check on life! Within Islam your views, beliefs, any democracy system, mean nothing! http���",3,rt ravenhuwolf read liberal amp get reality check life within islam view belief democracy system mean nothing http���,0,0,1
63,"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Yes, Jews are tired of being murdered by Muslims. So what?",3,qoloob4 vandaliser sajid_fairooz israeliregime yes jew tired murdered muslim,1,0,1
64,"@AAlwuhaib1977 All the lies they tell and the mantras they repeat about apartheid, etc. are all scripted propaganda and not spontaneous.",3,aalwuhaib1977 lie tell mantra repeat apartheid etc scripted propaganda spontaneous,0,0,1
65,@AbiAlbaraaShami @mir576607189 Too bad the Caliphate is too stupid to create it's own twitter. Madrassas only produce morons.,3,abialbaraashami mir576607189 bad caliphate stupid create 's twitter madrassas produce moron,0,0,0
66,"@Habibiline @Jihadii8 Not to mention crushing poverty, endless violence, and legal forced marriage of 8 year old girls.",3,habibiline jihadii8 mention crushing poverty endless violence legal forced marriage 8 year old girl,1,0,1
67,@jukes303 Unlike you I do read before making assumptions.  I read all of the Quran and many of the Hadiths.  That is how I know it's vile.,3,jukes303 unlike read making assumption read quran many hadith know 's vile,0,0,0
68,@EuklidProof Daesh followers of the pedophile prophet Mohammed and the terrorist Allah are dying in their rage and in their thousands.,3,euklidproof daesh follower pedophile prophet mohammed terrorist allah dying rage thousand,0,0,0
69,@congressman_aly I know that they are dedicated to the extermination of the Jews just like their prophet Mohammed was.,3,congressman_aly know dedicated extermination jew like prophet mohammed,1,0,1
70,@Joyce_Karam The Saudis will arm Sunni rebels in Yemen. Civil war is inevitable.,3,joyce_karam saudi arm sunni rebel yemen civil war inevitable,0,0,0
71,"@logicalmind11 No, but if you are following a Quran that has hatred and bigotry in it it makes you a hateful bigot.",3,logicalmind11 following quran hatred bigotry make hateful bigot,1,1,1
72,@MisfitInChains @oldgfatherclock @venereveritas13 SANTA JUST *IS* WHITE,3,misfitinchains oldgfatherclock venereveritas13 santa white,0,0,1
73,@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I dont have to live there to know you can't leave house without male relative,3,halalcunty biebervalue liamxkiwi greenlinerzjm halalflaws dont live know ca n't leave house without male relative,1,0,1
74,"@FarooqSumar @NafeezAhmed @MaxBlumenthal As this Palestinian makes clear, they are Egyptians and Saudis and that Arabs must destroy Jews....",3,farooqsumar nafeezahmed maxblumenthal palestinian make clear egyptian saudi arab must destroy jew ....,0,0,1
75,@Kaya786 Islamophobia is like Naziphobia. There is no such thing.,3,kaya786 islamophobia like naziphobia thing,0,0,1
76,@SevilZadeh What does ISIS do that the prophet Mohammed did not also do?,3,sevilzadeh isi prophet mohammed also,0,0,0
77,"@greenlinerzjm It means ""God is Great"". Often shouted while Muslims are murdering one of gods creations.",3,greenlinerzjm mean `` god great '' often shouted muslim murdering one god creation,0,0,1
78,@roisin_morgan And while all other religious groups globally are under genocidal attacks by Muslims you blame the Jews.  Utterly  stupid.,3,roisin_morgan religious group globally genocidal attack muslim blame jew utterly stupid,1,0,1
79,@loveconcursall @ottomanland ...the Prophet Mohammed did the same thing. Baghdadi can quote Quran and Hadiths for every action he takes.,3,loveconcursall ottomanland ... prophet mohammed thing baghdadi quote quran hadith every action take,0,0,0
80,"@mohamadraimi4 @korderakan Not only dead Daesh, but Baghdadi ran like a coward. Will he behead himself for fleeing like he does his men Gwer",3,mohamadraimi4 korderakan dead daesh baghdadi ran like coward behead fleeing like men gwer,0,0,0
81,@MaxBlumenthal Islamophobia - fear of this. http://t.co/Ky1NQPNlYb,3,maxblumenthal islamophobia fear http //t.co/ky1nqpnlyb,0,0,0
82,"@ummayman90 No, you know damn well that Mohammed told his followers to breed as a source of population imperialism. #Islam",3,ummayman90 know damn well mohammed told follower breed source population imperialism islam,0,0,0
83,"@JoRitson Labor tells raped girls to go home and not bother them, the filthy animals.",3,joritson labor tell raped girl go home bother filthy animal,1,0,0
84,@ameytahl Leave it to some microbrain to get sanctimonious by finding a way to play the race card.,3,ameytahl leave microbrain get sanctimonious finding way play race card,0,0,1
85,RT @DHfromtheV: Christian lady in Pakistan is facing execution for blaspheming the prophet Mohommed. They take Islam serious as hell. No fr���,3,rt dhfromthev christian lady pakistan facing execution blaspheming prophet mohommed take islam serious hell fr���,1,0,1
86,@KeeganNYC @syedmuhammad555 Sure. Why do one third of Muslims want to murder people who want to leave Islam? http://t.co/PqW3lGrmH5,3,keegannyc syedmuhammad555 sure one third muslim want murder people want leave islam http //t.co/pqw3lgrmh5,0,0,1
87,"@CamilleHughes16 @_Watch_Observe_ A Muslim's ""religious freedom"" involves denying others their freedom.  So Islam must be outlawed.",3,camillehughes16 _watch_observe_ muslim 's `` religious freedom '' involves denying others freedom islam must outlawed,0,0,1
88,RT @swagd0ctor: @VileIslam @TRobinsonNewEra @OZzSue @BBCNews Turks won't bomb isis because isis kill Christians http://t.co/HotvEOhXtz,3,rt swagd0ctor vileislam trobinsonnewera ozzsue bbcnews turk wo n't bomb isi isi kill christian http //t.co/hotveohxtz,0,0,1
89,"@IndyVoices I read the entire Quran and many of the Hadiths, and murdering ""unbelievers"" and forcing Islam on people is exactly what it is.",3,indyvoices read entire quran many hadith murdering `` unbeliever '' forcing islam people exactly,0,0,0
90,"RT @MaajidNawaz: .@ggreenwald teaching me about discrimination, implies via the link that critiquing Islam is like being a homophobe http:/���",3,rt maajidnawaz ggreenwald teaching discrimination implies via link critiquing islam like homophobe http /���,0,0,1
91,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,3,drasko said impressed girl cooked half chicken .. cooked whole one mkr,0,0,0
92,@WithTrish @JRehling Not nearly to the extent that they went insane over a Mohammed cartoon.,3,withtrish jrehling nearly extent went insane mohammed cartoon,0,0,0
93,@asem_1994 ISIS beheads people. Saudi beheads people. Mohammed beheaded 600 Jews.,3,asem_1994 isi beheads people saudi beheads people mohammed beheaded 600 jew,0,0,1
94,@AbuYigitAlCahrz @LeonardoMaxwel1 Could that be because Islam declared war on humanity 1400 years ago? http://t.co/xZjOzUQnZx,3,abuyigitalcahrz leonardomaxwel1 could islam declared war humanity 1400 year ago http //t.co/xzjozuqnzx,0,0,1
95,"RT @sudixitca: Our Prophet Our Honor = Rape, Beheadings, and Genocide Our Honor = Muhammad Does not Deserve Respect.",3,rt sudixitca prophet honor rape beheading genocide honor muhammad deserve respect,0,0,0
96,"Islam considers women as one big sex organ, so no part of her can be exposed.  This is a reflection of the perversion of their prophet.",3,islam considers woman one big sex organ part exposed reflection perversion prophet,0,1,1
97,RT @curdistani: ISIS intend turn war of Islamism into ethnic war of Pan Arabism&amp;Kurd in Mosul. As evidence show they are conducting Pan ara���,3,rt curdistani isi intend turn war islamism ethnic war pan arabism amp kurd mosul evidence show conducting pan ara���,0,0,1
98,RT @george3612: @ProudPatriot101 Austrians Say Islam Does Not Belong in Their Nation: Poll http://t.co/Pa7yTFBQhB ���,3,rt george3612 proudpatriot101 austrian say islam belong nation poll http //t.co/pa7ytfbqhb ���,0,0,1
99,@pNibbler @AlterNet @MaxBlumenthal In every Christian nation you can say what you want about Christians &amp; Jesus. Muslims kill for blasphemy.,3,pnibbler alternet maxblumenthal every christian nation say want christian amp jesus muslim kill blasphemy,0,0,1
100,@FalconEye123456 May Allah bless him with 72 virgin pigs.,3,falconeye123456 may allah bless 72 virgin pig,0,0,0
101,@discerningmumin Hamas was elected once and have not had elections since.They have skipped many elections. Mursi was going in same direction,3,discerningmumin hamas elected election since.they skipped many election mursi going direction,1,0,1
102,@DianH4 Perish slowly my ass. Slavery lasted longer in the Muslim world that anywhere else. And your hero is trying to bring it back.,3,dianh4 perish slowly as slavery lasted longer muslim world anywhere else hero trying bring back,0,0,0
103,@Zahoorgorsi What the Americans did in Iraq was allow the Iraqis to elect their leadership.  Sunnis and Shia killing each other is Islam.,3,zahoorgorsi american iraq allow iraqi elect leadership sunni shia killing islam,0,0,1
104,@FarooqSumar @NafeezAhmed @MaxBlumenthal And the Muslim Nazis left the Jews nothing but this. http://t.co/MTVgnwqZVu,3,farooqsumar nafeezahmed maxblumenthal muslim nazi left jew nothing http //t.co/mtvgnwqzvu,0,0,1
105,@alihadi68 @David_Cameron Who's them? I only see real beheadings in Palestine and the rest of the Muslim world.,3,alihadi68 david_cameron 's see real beheading palestine rest muslim world,0,0,1
106,RT @brassidio: Muslims are like spoilt children who throw violent tantrums when they don't get their own way. #RespectForMuslims,3,rt brassidio muslim like spoilt child throw violent tantrum n't get way respectformuslims,1,0,1
107,@PoliticalAnt @Lithobolos @ZaibatsuNews So ISIS beheads because their prophet beheaded . ISIS rapes slaves because their prophet raped them.,3,politicalant lithobolos zaibatsunews isi beheads prophet beheaded isi rape slave prophet raped,0,0,1
108,@DawlatnaMansura The next step in warfare is the ground drone. A robot that will walk up to the Jihadi and blow out his brains.,3,dawlatnamansura next step warfare ground drone robot walk jihadi blow brain,0,0,0
109,"@AAlwuhaib1977 So while thousands of churches, temples, synagogs have been destroyed by Muslim biggots, you only worry about one Muslim ....",3,aalwuhaib1977 thousand church temple synagogs destroyed muslim biggots worry one muslim ....,0,1,0
110,@loveconcursall @ottomanland The English &amp; Israel were really thinking ahead when they sent Baghdadi to all those Islamic religious schools.,3,loveconcursall ottomanland english amp israel really thinking ahead sent baghdadi islamic religious school,0,0,0
111,"@Bruciebabe @andyblueskyz @End_Bigotry @chezkig1 @ericcartmanfat @AbbsWinston All the Jews,Christians and gays would be dead. Women enslaved",3,bruciebabe andyblueskyz end_bigotry chezkig1 ericcartmanfat abbswinston jew christian gay would dead woman enslaved,1,0,1
112,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53 We don't make prophets out of pedophile priests. We get rid of them.,3,cdnkhadija johnnygjokaj bilalighumman 98halima rfrankh53 n't make prophet pedophile priest get rid,0,0,0
113,@DianH4 By showing your love of a genocidal animal like Baghdadi you have given the reason why Islam must be exterminated.,3,dianh4 showing love genocidal animal like baghdadi given reason islam must exterminated,1,0,1
114,"RT @RavenHUWolf: Many of the ISIS members are walking ""stoners"" ~ even #daesh #Emwazi #JihadiJohn it's been rumored he's high on #Khat http���",3,rt ravenhuwolf many isi member walking `` stoner '' even daesh emwazi jihadijohn 's rumored 's high khat http���,0,0,1
115,"As long as the Middle East is in the grip of #Islam, there will never be such a thing as an Arab Spring. #Syria #Libya #Yemen #Iraq #Egypt",3,long middle east grip islam never thing arab spring syria libya yemen iraq egypt,0,0,0
116,@Damhan97 @niall_cullen @AC360 Having more children is what their prophet Mohammed told them to do.  Reproductive imperialism.,3,damhan97 niall_cullen ac360 child prophet mohammed told reproductive imperialism,0,0,0
117,RT @AmyMek: #WakeUpLibs-&gt;.@JoeNBC: Islamic jihadis like ���ultrafundamentalist Christians��� http://t.co/VAnp6y7clr #tcot #ILoveObama http://t.���,3,rt amymek wakeuplibs- gt joenbc islamic jihadis like ���ultrafundamentalist christians��� http //t.co/vanp6y7clr tcot iloveobama http //t.���,1,0,1
118,"@DianH4 @rogue_allah You are lying again, just like a Muslim. The Quran approves of raping slave girls explicitly.",3,dianh4 rogue_allah lying like muslim quran approves raping slave girl explicitly,0,0,1
119,"RT @RudawEnglish: #ISIS has begun recruiting Moroccan prostitutes for its militants in Syria and #Iran, luring them with promises of money ���",3,rt rudawenglish isi begun recruiting moroccan prostitute militant syria iran luring promise money ���,0,0,0
120,RT @peddoc63: @fernleex Muslims not killing are complicit by silence.Tolerance of intolerance is cowardice.Ali was maimed by Islam. http://���,3,rt peddoc63 fernleex muslim killing complicit silence.tolerance intolerance cowardice.ali maimed islam http //���,1,0,1
121,@morasilh @bbcturkce The Sunni Turkmen are genocidal criminals living off loot they stole from minorities. What they want counts for nothing,3,morasilh bbcturkce sunni turkmen genocidal criminal living loot stole minority want count nothing,1,0,1
122,"@discerningmumin It's not a prophet competition. It's about following a fraud who owned slaves, had people murdered, was a bigot, etc.",3,discerningmumin 's prophet competition 's following fraud owned slave people murdered bigot etc,1,0,1
123,@alihadi68 @MaxBlumenthal @rudoren @nytimes Compare a Netanyahu speech to this genocidal Palestinian lunatic. https://t.co/8cmfoOZwxz,3,alihadi68 maxblumenthal rudoren nytimes compare netanyahu speech genocidal palestinian lunatic http //t.co/8cmfoozwxz,1,0,1
124,@ZamiraTwitt One way of helping to prevent such crimes would be to outlaw the sick and 2 religion of Islam that victimizes women.,3,zamiratwitt one way helping prevent crime would outlaw sick 2 religion islam victimizes woman,1,0,1
125,@SumerSloan @PAWarnhoff @etsho127 Why haven't you and your world stopped over 100 Islamic terrorist organizations from murdering children.,3,sumersloan pawarnhoff etsho127 n't world stopped 100 islamic terrorist organization murdering child,1,0,1
126,@MaxBlumenthal @Ajzionts Max Blumenthal's Muslim friends busy raping Christian girls around the world. http://t.co/liSKP9U8Uq,3,maxblumenthal ajzionts max blumenthal 's muslim friend busy raping christian girl around world http //t.co/liskp9u8uq,0,0,1
127,@GENUG @TheMuslimIssue Saudi Arabia - a nation of Islamolunatics hiding from the Islamolunatics they helped to create. #Islam,3,genug themuslimissue saudi arabia nation islamolunatics hiding islamolunatics helped create islam,0,0,1
128,@pNibbler @AlterNet @MaxBlumenthal The majority have radical and violent opinions when they are polled about them. http://t.co/LnGUHxNRyJ,3,pnibbler alternet maxblumenthal majority radical violent opinion polled http //t.co/lnguhxnryj,0,0,0
129,"@biebervalue @greenlinerzjm You fucking moron, slavery is approved right in the Quran. Read it you stupid idiot.",3,biebervalue greenlinerzjm fucking moron slavery approved right quran read stupid idiot,0,0,1
130,"@discerningmumin And now, every Jihadi group wants to reinstate slavery in the present because the Quran approves it and Mohammed practiced.",3,discerningmumin every jihadi group want reinstate slavery present quran approves mohammed practiced,0,0,1
131,@halalflaws @biebervalue @greenlinerzjm What your prophet said was that women are stupid and corrupt. #Islam http://t.co/gmiSHq8QaG,3,halalflaws biebervalue greenlinerzjm prophet said woman stupid corrupt islam http //t.co/gmishq8qag,0,0,1
132,@NNdabbour64 A phony prophet trying to gain power through hatred and divisiveness is the reason for it.,3,nndabbour64 phony prophet trying gain power hatred divisiveness reason,0,0,0
133,"@KellyTurner99 @buellerishere @isra_jourisra @fei989 And not only did Mohammed burn them, the crucified, stoned and beheaded people.",3,kellyturner99 buellerishere isra_jourisra fei989 mohammed burn crucified stoned beheaded people,0,0,1
134,@Vandaliser @sajid_fairooz @IsraeliRegime Degrassie is not a historian.,3,vandaliser sajid_fairooz israeliregime degrassie historian,0,0,0
135,@etsho127 @PAWarnhoff @SumerSloan They could never choose.  Islam has given them nothing but Caliphates and dictatorships for 1400 years.,3,etsho127 pawarnhoff sumersloan could never choose islam given nothing caliphate dictatorship 1400 year,0,0,1
136,@shehzilk @watan71969 Those Jews are assholes.  Most Jews are secular and humanist.  Most Muslims are Islamists. http://t.co/GQx6BZAFJ5,3,shehzilk watan71969 jew asshole jew secular humanist muslim islamist http //t.co/gqx6bzafj5,0,0,1
137,@Almahiraa__ @munthir555 Nobody cares about your stupid rationalizations.  We are simple going to kill all the Daesh. Hope you are one of em,3,almahiraa__ munthir555 nobody care stupid rationalization simple going kill daesh hope one em,0,0,0
138,"RT @KenRoth: Dangerous to outsource Iraq security to Shia militia known for ""disappearances"" &amp; executions. http://t.co/3catmb5vZl http://t.���",3,rt kenroth dangerous outsource iraq security shia militia known `` disappearance '' amp execution http //t.co/3catmb5vzl http //t.���,0,0,1
139,@Lithobolos @PoliticalAnt @ZaibatsuNews So when are you going to admit that the Quran is wrong.  I'm waiting.,3,lithobolos politicalant zaibatsunews going admit quran wrong 'm waiting,0,0,0
