ID,Text,Classe,Text_Lem,Homophobia,sexism,Racism
65,Whn we gonn b 2gether?,0,whn gonn b 2gether,0,0,0
66,your welcome :) sureee,0,welcome sureee,0,0,0
67,have you ever had sex?,0,ever sex,0,1,0
68,nice. rub it in hahaha,0,nice rub hahaha,0,0,0
69,Only too fucking true.,0,fucking true,0,0,0
70,so u hate christmas 2?,0,u hate christmas 2,0,0,0
71,Definantly not. One :],0,definantly one,1,0,0
72,yes i do and it sucks.,0,yes suck,0,0,0
73,The love of my life :],0,love life,0,0,0
74,mobb deep fucking owns,0,mobb deep fucking owns,0,0,0
75,haha! i'm such a nerd!,0,haha 'm nerd,0,0,0
76,What is boring to you?,0,boring,0,0,0
77,No fucking kidding eh?,0,fucking kidding eh,1,0,0
78,thats nice to no lol=],0,thats nice lol=,0,0,0
79,penn and teller pussy?,0,penn teller pussy,0,0,0
80,damn sounds painful lol,0,damn sound painful lol,0,0,0
81,pick up the damn phone!,0,pick damn phone,0,0,0
82,Kick some ass miss jen!,0,kick as miss jen,0,0,0
83,LACEY'Z A BITCH WTF LOL,0,lacey z bitch wtf lol,0,0,0
84,sheos  hate  medication,0,sheos hate medication,0,0,0
85,that is too damn cute!!,0,damn cute,0,0,0
86,iDnt even kno if she iz,0,idnt even kno iz,1,0,0
87,nigga u fresh as fuck.!,0,nigga u fresh fuck,0,0,1
88,what&;s heaven for you?,0,heaven,0,0,0
89,how do you stay so cute?,0,stay cute,0,0,0
90,Ummm..Im not  a quitter.,0,ummm .. im quitter,0,0,0
91,so i just hadda say this,0,hadda say,1,0,0
92,nope. probably not. haha,0,nope probably haha,0,0,0
93,Haha (: whatever that is,0,haha whatever,0,0,0
94,Why are u goin to North?,0,u goin north,0,0,0
95,what others do you have?,0,others,0,0,0
96,A painted wooden dragon.,0,painted wooden dragon,0,0,0
97,Love you too april hahaha,0,love april hahaha,0,0,0
98,Love you too april hahaha,0,love april hahaha,0,0,0
99,y0 d!(k !$ l!K3 @ c0RND0q,0,y0 k l k3 c0rnd0q,0,0,0
100,Would you like a massage?,0,would like massage,0,0,0
101,do you want a girlfriend?,0,want girlfriend,0,0,0
102,Are you silly or serious?,0,silly serious,0,0,0
103,Do yuh have any stalkers?,0,yuh stalker,0,0,0
104,lmfao iJuz notice dat lol,0,lmfao ijuz notice dat lol,0,0,0
105,R YUU STiLL WiT YO BF? (:,0,r yuu still wit yo bf,0,0,0
106,What&;s your funny story?,0,funny story,0,0,0
107,well i know who this is..,0,well know ..,0,0,0
108,live with both Parents ??,0,live parent,0,0,0
109,Do you think life is fair?,0,think life fair,0,0,0
110,How often do you get sick?,0,often get sick,0,0,0
111,when there is none left :P,0,none left p,0,0,0
112,Are your nippleSz pierced?,0,nipplesz pierced,0,0,0
113,ouch  why did you hate it?,0,ouch hate,0,0,0
114,(: Tabitha Jai Locascio (:,0,tabitha jai locascio,0,0,0
115,a different place. utopia.,0,different place utopia,0,0,0
116,Heh  default slut mode? :),0,heh default slut mode,0,1,0
117,HOT DAMN! Congratulations!,0,hot damn congratulation,0,0,0
118,I hate when they do that--,0,hate --,0,0,0
119,Do you own a pair of dice?,0,pair dice,0,0,0
120,Favorite brand of clothes?,0,favorite brand clothes,0,0,0
121,Have any favourite quotes?,0,favourite quote,0,0,0
122,J.Mayer sucks the big one.,0,j.mayer suck big one,0,0,0
123,Just rain here!!! Damn! :(,0,rain damn,0,0,0
124,oooh damn that sounds good!,0,oooh damn sound good,1,0,0
125,! w@n+ yUh t@ m@k3 m3 $w3@+,0,w n+ yuh k3 m3 w3,0,0,0
126,Can you draw pictures well?,0,draw picture well,0,0,0
127,Can crop circles be square?,0,crop circle square,0,0,0
128,ouch. I hate when i do that,0,ouch hate,0,0,0
129,lmao idk wea its at....haha,0,lmao idk wea .... haha,0,0,0
130,O. M. G. FREAK. no offense.,0,o. m. g. freak offense,0,0,0
131,do you like girls? hahaha:],0,like girl hahaha,0,1,0
132,Would you get high with me?,0,would get high,0,0,0
133,dont hate her  embrace her!,0,dont hate embrace,0,0,0
134,got damn man. that's nice!!,0,got damn man 's nice,0,0,0
135,piratee&;s or ninja&;s? Ahah,0,piratee ninja ahah,0,0,0
136,what do you always pray for?,0,always pray,0,0,0
137,anything jennifer lopez haha,0,anything jennifer lopez haha,0,0,0
138,What colour is your bedroom?,0,colour bedroom,0,0,0
139,Name 1 girl you find pretty.,0,name 1 girl find pretty,0,1,0
140,I hate getting confused lol.,0,hate getting confused lol,0,0,0
141,you are the computer nerd :),0,computer nerd,0,0,0
142,i L o v e Y u h h ! ! ! ! (:,0,l v e u h h,0,0,0
143,not at all :) look away haha,0,look away haha,0,0,0
144,keep it inside. almost always,0,keep inside almost always,0,0,0
145,once. unless im super active.,0,unless im super active,0,0,0
146,HOW U LYK YO BRED TOASTED????,0,u lyk yo bred toasted,0,0,0
147,great went ta jamaca...Yew???,0,great went ta jamaca ... yew,0,0,0
148,i know alot of pretty people.,0,know alot pretty people,0,0,0
149,I'll alert the gay-thorities.,0,ll alert gay-thorities,1,0,0
150,Be truly Kind to one another.,0,truly kind one another,0,0,0
151,Have you ever been beaten up?,0,ever beaten,0,0,0
152,Name a bird with a long neck.,0,name bird long neck,0,0,0
153,Sleep? What the fuck is that?,0,sleep fuck,0,0,0
154,Shore I'd be happy too!!!! :),0,shore 'd happy,0,0,0
155,Fuck the Atrium. That is all.,0,fuck atrium,0,0,0
156,Yes haha im not gayy silly (:,0,yes haha im gayy silly,1,0,0
157,yeah. time zones are a bitch.,0,yeah time zone bitch,0,0,0
158,Do you ever go bird watching?,0,ever go bird watching,0,0,0
159,what song best describes you?,0,song best describes,0,0,0
160,what gives you peace of mind?,0,give peace mind,0,0,0
161,ahahaha. you're a nerd. &lt;3,0,ahahaha 're nerd lt 3,0,0,0
162,Do you think demons are real?,0,think demon real,0,0,0
163,Yuh m@k3 d@ 53x m3+3r q0 vv!ld,0,yuh k3 53x m3+3r q0 vv ld,0,0,0
164,ummm.....ahhh hottt seniorrr(:,0,ummm ..... ahhh hottt seniorrr,0,0,0
165,How many suitcases do you own?,0,many suitcase,0,0,0
166,why do you hate the piano? o_O,0,hate piano o_o,1,0,0
167,you hate loud people  like us?,0,hate loud people like u,0,0,0
168,haha  she has a nice ass also.,0,haha nice as also,0,0,0
169,Apple store!(; Need a MAC pro!,0,apple store need mac pro,0,0,0
170,tell me 5 facts about yourself,0,tell 5 fact,0,0,0
171,dont you hate scarlett though?,0,dont hate scarlett though,0,0,0
172,I hate it when they do that :3,0,hate :3,0,0,0
173,Famous(: Bhut im ME 4 rite now!,0,famous bhut im 4 rite,0,0,0
174,r u &amp; Frances still talken?,0,r u amp france still talken,0,0,0
175,how do you make yourself happy?,0,make happy,0,0,0
176,LOL!! Not DMX  his ass is crazy,0,lol dmx as crazy,0,0,0
177,Its sunday so i can sleep in :),0,sunday sleep,0,0,0
178,Damn  last tweet was for you :P,0,damn last tweet p,0,0,0
179,Those dogs look FAT to me!! ;-),0,dog look fat,0,0,0
180,So true I hate a dirty bathroom,0,true hate dirty bathroom,0,0,0
181,fuck  that blows! For how long?,0,fuck blow long,0,0,0
182,Damn.  That is a beautiful car.,0,damn beautiful car,0,0,0
183,The Beatles or The Temptations?,0,beatles temptation,0,0,0
184,about kickin' some canadian ass?,0,kickin canadian as,0,0,0
185,Name 3 cheese products you like.,0,name 3 cheese product like,0,0,0
186,do you know how to speak korean?,0,know speak korean,0,0,0
187,personality 9r physic 8r looks 8,0,personality 9r physic 8r look 8,0,0,0
188,come here  I'll kickle your ass.,0,come 'll kickle as,0,0,0
189,Oh damn....I'm so sorry honey...,0,oh damn .... 'm sorry honey ...,0,0,0
190,hahah okey dokey!..sweet thang(;,0,hahah okey dokey .. sweet thang,0,0,0
191,When is the last time you cried?,0,last time cried,0,0,0
192,Putting pants on sucks lol. Ross,0,putting pant suck lol ross,0,0,0
193,I heart TROLLS! PHASE 2 Damn it!,0,heart troll phase 2 damn,0,0,0
194,I know its you dina im not dumb.,0,know dina im dumb,0,0,0
195,are good  im in a cookie club :),0,good im cookie club,0,0,0
196,Have you ever been to Six Flags?,0,ever six flag,0,0,0
197,Any special reason for the hate?,0,special reason hate,0,1,0
198,Ohio  USA. And its pretty rad :],0,ohio usa pretty rad,0,0,0
199,Why are people being so hateful?,0,people hateful,1,0,0
200,tell me something about.. SNOW :],0,tell something .. snow,0,0,0
201,"and big kisses to you too  doll!""",0,big kiss doll '',0,0,0
202,How often do you get the hiccups?,0,often get hiccup,0,0,0
203,omg really i never noticed lol =],0,omg really never noticed lol,0,0,0
204,how crude people are. all people.,0,crude people people,0,0,0
205,Are the best things in life free?,0,best thing life free,0,0,0
206,yeah you should. Fucking dumbass.,0,yeah fucking dumbass,0,0,0
207,I was on my way to work. Driving.,0,way work driving,0,0,0
208,usual but it used to piss me off.,0,usual used piss,0,0,0
209,Juno  Sweet november  mr. deeds :],0,juno sweet november mr. deed,0,0,0
210,Do you watch Family Guy regularly?,0,watch family guy regularly,0,0,0
211,Have you done something bad today?,0,done something bad today,0,0,0
212,Who&;s the most overrated athlete?,0,overrated athlete,0,0,0
213,well then why did you bring it up?,0,well bring,1,0,0
214,i havent ate fries in a long time!,0,havent ate fry long time,0,0,0
215,Hmmm fruit!! :) any kind of fruit.,0,hmmm fruit kind fruit,0,0,0
216,Idk really. I think im an alien :],0,idk really think im alien,0,0,0
217,poor you!!! hate both subjects!!!!,0,poor hate subject,0,1,0
218,<3 hahahahhahah thakssssssssssssss,0,3 hahahahhahah thakssssssssssssss,0,0,0
219,Damn I don't think I'm on the list,0,damn n't think 'm list,0,0,0
220,why haven&;t i had any dinner yet?,0,dinner yet,0,0,0
221,I hate your direct message. Thanks.,0,hate direct message thanks,0,0,0
222,craziest? i havent. only a raccoon.,0,craziest havent raccoon,0,0,0
223,sucks that the Source link is wrong,0,suck source link wrong,0,0,0
224,i think u and jack should date!!!:),0,think u jack date,0,0,0
225,aww that sucks! Sorry to hear it :(,0,aww suck sorry hear,0,0,0
226,Hmmm...i don&;t know. I want to. :D,0,hmmm ... know want,0,0,0
227,HAPPY FUCKING BIRTHDAY YA PONGO! :),0,happy fucking birthday ya pongo,0,0,0
228,y0 v@q!N@ sm3lL lykK c0tT@q3 (h33s3,0,y0 v q n sm3ll lykk c0tt q3 h33s3,0,0,0
229,what club u @? Damn  I fell alseep!,0,club u damn fell alseep,0,0,0
230,Are yuh single and ready 2 mingle?!,0,yuh single ready 2 mingle,0,0,0
231,I love cameras. Show your face yooo,0,love camera show face yooo,0,0,0
232,Would you rather be rich or famous?,0,would rather rich famous,0,0,0
233,those are fine  you know I hate cats,0,fine know hate cat,0,0,0
234,Have you ever been to Hollywood  CA?,0,ever hollywood ca,0,0,0
235,BITCH GET ONLINE  I FOUND CUTE SHOES,0,bitch get online found cute shoe,0,0,0
236,What kind of music do you listen to?,0,kind music listen,0,0,0
237,nick that video is so fucking killer,0,nick video fucking killer,0,0,0
238,Damn iPhone  I meant wine and cheese,0,damn iphone meant wine cheese,0,0,0
239,join the club! LOL  I hate the snow!,0,join club lol hate snow,0,0,0
240,*damn BB be going hard on them boyz*,0,damn bb going hard boyz,0,0,0
241,sucks they only made like 20 of them,0,suck made like 20,0,0,0
242,Do you put cheese on your spaghetti?,0,put cheese spaghetti,0,0,0
243,Wow  that sucks. Is that even legal?,0,wow suck even legal,0,0,0
244,I hate it when I do things like that,0,hate thing like,0,0,0
245,Aww thanks a ton. but honestly what?,0,aww thanks ton honestly,0,0,0
246,maybe if i was really that desperate.,0,maybe really desperate,0,0,0
247,Damn....your co-workers are classy...,0,damn .... co-worker classy ...,0,0,0
248,i would look sexy and fuck shit up :D,0,would look sexy fuck shit,0,0,0
249,agreed. Continues to piss me off too.,0,agreed continues piss,0,0,0
250,What did you eat for breakfast today?,0,eat breakfast today,0,0,0
251,ability to fly or breath under water?,0,ability fly breath water,0,0,0
252,Do you shrug it off or cry for hours?,0,shrug cry hour,0,0,0
253,Which is the song that makes you cry?,0,song make cry,0,0,0
254,What movie do you know every line to?,0,movie know every line,0,0,0
255,Uhm. Actor(: They get paied more haha,0,uhm actor get paied haha,0,0,0
256,What is the second most unique thing?,0,second unique thing,0,0,0
257,I hate on blogs?  what are you saying?,0,hate blog saying,1,0,0
258,Do you want to start over with anyone?,0,want start anyone,0,0,0
259,hhahahaha oh i no  it does irritate me,0,hhahahaha oh irritate,0,0,0
260,am I too emo? http://snipurl.com/7rq8p,0,emo http //snipurl.com/7rq8p,0,0,0
261,it is christmas eve im fucking excited,0,christmas eve im fucking excited,0,0,0
262,Have you ever cried from being so mad?,0,ever cried mad,0,0,0
263,u better shut the fuck up wit that lol,0,u better shut fuck wit lol,0,0,0
264,ur butiful babe i just wish i waz urz.,0,ur butiful babe wish waz urz,0,0,0
265,Is using a inhaler a sign of weakness?,0,using inhaler sign weakness,0,0,0
266,I also hate talk shows and reality tv.,0,also hate talk show reality tv,0,0,0
267,If heat rises  shouldn&;t hell be cold?,0,heat rise hell cold,0,0,0
268,10 things you want to do before you die,0,10 thing want die,0,0,0
269,Yuppers! Nose and Cartilage piercings(;,0,yuppers nose cartilage piercings,0,0,0
270,lol ok shit i am going to get so fat!!!,0,lol ok shit going get fat,0,0,0
271,My unemployed ass ain't goin' anywhere.,0,unemployed as ai n't goin anywhere,0,0,0
272,umm a homeless guys with blackberry haha,0,umm homeless guy blackberry haha,0,0,1
273,What is the bravest thing you have done?,0,bravest thing done,0,0,0
274,wtf bxtch clea it iNeva ben ta hiz house,0,wtf bxtch clea ineva ben ta hiz house,1,0,0
275,What is your best friend&;s Mom&;s name?,0,best friend mom name,0,0,0
276,I am. Hence the hate. But I love him rly,0,hence hate love rly,1,0,0
277,lol.damn I gotta find a cheap ass flight,0,lol.damn got ta find cheap as flight,0,0,0
278,things that you cant leave/live without?,0,thing cant leave/live without,0,0,0
279,That sucks  i hope he feels better soon!,0,suck hope feel better soon,0,0,0
280,Justin Bieber.Duh. &amp;&amp; Russia! ;],0,justin bieber.duh amp amp russia,0,0,0
281,"Nooooooooo comment on ""dick butts."" XDDD",0,nooooooooo comment `` dick butt '' xddd,0,0,0
282,Have you ever bid for something on ebay?,0,ever bid something ebay,0,0,0
283,well i had to put my two cents in [: haha,0,well put two cent haha,0,0,0
284,hahahahhaahaha I hope you kicked his ass!,0,hahahahhaahaha hope kicked as,0,0,0
285,depends on how close we were at the time.,0,depends close time,0,0,0
286,ain't that crazy? enough to piss you off!,0,ai n't crazy enough piss,0,0,0
287,well thats just too bad now isn&;t it? [;,0,well thats bad,0,0,0
288,its fucking terrible my friend and I left,0,fucking terrible friend left,0,0,0
289,THIS is why i hate the snow!!!!!!!!!!!!!!,0,hate snow,0,0,0
290,damn straight you need to find your iPod.,0,damn straight need find ipod,0,0,0
291,http://www.e-castig.com/index.php?r=C1o6s,0,http //www.e-castig.com/index.php r=c1o6s,0,0,0
292,What holiday is closest to your birthday?,0,holiday closest birthday,0,0,0
293,i hate everything about you- 3 days grace,0,hate everything you- 3 day grace,1,0,0
294,DoIhKnowYuh?r AndYuhrLike...SpammingMyFS.,0,doihknowyuh r andyuhrlike ... spammingmyfs,0,0,0
295,When was the first time that you had beer?,0,first time beer,0,0,0
296,ahhh true.. true... plus it plays music XD,0,ahhh true .. true ... plus play music xd,0,0,0
297,Yayyyy! Damn irish bitch! Congratulations!,0,yayyyy damn irish bitch congratulation,0,0,0
298,something about piss should do. or zebras.,0,something piss zebra,1,0,0
299,nigga you sound like a creep ass pedophile,0,nigga sound like creep as pedophile,1,0,1
300,my sides hurt from laughing so hard. Dick.,0,side hurt laughing hard dick,0,0,0
301,And why are you trying to give me advice.?,0,trying give advice,0,0,0
302,haha I love how much of a nerd Obama is...,0,haha love much nerd obama ...,0,0,0
303,hahahahahahaah thanks spency :DDDDD <3 you,0,hahahahahahaah thanks spency ddddd 3,0,0,0
304,can you travel around the world in 80 days,0,travel around world 80 day,0,0,0
305,eww  that sucks. hopefully u have off soon?,0,eww suck hopefully u soon,0,0,0
306,i guess i would gett fat  and have a baby .,0,guess would gett fat baby,0,0,0
307,well r i think i really like my friend.. :/,0,well r think really like friend ..,0,0,0
308,WELL YOU THINK OF SOMETHING THEN I HATE YOU,0,well think something hate,1,0,0
309,hottest guy you have ever seen in real life?,0,hottest guy ever seen real life,0,0,0
310,jabbawockeez.. what do you think about them?,0,jabbawockeez .. think,0,0,0
311,LOL well u should help them get some dick...,0,lol well u help get dick ...,0,0,0
312,Sometimes lol if im in the mood to wear one.,0,sometimes lol im mood wear one,0,0,0
313,Suave. Its cheap and gets the job done. haha,0,suave cheap get job done haha,0,0,0
314,yeah I've been to N.O. recently  damn shame.,0,yeah 've n.o recently damn shame,0,0,0
315,I hear you. BTW  the Jonas brothers are gay.,0,hear btw jonas brother gay,1,0,0
316,Damn you Pinot Noir and your grapey goodness!,0,damn pinot noir grapey goodness,0,0,0
317,how are you drunk bro? DAMN I.. it's only 2PM,0,drunk bro damn .. 's 2pm,0,0,0
318,damn  dude. nice find. awesome work in there.,0,damn dude nice find awesome work,0,0,0
319,that sucks! I hope you feel better soon *hug*,0,suck hope feel better soon hug,0,0,0
320,that sucks. Why is your vision all messed up?,0,suck vision messed,0,0,0
321,bien. which is good in spanish. hahaha musta?,0,bien good spanish hahaha musta,0,0,0
322,Robert :) Sorry I hate when I miss type names,0,robert sorry hate miss type name,1,0,0
323,Proton definantly. Positive polly yes i am :],0,proton definantly positive polly yes,0,0,0
324,benson- Dude fuck yea. I'm gonna bank tonight,0,benson- dude fuck yea 'm gon na bank tonight,0,0,0
325,do the makers of Friendster uses Facebook? =),0,maker friendster us facebook,0,0,0
326,What do you think about formspring.me so far?,0,think formspring.me far,0,0,0
327,puppy is good. Knows where to piss and shit..,0,puppy good know piss shit ..,0,0,0
328,Well then get some damn sleep ya dumbass! Lol,0,well get damn sleep ya dumbass lol,0,0,0
329,When you say you don&;t care  do you mean it?,0,say care mean,0,0,0
330,mhm ohkay slide yo numba nd iWill met yew lol,0,mhm ohkay slide yo numba nd iwill met yew lol,1,0,0
331,Have you ever wasted you&;re time on anybody?,0,ever wasted time anybody,0,0,0
332,here's some cock for u http://twitpic.com/rrvm,0,s cock u http //twitpic.com/rrvm,1,0,0
333,I like my ma's homemade chicken noodle soup :],0,like 's homemade chicken noodle soup,0,0,0
334,Damn it  now I have an urge to move to Vermont,0,damn urge move vermont,0,0,0
335,Thats great . i hope things work out fine.. (:,0,thats great hope thing work fine ..,0,0,0
336,So did anybody end up buying a fucking camera?,0,anybody end buying fucking camera,0,0,0
337,I KNOW!!!! makes my fucking dayyy!!! shes HUGE,0,know make fucking dayyy shes huge,0,0,0
338,http://twitpic.com/y2yl - That. Fucking. Rules.,0,http //twitpic.com/y2yl fucking rule,0,0,0
339,What was the best advice you&;ve ever received?,0,best advice ever received,0,0,0
340,I don't really remember but damn its killing me,0,n't really remember damn killing,0,0,0
341,Yes. And im sure there are tons that soo could.,0,yes im sure ton soo could,0,0,0
342,ohh reallu? well how does it feel to want [; ?!,0,ohh reallu well feel want,0,0,0
343,Tabi  I love you. (: I will meet you one day (;,0,tabi love meet one day,0,0,0
344,dude that fucking sucks. He was a cool cat. RIP,0,dude fucking suck cool cat rip,0,0,0
345,fuck I feel bad for you. what pack did you get?,0,fuck feel bad pack get,0,0,0
346,good call Boo   Bitch   Boo x2 Dumb ass plaxico,0,good call boo bitch boo x2 dumb as plaxico,1,1,0
347,Is French kissing in France just called kissing?,0,french kissing france called kissing,0,0,0
348,http://tinyurl.com/these-hats-are-damn-tradition,0,http //tinyurl.com/these-hats-are-damn-tradition,0,0,0
349,Im just glad im gon be paid to sit on my ass lol,0,im glad im gon paid sit as lol,0,0,0
350,lol cleaning  i hate the dentist with a passion!,0,lol cleaning hate dentist passion,0,0,0
351,Would it bother you to never have personal time?,0,would bother never personal time,0,0,0
352,damn  you beat me to that example. :) #journchat,0,damn beat example journchat,0,0,0
353,what was the most awkward situation in your life?,0,awkward situation life,0,0,0
354,Hood has apparently lost his mind. Sucks for him.,0,hood apparently lost mind suck,0,0,0
355,yes. but we end up warped in the end either way..,0,yes end warped end either way ..,1,0,0
356,Enterprise can suck my dick too! That's bullshit!,0,enterprise suck dick 's bullshit,0,0,0
357,damn. now im craving them from you tweeting them!,0,damn im craving tweeting,0,0,0
358,Do bald men wash their head with soap or shampoo?,0,bald men wash head soap shampoo,0,0,0
359,what&;s the funnest place you have ever traveled?,0,funnest place ever traveled,0,0,0
360,i hate snow. you can give me yr car. if you want.,0,hate snow give yr car want,0,0,0
361,damn bro. Next time go partying like that  holla!,0,damn bro next time go partying like holla,0,0,0
362,Is quality or quantity of friends more important?,0,quality quantity friend important,0,0,0
363,Damn. I got bammed. Wonder how many @glark reads.,0,damn got bammed wonder many glark read,0,0,0
364,Oh my! I'm not even that much of a control freak!,0,oh 'm even much control freak,0,0,0
365,How old will you be turning on your next birthday?,0,old turning next birthday,0,0,0
366,:D thank you gurl/boy ? I really appreciate it!<33,0,thank gurl/boy really appreciate 33,0,0,0
367,okay. my page is not for you to be anonymous on :],0,okay page anonymous,0,0,0
368,Give it back to them. I don't really hate anyone..,0,give back n't really hate anyone ..,0,0,0
369,so does that make Piss Bottle Man song of the day?,0,make piss bottle man song day,0,0,0
370,Damn dude the last 3 eps of TrueBlood are the best,0,damn dude last 3 eps trueblood best,0,0,0
371,which do you think is stronger: love or happiness?,0,think stronger love happiness,0,0,0
372,it's stupid for me to be upset over  really. fuck.,0,s stupid upset really fuck,0,0,0
373,What do you think is your most attractive feature?,0,think attractive feature,0,0,0
374,Do you/have  you ever watched Desperate Housewives?,0,you/have ever watched desperate housewife,0,0,0
375,Hmm. Fine then. RAIN! I HATE YOU! NEVER RAIN AGAIN!,0,hmm fine rain hate never rain,0,0,0
376,hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0,hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0,0,0
377,What&;s something that no one else knows about you?,0,something one else know,0,0,0
378,Do you shower in the morning or at night before bed?,0,shower morning night bed,0,0,0
379,What would you want to be written on your tombstone?,0,would want written tombstone,0,0,0
380,i dont mind it because it gives me questions i guess,0,dont mind give question guess,0,0,0
381,My pu$$zzy !z +hrobb!nq fo yo d!ck t@ q0 !n d@+ $h!+,0,pu zzy z +hrobb nq fo yo ck q0 n h,1,0,0
382,you forgot to precede that tweet with the word FUCK.,0,forgot precede tweet word fuck,0,1,0
383,My Dick by Mickey Avalon or My Neck  My Back by Khia,0,dick mickey avalon neck back khia,0,0,0
384,u are probably right tho   i hate these short days =/,0,u probably right tho hate short day =/,0,0,0
385,Basicc Information -  Name ? Age ? Location ? Grade ?,0,basicc information name age location grade,0,0,0
386,just stuff. i can handle it imma big girl dont tripp.,0,stuff handle imma big girl dont tripp,0,0,0
387,lmao i no hahahahahhahahahahahaha thats what im sayin,0,lmao hahahahahhahahahahahaha thats im sayin,0,0,0
388,If you wanted to look very sexy  how would you dress?,0,wanted look sexy would dress,0,0,0
389,Do you think we are raising the next generation right?,0,think raising next generation right,0,0,0
390,Do you get along better with the same or opposite sex?,0,get along better opposite sex,0,0,0
391,Of course. X marks the spot!!!!! Arrrg im soo ready :],0,course x mark spot arrrg im soo ready,0,0,0
392,look inside your bag/purse.. name three things you see,0,look inside bag/purse .. name three thing see,0,0,0
393,perhaps i should call it that to freak the family out.,0,perhaps call freak family,0,0,0
394,so where are you located and what is it like there? :),0,located like,0,0,0
395,You'll become a super nerd if you dress up as a Gundam,0,ll become super nerd dress gundam,0,0,0
396,If a bee is allergic to pollen would it get the hives?,0,bee allergic pollen would get hive,0,0,0
397,What&;s the nicest thing someone&;s ever done for you?,0,nicest thing someone ever done,0,0,0
398,What&;s the best place near you to get some ice cream?,0,best place near get ice cream,0,0,0
399,If you won a million dollars what would you do with it?,0,million dollar would,1,0,0
400,a bunch im sure. white lies are the hardest to remember,0,bunch im sure white lie hardest remember,0,0,0
401,hey you&;re an amazing nice and sweet girl..pretty too!,0,hey amazing nice sweet girl .. pretty,0,0,0
