Text_Lem,Sentiments_analyze
"exjizyacolector abunaseeha2 yes islam generate level barbarity hatred inhumanity http //t.co/frohluet12","0,0,0
"
"nndabbour64 old lie property right arab woman islam","0,1,0
"
"obsurfer84 teenage let people look poll muslim answered see come hate http //t.co/j2bamnbzi4","0,0,0
"
"qoloob4 vandaliser sajid_fairooz israeliregime gave proof quran hadith lying","0,0,0
"
"maxblumenthal verse quran hadith proving genocidal aim muslim biggots http //t.co/pf8iwpdb1d","0,0,0
"
"truaemusic mattybboi83 number10gov masked quran hadith declared war humanity 1400 year ago http //t.co/tuowg1ltyj","0,0,0
"
"rt ironmanl1 jihad word word islam twisted deceive kafir http //t.co/afcgwbrqam","0,0,0
"
"myth `` moderate '' islamic rebel fanatic islam must outlawed http //t.co/bygcwwqjw5","0,0,0
"
"iamthe1teacher ironmanl1 stevecorrales80 yet law islam 1/3 muslim support law tell tolerate em","0,0,0
"
"rt chris_1791 current slavery ferguson blacktwitter dontallblacklivesmatter afraid islam http //t.co/an93g7q3gg http /���","0,0,0
"
"lithobolos politicalant zaibatsunews jihad world domination judaism islam","0,0,0
"
"rt lajouetreine rt unpoliticalprty true history islam slavery must see http //t.co/ufjt3iazzw pjnet","0,0,0
"
"roisin_morgan ca n't separate wishing destroy israel use basis genocidal fanaticism","0,0,0
"
"rt blisstabitha australia gifted teen embrace islam becomes jihad terrorist http //t.co/bpmb7eoagv","0,0,0
"
"rayyoosheh murdering muslim blasphemy mob pakistan http //t.co/f3awjksauz islam","0,0,0
"
"gay man thrown rooftop isi gay despite radical left claim real islam http //t.co/1ypprid7pk","1,0,0
"
"lifeinkhilafah islam hand fight take away people 's freedom force obey imaginary terrorist god","0,0,0
"
"politicalant look data dipwad 2/3 want sharia law denies right woman non muslim http //t.co/7qupimban7","0,1,0
"
"roisin_morgan terminology meaningless assumption make palestinian country never one","0,0,0
"
"flatspaddler1 sumbelinaz velvethammer ironmanl1 hatewatch cry `` boohoo terrorizing islamic terrorist ''","0,0,1
"
"yousufpoosuf hillaryguess muslim fighting jew hindu buddhist christian atheist animist somewhere world","0,0,0
"
"abu_baraa1 tanach67 illiterate baby rapist like prophet","0,0,0
"
"brassidio rayyoosheh waffle_gurl islam believe system based mainly illusion overlooking gross barbarity necessary","0,0,0
"
"chrissmax lying 's islam isi nothing prophet mohammed also","0,0,0
"
"rt brassidio islam gave woman right unfortunately less islam http //t.co/rljbp1zoqh","0,0,0
"
"iamthe1teacher ironmanl1 stevecorrales80 think accept muslim immigrant get back","0,0,0
"
"rt ravenhuwolf read liberal amp get reality check life within islam view belief democracy system mean nothing http���","0,0,0
"
"qoloob4 vandaliser sajid_fairooz israeliregime yes jew tired murdered muslim","0,0,1
"
"aalwuhaib1977 lie tell mantra repeat apartheid etc scripted propaganda spontaneous","0,0,0
"
"habibiline jihadii8 mention crushing poverty endless violence legal forced marriage 8 year old girl","0,1,0
"
"euklidproof daesh follower pedophile prophet mohammed terrorist allah dying rage thousand","0,0,0
"
"congressman_aly know dedicated extermination jew like prophet mohammed","0,0,1
"
"logicalmind11 following quran hatred bigotry make hateful bigot","0,0,0
"
"halalcunty biebervalue liamxkiwi greenlinerzjm halalflaws dont live know ca n't leave house without male relative","0,1,0
"
"farooqsumar nafeezahmed maxblumenthal palestinian make clear egyptian saudi arab must destroy jew ....","0,0,1
"
"kaya786 islamophobia like naziphobia thing","0,0,0
"
"greenlinerzjm mean `` god great '' often shouted muslim murdering one god creation","0,0,0
"
"roisin_morgan religious group globally genocidal attack muslim blame jew utterly stupid","0,0,0
"
"ummayman90 know damn well mohammed told follower breed source population imperialism islam","0,0,0
"
"ameytahl leave microbrain get sanctimonious finding way play race card","0,0,1
"
"rt dhfromthev christian lady pakistan facing execution blaspheming prophet mohommed take islam serious hell fr���","0,0,0
"
"keegannyc syedmuhammad555 sure one third muslim want murder people want leave islam http //t.co/pqw3lgrmh5","0,0,1
"
"camillehughes16 _watch_observe_ muslim 's `` religious freedom '' involves denying others freedom islam must outlawed","0,0,1
"
"rt swagd0ctor vileislam trobinsonnewera ozzsue bbcnews turk wo n't bomb isi isi kill christian http //t.co/hotveohxtz","0,0,1
"
"indyvoices read entire quran many hadith murdering `` unbeliever '' forcing islam people exactly","0,0,0
"
"truaemusic mattybboi83 number10gov mohammed murderer jesus n't mohammed rapist jesus n't","0,0,1
"
"rt maajidnawaz ggreenwald teaching discrimination implies via link critiquing islam like homophobe http /���","1,0,0
"
"asem_1994 isi beheads people saudi beheads people mohammed beheaded 600 jew","0,0,1
"
"abuyigitalcahrz leonardomaxwel1 could islam declared war humanity 1400 year ago http //t.co/xzjozuqnzx","0,0,0
"
"rt sudixitca prophet honor rape beheading genocide honor muhammad deserve respect","0,1,0
"
"islam considers woman one big sex organ part exposed reflection perversion prophet","0,1,0
"
"rt curdistani isi intend turn war islamism ethnic war pan arabism amp kurd mosul evidence show conducting pan ara���","0,0,1
"
"rt george3612 proudpatriot101 austrian say islam belong nation poll http //t.co/pa7ytfbqhb ���","0,0,0
"
"pnibbler alternet maxblumenthal every christian nation say want christian amp jesus muslim kill blasphemy","0,0,0
"
"falconeye123456 may allah bless 72 virgin pig","0,1,0
"
"dianh4 perish slowly as slavery lasted longer muslim world anywhere else hero trying bring back","0,0,1
"
"zahoorgorsi american iraq allow iraqi elect leadership sunni shia killing islam","0,0,0
"
"farooqsumar nafeezahmed maxblumenthal muslim nazi left jew nothing http //t.co/mtvgnwqzvu","0,0,1
"
"rt brassidio muslim like spoilt child throw violent tantrum n't get way respectformuslims","0,0,0
"
"politicalant lithobolos zaibatsunews isi beheads prophet beheaded isi rape slave prophet raped","0,0,0
"
"aalwuhaib1977 thousand church temple synagogs destroyed muslim biggots worry one muslim ....","0,0,0
"
"bruciebabe andyblueskyz end_bigotry chezkig1 ericcartmanfat abbswinston jew christian gay would dead woman enslaved","1,1,0
"
"dianh4 showing love genocidal animal like baghdadi given reason islam must exterminated","0,0,0
"
"long middle east grip islam never thing arab spring syria libya yemen iraq egypt","0,0,0
"
"damhan97 niall_cullen ac360 child prophet mohammed told reproductive imperialism","0,0,0
"
"dianh4 rogue_allah lying like muslim quran approves raping slave girl explicitly","0,1,1
"
"rt rudawenglish isi begun recruiting moroccan prostitute militant syria iran luring promise money ���","0,1,0
"
"rt peddoc63 fernleex muslim killing complicit silence.tolerance intolerance cowardice.ali maimed islam http //���","0,0,1
"
"morasilh bbcturkce sunni turkmen genocidal criminal living loot stole minority want count nothing","0,0,1
"
"discerningmumin 's prophet competition 's following fraud owned slave people murdered bigot etc","0,0,1
"
"zamiratwitt one way helping prevent crime would outlaw sick 2 religion islam victimizes woman","0,1,0
"
"sumersloan pawarnhoff etsho127 n't world stopped 100 islamic terrorist organization murdering child","0,0,0
"
"maxblumenthal ajzionts max blumenthal 's muslim friend busy raping christian girl around world http //t.co/liskp9u8uq","0,1,0
"
"genug themuslimissue saudi arabia nation islamolunatics hiding islamolunatics helped create islam","0,0,1
"
"biebervalue greenlinerzjm fucking moron slavery approved right quran read stupid idiot","0,0,1
"
"discerningmumin every jihadi group want reinstate slavery present quran approves mohammed practiced","0,0,1
"
"halalflaws biebervalue greenlinerzjm prophet said woman stupid corrupt islam http //t.co/gmishq8qag","0,1,0
"
"kellyturner99 buellerishere isra_jourisra fei989 mohammed burn crucified stoned beheaded people","0,0,0
"
"etsho127 pawarnhoff sumersloan could never choose islam given nothing caliphate dictatorship 1400 year","0,0,0
"
"shehzilk watan71969 jew asshole jew secular humanist muslim islamist http //t.co/gqx6bzafj5","0,0,1
"
"rtuknews islamist human right group lol contradiction term","0,0,0
"
"abu_baraa1 peace idiot islam declared war humanity 1400 year ago blab peace time exterminate islam","0,0,0
"
"buellerishere kellyturner99 `` right hand posse '' mean slave quran give clear permission rape slave","0,1,1
"
"jihadi_11 sheikh_times3 care scumbag murder enslave unarmed ezidi christian civilian","0,0,0
"
"truaemusic mattybboi83 number10gov child abuse illegal western culture accepted islamic culture prophet ...","0,0,0
"
"rico_hands nainfidels semzyxx owais00 hey idiot ca n't use problem judaism justify barbarity quran","0,0,1
"
"dianh4 exposefalsehood n't support tyrant islam produce nothing tyrant caliph sultan tyrant","0,0,0
"
"ummahwitness smelly rag head keep moving britian","0,0,1
"
"mdbishop82 railgirl1952 lyndag1963 coslopuss maxblumenthal fact blumenthal 's palestinian friend behead gay","1,0,0
"
"muslim abuse murder minority religion continues muslim majority country http //t.co/1uomvzwccq islam pakistan syria","0,0,0
"
"cherguiambark mostly show vile inhuman digusting barbaric religion islam","0,0,1
"
"anjemchoudary jihadia8 sharia put muslim world 1000 year behind rest civilization tortured minority","0,0,0
"
"discerningmumin first slaughterer muslim invaded christian world 400 year crusade","0,0,0
"
"brown_saraah terrorism core islam ever since fraudulent prophet mohammed invented","0,0,1
"
"anjemchoudary idiot like making declaration contact reality islam inhuman must outlawed","0,0,0
"
"riwired _elreda like picture israel context muslim world tiny spec blame evil","0,0,1
"
"etsho127 sumersloan pawarnhoff furthermore pedo prophet attacked city catapult killing children.so cry","0,0,0
"
"kewldevzzo islam full incitement murder unbeliever talking","0,0,0
"
"cavusseyit one belief god asks one part creation murder another part impossible get stupider","0,0,0
"
"farooqsumar nafeezahmed maxblumenthal muslim arab using palestinans spear point complete extermination","0,0,1
"
"jncatron dailydot pig like never whine loud hundred murder muslim every day around world","0,0,1
"
"loveconcursall ottomanland look reality disconnect burak say freedom slavery ...","0,0,0
"
"mir576607189 look like slum people forced go mosque gun point daesh creating hundred thousand atheist","0,0,1
"
"scamp_faridxx cameizzz problem communist atheism rather totalitarianism like islam","0,0,0
"
"vandaliser sajid_fairooz israeliregime word advice show wikiislam false n't bother advice","0,0,0
"
"rt seanaaitken kurd clean isi islamofascist trash kobane kobane graveyard isi via jackshahine http //t.co/n���","0,0,0
"
"sajid_fairooz israeliregime muslim declared war humanity murdering men woman child 1400 year","0,0,0
"
"sirajzarook odiniainvictus bilalighumman israeliregime hatred started mohammed http //t.co/yyl4nn6lgn","0,0,0
"
"taimiisays islam hatred jihad http //t.co/bp228ir12b","0,0,0
"
"truaemusic defending prophet mohammed murderer 2 imperialist bigot","0,0,0
"
"hoosierjason ciomdx jameeljaffer ggreenwald muslim practically exterminated every non muslim minority mu country","0,0,1
"
"vandaliser sajid_fairooz israeliregime read ibn warraq treatement jew minority muslim history","0,0,0
"
"discerningmumin muslim terror group trying complete job killing throwing remaining minority group arabia","0,0,1
"
"jihadi_11 shami_is_back hopefully follower slave trader pedophile prophet mohammed","0,0,1
"
"ummayman90 custom rule history marrying 6 year old screwing 9 year old sick like islam","1,1,0
"
"roisin_morgan genocidal muslim practice bigotry barbarity religious ethnic minority everywhere","0,0,1
"
