Text,Sentiments_analyze
"what do you always pray for?","0,0,0
"
"anything jennifer lopez haha","0,0,0
"
"What colour is your bedroom?","0,0,0
"
"Name 1 girl you find pretty.","0,0,0
"
"I hate getting confused lol.","0,0,0
"
"you are the computer nerd :)","0,0,0
"
"i L o v e Y u h h ! ! ! ! (:","0,0,0
"
"not at all :) look away haha","0,0,0
"
"keep it inside. almost always","0,0,0
"
"once. unless im super active.","0,0,0
"
"HOW U LYK YO BRED TOASTED????","0,0,0
"
"great went ta jamaca...Yew???","0,0,0
"
"i know alot of pretty people.","0,0,0
"
"I'll alert the gay-thorities.","1,0,0
"
"Be truly Kind to one another.","0,0,0
"
"Have you ever been beaten up?","0,0,0
"
"Name a bird with a long neck.","0,0,0
"
"Sleep? What the fuck is that?","0,0,0
"
"Shore I'd be happy too!!!! :)","0,0,0
"
"Fuck the Atrium. That is all.","0,0,0
"
"Yes haha im not gayy silly (:","0,0,0
"
"yeah. time zones are a bitch.","0,0,0
"
"Do you ever go bird watching?","0,0,0
"
"what song best describes you?","0,0,0
"
"what gives you peace of mind?","0,0,0
"
"ahahaha. you're a nerd. &lt;3","0,0,0
"
"Do you think demons are real?","0,0,0
"
"Yuh m@k3 d@ 53x m3+3r q0 vv!ld","0,1,0
"
"ummm.....ahhh hottt seniorrr(:","0,0,0
"
"How many suitcases do you own?","0,0,0
"
"why do you hate the piano? o_O","0,0,0
"
"you hate loud people  like us?","0,0,0
"
"haha  she has a nice ass also.","0,1,0
"
"Apple store!(; Need a MAC pro!","0,0,0
"
"tell me 5 facts about yourself","0,0,0
"
"dont you hate scarlett though?","0,0,0
"
"I hate it when they do that :3","0,0,0
"
"Famous(: Bhut im ME 4 rite now!","0,0,0
"
"r u &amp; Frances still talken?","0,0,0
"
"how do you make yourself happy?","0,0,0
"
"LOL!! Not DMX  his ass is crazy","0,0,0
"
"Its sunday so i can sleep in :)","0,0,0
"
"Damn  last tweet was for you :P","0,0,0
"
"Those dogs look FAT to me!! ;-)","0,0,0
"
"So true I hate a dirty bathroom","0,0,0
"
"fuck  that blows! For how long?","0,0,0
"
"Damn.  That is a beautiful car.","0,0,0
"
"The Beatles or The Temptations?","0,0,0
"
"about kickin' some canadian ass?","0,0,0
"
"Name 3 cheese products you like.","0,0,0
"
"do you know how to speak korean?","0,0,0
"
"personality 9r physic 8r looks 8","0,0,0
"
"come here  I'll kickle your ass.","0,0,0
"
"Oh damn....I'm so sorry honey...","0,0,0
"
"hahah okey dokey!..sweet thang(;","0,1,0
"
"When is the last time you cried?","0,0,0
"
"Putting pants on sucks lol. Ross","0,0,0
"
"I heart TROLLS! PHASE 2 Damn it!","0,0,0
"
"I know its you dina im not dumb.","0,0,0
"
"are good  im in a cookie club :)","0,0,0
"
"Have you ever been to Six Flags?","0,0,0
"
"Any special reason for the hate?","0,0,0
"
"Ohio  USA. And its pretty rad :]","0,0,0
"
"Why are people being so hateful?","0,0,0
"
"tell me something about.. SNOW :]","0,0,0
"
"and big kisses to you too  doll!"","0,1,0
"
"How often do you get the hiccups?","0,0,0
"
"omg really i never noticed lol =]","0,0,0
"
"how crude people are. all people.","0,0,0
"
"Are the best things in life free?","0,0,0
"
"yeah you should. Fucking dumbass.","0,0,0
"
"I was on my way to work. Driving.","0,0,0
"
"usual but it used to piss me off.","0,0,0
"
"Juno  Sweet november  mr. deeds :]","0,0,0
"
"Do you watch Family Guy regularly?","0,0,0
"
"Have you done something bad today?","0,0,0
"
"Who&;s the most overrated athlete?","0,0,0
"
"well then why did you bring it up?","0,0,0
"
"i havent ate fries in a long time!","0,0,0
"
"Hmmm fruit!! :) any kind of fruit.","0,0,0
"
"Idk really. I think im an alien :]","0,0,0
"
"poor you!!! hate both subjects!!!!","0,0,0
"
"<3 hahahahhahah thakssssssssssssss","0,0,0
"
"Damn I don't think I'm on the list","0,0,0
"
"why haven&;t i had any dinner yet?","0,0,0
"
"I hate your direct message. Thanks.","0,0,0
"
"craziest? i havent. only a raccoon.","0,0,0
"
"sucks that the Source link is wrong","0,0,0
"
"i think u and jack should date!!!:)","0,0,0
"
"aww that sucks! Sorry to hear it :(","0,0,0
"
"Hmmm...i don&;t know. I want to. :D","0,0,0
"
"HAPPY FUCKING BIRTHDAY YA PONGO! :)","0,0,1
"
"y0 v@q!N@ sm3lL lykK c0tT@q3 (h33s3","0,0,0
"
"what club u @? Damn  I fell alseep!","0,0,0
"
"Are yuh single and ready 2 mingle?!","0,0,0
"
"I love cameras. Show your face yooo","0,0,0
"
"Would you rather be rich or famous?","0,0,0
"
"those are fine  you know I hate cats","0,0,0
"
"Have you ever been to Hollywood  CA?","0,0,0
"
"BITCH GET ONLINE  I FOUND CUTE SHOES","0,1,0
"
"What kind of music do you listen to?","0,0,0
"
"nick that video is so fucking killer","0,0,0
"
"Damn iPhone  I meant wine and cheese","0,0,0
"
"join the club! LOL  I hate the snow!","0,0,0
"
"*damn BB be going hard on them boyz*","0,0,0
"
"sucks they only made like 20 of them","0,0,0
"
"Do you put cheese on your spaghetti?","0,0,0
"
"Wow  that sucks. Is that even legal?","0,0,0
"
"I hate it when I do things like that","0,0,0
"
"Aww thanks a ton. but honestly what?","0,0,0
"
"maybe if i was really that desperate.","0,0,0
"
"Damn....your co-workers are classy...","0,0,0
"
"i would look sexy and fuck shit up :D","0,0,0
"
"agreed. Continues to piss me off too.","0,0,0
"
"What did you eat for breakfast today?","0,0,0
"
"ability to fly or breath under water?","0,0,0
"
"Do you shrug it off or cry for hours?","0,0,0
"
"Which is the song that makes you cry?","0,0,0
"
"What movie do you know every line to?","0,0,0
"
"Uhm. Actor(: They get paied more haha","0,1,0
"
"What is the second most unique thing?","0,0,0
"
"I hate on blogs?  what are you saying?","0,0,0
"
"Do you want to start over with anyone?","0,0,0
"
"hhahahaha oh i no  it does irritate me","0,0,0
"
"am I too emo? http://snipurl.com/7rq8p","0,0,0
"
"it is christmas eve im fucking excited","0,0,0
"
"Have you ever cried from being so mad?","0,0,0
"
"u better shut the fuck up wit that lol","0,0,0
"
"ur butiful babe i just wish i waz urz.","0,0,0
"
"Is using a inhaler a sign of weakness?","0,0,0
"
"I also hate talk shows and reality tv.","0,0,0
"
"If heat rises  shouldn&;t hell be cold?","0,0,0
"
"10 things you want to do before you die","0,0,0
"
"Yuppers! Nose and Cartilage piercings(;","0,0,0
"
"lol ok shit i am going to get so fat!!!","0,0,0
"
"My unemployed ass ain't goin' anywhere.","0,0,0
"
"umm a homeless guys with blackberry haha","0,0,0
"
"What is the bravest thing you have done?","0,0,0
"
"wtf bxtch clea it iNeva ben ta hiz house","0,1,0
"
"What is your best friend&;s Mom&;s name?","0,0,0
"
"I am. Hence the hate. But I love him rly","0,0,0
"
"lol.damn I gotta find a cheap ass flight","0,0,0
"
"things that you cant leave/live without?","0,0,0
"
"That sucks  i hope he feels better soon!","0,0,0
"
"Justin Bieber.Duh. &amp;&amp; Russia! ;]","0,0,0
"
"Nooooooooo comment on "dick butts." XDDD","0,0,0
"
"Have you ever bid for something on ebay?","0,0,0
"
"well i had to put my two cents in [: haha","0,0,0
"
"hahahahhaahaha I hope you kicked his ass!","0,0,0
"
"depends on how close we were at the time.","0,0,0
"
"ain't that crazy? enough to piss you off!","0,0,0
"
"well thats just too bad now isn&;t it? [;","0,0,0
"
"its fucking terrible my friend and I left","0,0,0
"
"THIS is why i hate the snow!!!!!!!!!!!!!!","0,0,0
"
"damn straight you need to find your iPod.","1,0,0
"
"http://www.e-castig.com/index.php?r=C1o6s","0,0,0
"
"What holiday is closest to your birthday?","0,0,0
"
"i hate everything about you- 3 days grace","0,0,0
"
"DoIhKnowYuh?r AndYuhrLike...SpammingMyFS.","0,0,0
"
"When was the first time that you had beer?","0,0,0
"
"ahhh true.. true... plus it plays music XD","0,0,0
"
"Yayyyy! Damn irish bitch! Congratulations!","0,1,1
"
"something about piss should do. or zebras.","0,0,0
"
"nigga you sound like a creep ass pedophile","0,0,1
"
"my sides hurt from laughing so hard. Dick.","0,1,0
"
"And why are you trying to give me advice.?","0,0,0
"
"haha I love how much of a nerd Obama is...","0,0,0
"
"hahahahahahaah thanks spency :DDDDD <3 you","0,0,0
"
"can you travel around the world in 80 days","0,0,0
"
"eww  that sucks. hopefully u have off soon?","0,0,0
"
"i guess i would gett fat  and have a baby .","0,0,0
"
"well r i think i really like my friend.. :/","0,0,0
"
"WELL YOU THINK OF SOMETHING THEN I HATE YOU","0,0,0
"
"hottest guy you have ever seen in real life?","0,0,0
"
"jabbawockeez.. what do you think about them?","0,0,0
"
"LOL well u should help them get some dick...","1,1,0
"
"Sometimes lol if im in the mood to wear one.","0,0,0
"
"Suave. Its cheap and gets the job done. haha","0,0,0
"
"yeah I've been to N.O. recently  damn shame.","0,0,0
"
"I hear you. BTW  the Jonas brothers are gay.","1,0,0
"
"Damn you Pinot Noir and your grapey goodness!","0,0,0
"
"how are you drunk bro? DAMN I.. it's only 2PM","0,0,0
"
"damn  dude. nice find. awesome work in there.","0,0,0
"
"that sucks! I hope you feel better soon *hug*","0,0,0
"
"that sucks. Why is your vision all messed up?","0,0,0
"
"bien. which is good in spanish. hahaha musta?","0,0,0
"
"Robert :) Sorry I hate when I miss type names","0,0,0
"
"Proton definantly. Positive polly yes i am :]","0,0,0
"
"benson- Dude fuck yea. I'm gonna bank tonight","0,0,0
"
"do the makers of Friendster uses Facebook? =)","0,0,0
"
"What do you think about formspring.me so far?","0,0,0
"
"puppy is good. Knows where to piss and shit..","0,0,0
"
"Well then get some damn sleep ya dumbass! Lol","0,0,0
"
"When you say you don&;t care  do you mean it?","0,0,0
"
"mhm ohkay slide yo numba nd iWill met yew lol","0,0,0
"
"Have you ever wasted you&;re time on anybody?","0,0,0
"
"here's some cock for u http://twitpic.com/rrvm","0,0,0
"
"I like my ma's homemade chicken noodle soup :]","0,0,0
"
"Damn it  now I have an urge to move to Vermont","0,0,0
"
"Thats great . i hope things work out fine.. (:","0,0,0
"
"So did anybody end up buying a fucking camera?","0,0,0
"
"I KNOW!!!! makes my fucking dayyy!!! shes HUGE","0,1,0
"
"http://twitpic.com/y2yl - That. Fucking. Rules.","0,0,0
"
"What was the best advice you&;ve ever received?","0,0,0
"
"I don't really remember but damn its killing me","0,0,0
"
"Yes. And im sure there are tons that soo could.","0,0,0
"
"ohh reallu? well how does it feel to want [; ?!","0,0,0
"
"Tabi  I love you. (: I will meet you one day (;","0,0,0
"
"dude that fucking sucks. He was a cool cat. RIP","0,0,0
"
"fuck I feel bad for you. what pack did you get?","0,0,0
"
"good call Boo   Bitch   Boo x2 Dumb ass plaxico","0,1,0
"
"Is French kissing in France just called kissing?","0,0,0
"
"http://tinyurl.com/these-hats-are-damn-tradition","0,0,0
"
"Im just glad im gon be paid to sit on my ass lol","0,0,0
"
"lol cleaning  i hate the dentist with a passion!","0,0,0
"
"Would it bother you to never have personal time?","0,0,0
"
"damn  you beat me to that example. :) #journchat","0,0,0
"
"what was the most awkward situation in your life?","0,0,0
"
"Hood has apparently lost his mind. Sucks for him.","0,0,0
"
"yes. but we end up warped in the end either way..","0,0,0
"
"Enterprise can suck my dick too! That's bullshit!","0,0,0
"
"damn. now im craving them from you tweeting them!","0,0,0
"
"Do bald men wash their head with soap or shampoo?","0,0,0
"
"what&;s the funnest place you have ever traveled?","0,0,0
"
"i hate snow. you can give me yr car. if you want.","0,0,0
"
"damn bro. Next time go partying like that  holla!","0,0,0
"
"Is quality or quantity of friends more important?","0,0,0
"
"Damn. I got bammed. Wonder how many @glark reads.","0,0,0
"
"Oh my! I'm not even that much of a control freak!","0,0,0
"
"How old will you be turning on your next birthday?","0,0,0
"
":D thank you gurl/boy ? I really appreciate it!<33","0,0,0
"
"okay. my page is not for you to be anonymous on :]","0,0,0
"
"Give it back to them. I don't really hate anyone..","0,0,0
"
"so does that make Piss Bottle Man song of the day?","0,0,0
"
"Damn dude the last 3 eps of TrueBlood are the best","0,0,0
"
"which do you think is stronger: love or happiness?","0,0,0
"
"it's stupid for me to be upset over  really. fuck.","0,0,0
"
"What do you think is your most attractive feature?","0,0,0
"
"Do you/have  you ever watched Desperate Housewives?","0,0,0
"
"Hmm. Fine then. RAIN! I HATE YOU! NEVER RAIN AGAIN!","0,0,0
"
"hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm","0,0,0
"
"What&;s something that no one else knows about you?","0,0,0
"
"Do you shower in the morning or at night before bed?","0,0,0
"
"What would you want to be written on your tombstone?","0,0,0
"
"i dont mind it because it gives me questions i guess","0,0,0
"
"My pu$$zzy !z +hrobb!nq fo yo d!ck t@ q0 !n d@+ $h!+","0,1,0
"
"you forgot to precede that tweet with the word FUCK.","0,0,0
"
"My Dick by Mickey Avalon or My Neck  My Back by Khia","0,0,0
"
"u are probably right tho   i hate these short days =/","0,0,0
"
"Basicc Information -  Name ? Age ? Location ? Grade ?","0,0,0
"
"just stuff. i can handle it imma big girl dont tripp.","0,1,0
"
"lmao i no hahahahahhahahahahahaha thats what im sayin","0,0,0
"
"If you wanted to look very sexy  how would you dress?","0,1,0
"
"Do you think we are raising the next generation right?","0,0,0
"
"Do you get along better with the same or opposite sex?","0,0,0
"
"Of course. X marks the spot!!!!! Arrrg im soo ready :]","0,0,0
"
"look inside your bag/purse.. name three things you see","0,0,0
"
"perhaps i should call it that to freak the family out.","0,0,0
"
"so where are you located and what is it like there? :)","0,0,0
"
"You'll become a super nerd if you dress up as a Gundam","0,0,0
"
"If a bee is allergic to pollen would it get the hives?","0,0,0
"
"What&;s the nicest thing someone&;s ever done for you?","0,0,0
"
"What&;s the best place near you to get some ice cream?","0,0,0
"
"If you won a million dollars what would you do with it?","0,0,0
"
"a bunch im sure. white lies are the hardest to remember","0,0,0
"
"hey you&;re an amazing nice and sweet girl..pretty too!","0,1,0
"
"Would you describe yourself as an argumentative person?","0,0,0
"
"Would you rather take the picture or be in the picture?","0,0,0
"
"Ever looked at a guy and then checked out his Package ??","0,0,0
"
"Brutal...I hate when you pick the wrong day to drive....","0,0,0
"
"If you could ask God any one question  what would it be?","0,0,0
"
"yes YAY! you guessed it right ;) and i cant call you! :L","0,0,0
"
"how to survive in this crazy khaos of a world i live in.","0,0,0
"
"Beu03c4ter thu03b1n formspru03b9ng  try http://tr.im/M73W","0,0,0
"
"I have before. but its been a while. I can do anything :)","0,0,0
"
"hahahahahhahahhaahhahahahah vvv ayee fix yerr infoooo ->>","0,0,0
"
"oh man....that sounds damn good! now im hungry. damn you!","0,0,0
"
"what&;s the Kindest thing anyone has ever done for you ??","0,0,0
"
"a tonn :] I don't think my bf can hug me enough sometimes","0,0,0
"
"And I see why you turned his ass down! Dis some bullshit!","0,0,0
"
"Have you ever made out with someone of the same sex? Why?","0,0,0
"
"If you knew someone was going to die would you tell them?","0,0,0
"
"green pepper  cheese  onion  bacon-crunchy  and cheese :D","0,0,0
"
"You&;ve been kidnapped by aliens.  What do they feed you?","0,0,0
"
"Damn that's like my lil brother. He's 11  5"8 and 250 lbs.","0,0,0
"
"will u cook with me in food tec whenever we cook next :P ?","0,0,0
"
"did you know gaga was on an episode of mtvs boiling point?","0,0,0
"
"What award would you love to win and for what achievement?","0,0,0
"
"Do you think it&;s better to find love or let it find you?","0,0,0
"
"thank you! oooooohhh hot brownies right out of the oven :D","0,0,0
"
"You'd god damn well better be an Engineer. all I'm saying.","0,0,0
"
"I hate that I get scared and parnoid when my house is quiet","0,0,0
"
"Damn!! Thats cold! The reason I'm always there for my kids!","0,0,0
"
"aww damn!  I think we need to kick him out the league!  LOL","0,0,0
"
"have you ever done anything illegal? and if so what was it?","0,0,0
"
"You're going too? Fun.  @JesusNeedsNewPR I hate job hunting","0,0,0
"
"How many lies do you think you have told in your life time?","0,0,0
"
"Can a short person &quot;talk down&quot; to a taller person?","0,0,0
"
"hmm..popcicles. i dont eat much when its really hot outside.","0,0,0
"
"Have you ever made someone so mad that they broke something?","0,0,0
"
"That sucks. I went to bed before the New Year even began.lol","0,0,0
"
"Don&;t you hate it when people lie to you about coming over?","0,0,0
"
"good to hear your okay... I need my the gay...... Wow i rhyme","1,0,0
"
"damn  girl lol. do you kill 'em w/ kindness in real life too?","0,1,0
"
"damn doll  u kinda look like brit wit hair!!!!!!!!!!!!!!!!!!!","0,1,0
"
"the google iPhone app sucks! Vlingo is much better and faster","0,0,0
"
"Well  I don't know if you have heard or not... but I hate it.","0,0,0
"
"When you were little did you ever go ahhh infront of the fan?","0,0,0
"
"Hope you're not getting a full fluoride. Hate that. Good luck!","0,0,0
"
"damn! my breath actually stopped as I thought you'd done that.","0,0,0
"
"hmmm probably buy a few things for me and one of my besties :D","0,0,0
"
"figures...i hate when channels advertise for other channels...","0,0,0
"
"Ohh man i bet its tha shit!! Ohhkayy!(: be safe have fun!! <33","0,0,0
"
"U r soooooooooooooooooooo pretty Alexis<3 y r u so nice???????","0,0,0
"
"I'll have to work on that one.  Ass clown is a solid contender.","0,0,0
"
"i can never catch you on blogtv at night. damn time difference!","0,0,0
"
"If rabbits feet are so lucky  then what happened to the rabbit?","0,0,0
"
"Be honest: Do you have a song by Ozzy Osbourne in your library?","0,0,0
"
"Is that a monkey in your pants...or are you just fucking crazy?","0,0,1
"
"...........999 a girl?? lol oh god why did u make me so stupid??","0,1,0
"
"Do you have any scars on your body?  If so  how&;d you get them?","0,0,0
"
"yes I love it. its a funny hobbie and way to express yourself :)","0,0,0
"
"are you aware that Layne refered to you as a "Twitter Whore" lol","0,1,0
"
"I know...just get a damn blanket or put some socks on! im sayin!","0,0,0
"
"*sends fruit basket* Hope you get better soon  being sick sucks!","0,0,0
"
"i just love the speed & simplicity cum features of Google Chrome","0,0,0
"
"i almost changed the channel after petersen's damn horse collar!","0,0,0
"
"- it's a sweet deal and product. Customer service sucks pooh tho.","0,0,0
"
"come to Dothan  bitch. You'll find someone to make out with fast.","0,1,0
"
"lol I hate you. And by hate  I mean love  but I still hate you XD","0,0,0
"
"- I wouldn't mind a wider ass. Haha. And some bigger tatas too ;]","0,1,0
"
"YOU SUNNUVA BITCH. / @TarinTowers: Only one week of spoons to go!","0,1,0
"
"dammit! You keep your damn dirty hands off my fruit gummy chews!!","0,0,0
"
"I never thought of it that way - but damn - that IS a good name..","0,0,0
"
"can only handle so much pussy control...and the doves make me cry","0,1,0
"
"no holiday is worth that! florida sucks! but happy new year!!!!!!","0,0,0
"
"yes! haha neat trait of mine.. i can plug my nose with my lips :]","0,0,0
"
"Umm Bunch of people just joined  and i got bored  so i wanted too!","0,0,0
"
"haha yeshhh you are  and you thought i was gonna think its gay -_-","1,0,0
"
"Noah and the Whale!? That makes me think of Saturn commercials. :)","0,0,0
"
"i concur  2009 is going to kick ass if you have the right mind set","0,0,0
"
"I am off for right now. Leave me things? <3 Please&amp;Thank you!!!","0,0,0
"
"No no...not saying I like NY necessarily  just that I still hate FL","0,0,0
"
"Thing I hate the most = Alternate side of the street parking rules.","0,0,0
"
"You are sooo damn going! ;__; Don't ditch Derek on his special day!","0,0,0
"
"Who do you think should be the next president of the United States?","0,0,0
"
"he  he and some people bitch about never hearing back from them ;-)","0,1,0
"
"Well  I'm wearing underpants and a shirt. I'm not a fucking savage.","0,0,0
"
"no doubt. Teach that kid how to read the bounce or block out...damn.","0,0,0
"
"Congrats!  You'll have to make us a low-fat treat from it :) #fitfam","0,0,0
"
"lol to ever since I got this twitterific I'm tweeting my ass off lol","0,0,0
"
"You are a marketing freak...I need to hire you as a consultant.  :-)","0,0,0
"
"That's some pretty heavy analysis. Seems to me the album just sucks.","0,0,0
"
"Are your underwear and socks folded in your drawer or just thrown in?","0,0,0
"
"damn pilots use autotune too!!!! This shit has gotten out of hand LOL","0,0,0
"
"Do you have a tattoo  where is it located and what does it stand for?","0,0,0
"
"oh damn. and yes  I am an xmen freak. Not too big  but still a freak.","0,0,0
"
"damn ur in Vegas already super trucker @@ www.TruckingRooster.com  @@","0,0,0
"
"Teehee  I fucking love you. &lt;3 Also  you always make me twoosh. :)","0,0,0
"
"lol wen iFirst made diz ish yew was lyke hi so im juz asking who diz?","0,0,0
"
"like what the fuck is this! Then two months later it's everyones cut!","0,0,0
"
"Ugh  I've done that more times than I care to admit. SUCH a piss off.","0,0,0
"
"fuck .. dman scary .. it can happen to anyone of us .. poor guy .. :(","0,0,0
"
"Wow that sucks. Hope you make it home without turning into a snowman.","0,0,0
"
"I agree. They'll use whatever excuse is convenient to "trim the fat."","0,0,0
"
"why doesnt Winnie the Pooh ever get stung by the bees he messes with?","0,0,0
"
"this is just awful  i'm really tired and will be dragging ass all day.","0,0,0
"
"that was gonna be the first hint but i guess i knew it was too obvious","0,0,0
"
"Luckily im not in highschool anymore. No more next periods for me haha","0,0,0
"
"What happens to an irrisitable force when it hits an immovable object?","0,0,0
"
"well i havnt got any hate mail from mcr yet so i dont think they mind.","0,0,0
"
"DAMN!!! Its 11 degrees in the UK and i feel cold! Feel for you my dude","0,0,0
"
"*hugs*  fuck em.  Listen to ur Ipod   dont let da man get ya down.  :)","0,0,0
"
"i hate you :-p and  i wish we had that discussion in my english class!","0,0,0
"
"Do you know how much a peso would be worth in the United States today?","0,0,0
"
"What 3 things do you think will become obsolete in the next ten years?","0,0,0
"
"Hmmm....U makin me hungry first of all! &amp;&amp; Dairy Queen! YUMM!!","0,0,0
"
"or posse as @derickrethans liked to point out ... damn spelling bee kid","0,0,0
"
"you should totally go. And be all weird and crazy and freak the guy out","0,0,0
"
"Uh I'm not totally sure right now  I'm sort of torn between two people.","0,0,0
"
"my last tweet was supposed to be @ you. Damn twitteriffic reply system.","0,0,0
"
"you only love jon because i rock the hate for him in the old stuff. LOL","0,0,0
"
"What  you didn't like the link to "Pulp Fiction" fucking short version?","0,0,0
"
"tell me this bra why is you so awsomeeeeeee?? you is the best love youu","0,0,0
"
"You are so right. I hate commercials. I mute them whenever we watch TV.","0,0,0
"
"h2o. snapple raspberry white tea. oj-homestyle with all the juicey bits","0,0,0
"
"great post on the gay rights thing do u think it will happen years end?","1,0,0
"
"The collectors edition is fucking amazing. Too bad it's $100  right? D:","0,0,0
"
"it pretty much sucks. He really didn't wait at all with looking did he?","0,0,0
"
"Let me tell you I have lived here all my life and every year I hate it.","0,0,0
"
"Being hermit because I kewl like that! ("kewl" meanin' "loser") lol jks","0,0,0
"
