Text,Sentiments_analyze
"hmmm ... know want","0,0,0
"
"happy fucking birthday ya pongo","0,0,1
"
"y0 v q n sm3ll lykk c0tt q3 h33s3","0,0,0
"
"club u damn fell alseep","0,0,0
"
"yuh single ready 2 mingle","0,0,0
"
"love camera show face yooo","0,0,0
"
"would rather rich famous","0,0,0
"
"fine know hate cat","0,0,0
"
"ever hollywood ca","0,0,0
"
"bitch get online found cute shoe","0,1,0
"
"kind music listen","0,0,0
"
"nick video fucking killer","0,0,0
"
"damn iphone meant wine cheese","0,0,0
"
"join club lol hate snow","0,0,0
"
"damn bb going hard boyz","0,0,0
"
"suck made like 20","0,0,0
"
"put cheese spaghetti","0,0,0
"
"wow suck even legal","0,0,0
"
"hate thing like","0,0,0
"
"aww thanks ton honestly","0,0,0
"
"maybe really desperate","0,0,0
"
"damn .... co-worker classy ...","0,0,0
"
"would look sexy fuck shit","0,1,0
"
"agreed continues piss","0,0,0
"
"eat breakfast today","0,0,0
"
"ability fly breath water","0,0,0
"
"shrug cry hour","0,0,0
"
"song make cry","0,0,0
"
"movie know every line","0,0,0
"
"uhm actor get paied haha","0,0,0
"
"second unique thing","0,0,0
"
"hate blog saying","0,0,0
"
"want start anyone","0,0,0
"
"hhahahaha oh irritate","0,0,0
"
"emo http //snipurl.com/7rq8p","0,0,0
"
"christmas eve im fucking excited","0,0,0
"
"ever cried mad","0,0,0
"
"u better shut fuck wit lol","0,0,0
"
"ur butiful babe wish waz urz","0,0,0
"
"using inhaler sign weakness","0,0,0
"
"also hate talk show reality tv","0,0,0
"
"heat rise hell cold","0,0,0
"
"10 thing want die","0,0,0
"
"yuppers nose cartilage piercings","0,0,0
"
"lol ok shit going get fat","0,0,0
"
"unemployed as ai n't goin anywhere","0,0,0
"
"umm homeless guy blackberry haha","0,0,0
"
"bravest thing done","0,0,0
"
"wtf bxtch clea ineva ben ta hiz house","0,1,0
"
"best friend mom name","0,0,0
"
"hence hate love rly","0,0,0
"
"lol.damn got ta find cheap as flight","0,0,0
"
"thing cant leave/live without","0,0,0
"
"suck hope feel better soon","0,0,0
"
"justin bieber.duh amp amp russia","0,0,0
"
"nooooooooo comment `` dick butt '' xddd","0,0,0
"
"ever bid something ebay","0,0,0
"
"well put two cent haha","0,0,0
"
"hahahahhaahaha hope kicked as","0,0,0
"
"depends close time","0,0,0
"
"ai n't crazy enough piss","0,0,0
"
"well thats bad","0,0,0
"
"fucking terrible friend left","0,0,0
"
"hate snow","0,0,0
"
"damn straight need find ipod","1,0,0
"
"http //www.e-castig.com/index.php r=c1o6s","0,0,0
"
"holiday closest birthday","0,0,0
"
"hate everything you- 3 day grace","0,0,0
"
"doihknowyuh r andyuhrlike ... spammingmyfs","0,0,0
"
"first time beer","0,0,0
"
"ahhh true .. true ... plus play music xd","0,0,0
"
"yayyyy damn irish bitch congratulation","0,1,0
"
"something piss zebra","0,0,0
"
"nigga sound like creep as pedophile","0,0,1
"
"side hurt laughing hard dick","0,0,0
"
"trying give advice","0,0,0
"
"haha love much nerd obama ...","0,0,0
"
"hahahahahahaah thanks spency ddddd 3","0,0,0
"
"travel around world 80 day","0,0,0
"
"eww suck hopefully u soon","0,0,0
"
"guess would gett fat baby","0,0,0
"
"well r think really like friend ..","0,0,0
"
"well think something hate","0,0,0
"
"hottest guy ever seen real life","0,0,0
"
"jabbawockeez .. think","0,0,0
"
"lol well u help get dick ...","1,1,0
"
"sometimes lol im mood wear one","0,0,0
"
"suave cheap get job done haha","0,0,0
"
"yeah 've n.o recently damn shame","0,0,0
"
"hear btw jonas brother gay","1,0,0
"
"damn pinot noir grapey goodness","0,0,0
"
"drunk bro damn .. 's 2pm","0,0,0
"
"damn dude nice find awesome work","0,0,0
"
"suck hope feel better soon hug","0,0,0
"
"suck vision messed","0,0,0
"
"bien good spanish hahaha musta","0,0,0
"
"robert sorry hate miss type name","0,0,0
"
"proton definantly positive polly yes","0,0,0
"
"benson- dude fuck yea 'm gon na bank tonight","0,0,0
"
"maker friendster us facebook","0,0,0
"
"think formspring.me far","0,0,0
"
"puppy good know piss shit ..","0,0,0
"
"well get damn sleep ya dumbass lol","0,0,0
"
"say care mean","0,0,0
"
"mhm ohkay slide yo numba nd iwill met yew lol","0,0,0
"
"ever wasted time anybody","0,0,0
"
"'s cock u http //twitpic.com/rrvm","0,1,0
"
"like 's homemade chicken noodle soup","0,0,0
"
"damn urge move vermont","0,0,0
"
"thats great hope thing work fine ..","0,0,0
"
"anybody end buying fucking camera","0,0,0
"
"know make fucking dayyy shes huge","0,1,0
"
"http //twitpic.com/y2yl fucking rule","0,0,0
"
"best advice ever received","0,0,0
"
"n't really remember damn killing","0,0,0
"
"yes im sure ton soo could","0,0,0
"
"ohh reallu well feel want","0,0,0
"
"tabi love meet one day","0,0,0
"
"dude fucking suck cool cat rip","0,0,0
"
"fuck feel bad pack get","0,0,0
"
"good call boo bitch boo x2 dumb as plaxico","0,1,0
"
"french kissing france called kissing","0,0,0
"
"http //tinyurl.com/these-hats-are-damn-tradition","0,0,0
"
"im glad im gon paid sit as lol","0,0,0
"
"lol cleaning hate dentist passion","0,0,0
"
"would bother never personal time","0,0,0
"
"damn beat example journchat","0,0,0
"
"awkward situation life","0,0,0
"
"hood apparently lost mind suck","0,0,0
"
"yes end warped end either way ..","0,0,0
"
"enterprise suck dick 's bullshit","0,0,0
"
"damn im craving tweeting","0,0,0
"
"bald men wash head soap shampoo","0,0,0
"
"funnest place ever traveled","0,0,0
"
"hate snow give yr car want","0,0,0
"
"damn bro next time go partying like holla","0,0,0
"
"quality quantity friend important","0,0,0
"
"damn got bammed wonder many glark read","0,0,0
"
"oh 'm even much control freak","0,0,0
"
"old turning next birthday","0,0,0
"
"thank gurl/boy really appreciate 33","0,0,0
"
"okay page anonymous","0,0,0
"
"give back n't really hate anyone ..","0,0,0
"
"make piss bottle man song day","0,0,0
"
"damn dude last 3 eps trueblood best","0,0,0
"
"think stronger love happiness","0,0,0
"
"'s stupid upset really fuck","0,0,0
"
"think attractive feature","0,0,0
"
"you/have ever watched desperate housewife","0,0,0
"
"hmm fine rain hate never rain","0,0,0
"
"hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm","0,0,0
"
"something one else know","0,0,0
"
"shower morning night bed","0,0,0
"
"would want written tombstone","0,0,0
"
"dont mind give question guess","0,0,0
"
"pu zzy z +hrobb nq fo yo ck q0 n h","0,1,0
"
"forgot precede tweet word fuck","0,0,0
"
"dick mickey avalon neck back khia","0,0,0
"
"u probably right tho hate short day =/","0,0,0
"
"basicc information name age location grade","0,0,0
"
"stuff handle imma big girl dont tripp","0,0,0
"
"lmao hahahahahhahahahahahaha thats im sayin","0,0,0
"
"wanted look sexy would dress","0,1,0
"
"think raising next generation right","0,0,0
"
"get along better opposite sex","0,0,0
"
"course x mark spot arrrg im soo ready","0,0,0
"
"look inside bag/purse .. name three thing see","0,0,0
"
"perhaps call freak family","0,0,0
"
"located like","0,0,0
"
"'ll become super nerd dress gundam","0,0,0
"
"bee allergic pollen would get hive","0,0,0
"
"nicest thing someone ever done","0,0,0
"
"best place near get ice cream","0,0,0
"
"million dollar would","0,0,0
"
"bunch im sure white lie hardest remember","0,0,0
"
"hey amazing nice sweet girl .. pretty","0,1,0
"
"would describe argumentative person","0,0,0
"
"would rather take picture picture","0,0,0
"
"ever looked guy checked package","0,0,0
"
"brutal ... hate pick wrong day drive ....","0,0,0
"
"could ask god one question would","0,0,0
"
"yes yay guessed right cant call l","0,0,0
"
"survive crazy khaos world live","0,0,0
"
"beu03c4ter thu03b1n formspru03b9ng try http //tr.im/m73w","0,0,0
"
"anything","0,0,0
"
"hahahahahhahahhaahhahahahah vvv ayee fix yerr infoooo","0,0,0
"
"oh man .... sound damn good im hungry damn","0,0,0
"
"kindest thing anyone ever done","0,0,0
"
"tonn n't think bf hug enough sometimes","0,0,0
"
"see turned as dis bullshit","0,0,0
"
"ever made someone sex","0,0,0
"
"knew someone going die would tell","0,0,0
"
"green pepper cheese onion bacon-crunchy cheese","0,0,0
"
"kidnapped alien feed","0,0,0
"
"damn 's like lil brother 's 11 5 '' 8 250 lb","0,0,0
"
"u cook food tec whenever cook next p","0,0,0
"
"know gaga episode mtvs boiling point","0,0,0
"
"award would love win achievement","0,0,0
"
"think better find love let find","0,0,0
"
"thank oooooohhh hot brownie right oven","0,0,0
"
"'d god damn well better engineer 'm saying","0,0,0
"
"hate get scared parnoid house quiet","0,0,0
"
"damn thats cold reason 'm always kid","0,0,0
"
"aww damn think need kick league lol","0,0,0
"
"ever done anything illegal","0,0,0
"
"'re going fun jesusneedsnewpr hate job hunting","0,0,0
"
"many lie think told life time","0,0,0
"
"short person quot talk quot taller person","0,0,0
"
"hmm .. popcicles dont eat much really hot outside","0,0,0
"
"ever made someone mad broke something","0,0,0
"
"suck went bed new year even began.lol","0,0,0
"
"hate people lie coming","0,0,0
"
"good hear okay ... need gay ...... wow rhyme","1,0,0
"
"damn girl lol kill 'em w/ kindness real life","0,0,0
"
"damn doll u kinda look like brit wit hair","0,0,0
"
"google iphone app suck vlingo much better faster","0,0,0
"
"well n't know heard ... hate","0,0,0
"
"little ever go ahhh infront fan","0,0,0
"
"hope 're getting full fluoride hate good luck","0,0,0
"
"damn breath actually stopped thought 'd done","0,0,0
"
"hmmm probably buy thing one besties","0,0,0
"
"figure ... hate channel advertise channel ...","0,0,0
"
"ohh man bet tha shit ohhkayy safe fun 33","0,0,0
"
"u r soooooooooooooooooooo pretty alexis 3 r u nice","0,0,0
"
"'ll work one as clown solid contender","0,0,0
"
"never catch blogtv night damn time difference","0,0,0
"
"rabbit foot lucky happened rabbit","0,0,0
"
"honest song ozzy osbourne library","0,0,0
"
"monkey pant ... fucking crazy","0,0,1
"
"........... 999 girl lol oh god u make stupid","0,1,0
"
"scar body get","0,0,0
"
"yes love funny hobbie way express","0,0,0
"
"aware layne refered `` twitter whore '' lol","0,1,0
"
"know ... get damn blanket put sock im sayin","0,0,0
"
"sends fruit basket hope get better soon sick suck","0,0,0
"
"love speed simplicity cum feature google chrome","0,0,0
"
"almost changed channel petersen 's damn horse collar","0,0,0
"
"'s sweet deal product customer service suck pooh tho","0,0,0
"
"come dothan bitch 'll find someone make fast","0,1,0
"
"lol hate hate mean love still hate xd","0,0,0
"
"would n't mind wider as haha bigger tatas","0,1,0
"
"sunnuva bitch tarintowers one week spoon go","0,1,0
"
"dammit keep damn dirty hand fruit gummy chew","0,0,0
"
"never thought way damn good name ..","0,0,0
"
"handle much pussy control ... dove make cry","0,1,0
"
"holiday worth florida suck happy new year","0,0,0
"
"yes haha neat trait mine .. plug nose lip","0,0,0
"
"umm bunch people joined got bored wanted","0,0,0
"
"haha yeshhh thought gon na think gay -_-","1,0,0
"
"noah whale make think saturn commercial","0,0,0
"
"concur 2009 going kick as right mind set","0,0,0
"
"right leave thing 3 please amp thank","0,0,0
"
"... saying like ny necessarily still hate fl","0,0,0
"
"thing hate alternate side street parking rule","0,0,0
"
"sooo damn going __ n't ditch derek special day","0,0,0
"
"think next president united state","0,0,0
"
"people bitch never hearing back","0,0,0
"
"well 'm wearing underpants shirt 'm fucking savage","0,0,0
"
"doubt teach kid read bounce block ... damn","0,0,0
"
"congrats 'll make u low-fat treat fitfam","0,0,0
"
"lol ever since got twitterific 'm tweeting as lol","0,0,0
"
"marketing freak ... need hire consultant","0,0,0
"
"'s pretty heavy analysis seems album suck","0,0,0
"
"underwear sock folded drawer thrown","0,0,0
"
"damn pilot use autotune shit gotten hand lol","0,0,0
"
"tattoo located stand","0,0,0
"
"oh damn yes xmen freak big still freak","1,0,0
"
"damn ur vega already super trucker www.truckingrooster.com","0,0,0
"
"teehee fucking love lt 3 also always make twoosh","0,0,0
"
"lol wen ifirst made diz ish yew lyke hi im juz asking diz","0,0,0
"
"like fuck two month later 's everyones cut","0,0,0
"
"ugh 've done time care admit piss","0,0,0
"
"fuck .. dman scary .. happen anyone u .. poor guy ..","0,0,0
"
"wow suck hope make home without turning snowman","0,0,0
"
"agree 'll use whatever excuse convenient `` trim fat ''","0,0,0
"
"doesnt winnie pooh ever get stung bee mess","0,0,0
"
"awful 'm really tired dragging as day","0,0,0
"
"gon na first hint guess knew obvious","0,0,0
"
"luckily im highschool anymore next period haha","0,0,0
"
"happens irrisitable force hit immovable object","0,0,0
"
"well havnt got hate mail mcr yet dont think mind","0,0,0
"
"damn 11 degree uk feel cold feel dude","0,0,0
"
"hug fuck em listen ur ipod dont let da man get ya","0,0,0
"
"hate -p wish discussion english class","0,0,0
"
"know much peso would worth united state today","0,0,0
"
"3 thing think become obsolete next ten year","0,0,0
"
"hmmm .... u makin hungry first amp amp dairy queen yumm","0,0,0
"
"posse derickrethans liked point ... damn spelling bee kid","0,0,0
"
"totally go weird crazy freak guy","0,0,0
"
"uh 'm totally sure right 'm sort torn two people","0,0,0
"
"last tweet supposed damn twitteriffic reply system","0,0,0
"
"love jon rock hate old stuff lol","0,0,0
"
"n't like link `` pulp fiction '' fucking short version","0,0,0
"
"tell bra awsomeeeeeee best love youu","0,0,0
"
"right hate commercial mute whenever watch tv","0,0,0
"
"h2o snapple raspberry white tea oj-homestyle juicey bit","0,0,0
"
"great post gay right thing u think happen year end","1,0,0
"
"collector edition fucking amazing bad 's 100 right","0,0,0
"
"pretty much suck really n't wait looking","0,0,0
"
"let tell lived life every year hate","0,0,0
"
"hermit kewl like `` kewl '' meanin `` loser '' lol jks","0,0,0
"
"hate longview cable would rather sat data","0,0,0
"
"yes 'm sure monkey as effin bus everydamnday","0,0,1
"
"'s bad as would also like ability move immovable object","0,0,0
"
"one ppl damn near left berry train lmao","0,0,0
"
"saulrand group love group damn 140 character limit lol","0,0,0
"
"dontcha hate stuff happens make feel dumb","0,0,0
"
"feel beached whale blessed pregnancy thing bitch","0,1,0
"
"quot iloveyoubaby quot quot iloveyoutoobabygirl quot haha x","0,0,0
"
"actually 's bitch slap spammer","0,1,0
"
"'s excellent advice thanks 'd hate trapped clothes","0,0,0
"
"think parwents drink alcohol around child","0,0,0
"
"'s spirit whale good deed .... thar snow blow","0,0,0
"
"black bitch anywhere near clever dick 's http //tinyurl.com/axf82t","1,1,1
"
"... uhm .... flake showing fuck hoppe ...","0,0,0
"
"havent seen bruce almighty nobody know really want ...","0,0,0
"
"'s even gay previous gayest statement ever made ........","1,0,0
"
"bet im even famous 've seen experienced damn shame","0,0,0
"
"suck n't remember long ago gas price high .....","0,0,0
"
"believe quot go around ... come back around quot","0,0,0
"
"u evr listened 2 song repeatedly b/c reminded u ur crush","0,0,0
"
"wow suck big time ... fun thank god 's time","0,0,0
"
"nope -- 'll think finally got fat sayin get card","0,0,0
"
"play kind love-hate relationship stupid game","0,0,0
"
"jingle fucking bell christmas next wk time go","0,0,0
"
"going ok get double as kicking paul","0,0,0
"
"checking like chomo something ha good thing said ew","0,0,0
"
"omg ahhhh go damn fell window sil haha jk","0,0,0
"
"think happens missing sock disappear dryer","0,0,0
"
"fat as finger simply amazing get anything typed well ....","0,0,0
"
"ever seen someone knew herpes reaction","0,0,0
"
"nezua cripchick 0:37 `` hate black pepper '' http //tinyurl.com/69rbnb","1,0,1
"
"well hot damn wish came true hell idea","0,0,0
"
"case 's obvious rabbit glass as phone-cam pix","0,0,0
"
"cant believe said gt gt hate much right","0,0,0
"
"one item really throw away probably never","0,0,0
"
"would get mad sprayed shaving cream face would","0,0,0
"
"stingy suck agree need anything `` expensive '' first date","0,0,0
"
"'ve never found way `` star '' love gmail n't hate","0,0,0
"
"still broken as alienware laptop ... alienware over-rated imho","0,0,0
"
"well sorta depends mood im like cant really choose favorite","0,0,0
"
"lol ... one ifetime ... u wish damn season","0,0,0
"
"man walk p-b-pig domain wonder related","0,0,0
"
"one lesser performance iz kinda like fat elvis vs. young elvis","0,0,0
"
"everyone found religion real think people would","0,0,0
"
"ack still power ... suck dude hopefully come back soon","0,0,0
"
"damn ya gettin poppin early ya bday tho rite good one mayne ...","0,0,0
"
"'m good lot damn pie 's another conversation lol","0,0,0
"
"aw ill ask something u dont go crazy ^_^ ok um want life p","0,0,0
"
"dude come considering day today played well hate la","0,0,0
"
"damn `` purty '' mouth could n't born ugly one","0,0,0
"
"myspace dead fb overrated plus expand brain power","0,0,0
"
"oh heck ready pull dan rather pronounce dick cheney dead","0,0,0
"
"hate sunday night becoz next morning brings budget meeting bleh ...","0,0,0
"
"ouch suck 2nd thought u might look cooler w/ eye patch lol","0,0,0
"
"lordschmindie crazy kid careful 's fucking jungle","0,0,0
"
"kc got nice body shes insane taryns got nice rack shes bitch","0,1,0
"
"n't think 's stupid 'll assume 's disingenuous cunt instead","0,1,0
"
"aw dude suck .. well whever u put new tell nice job vids","0,0,0
"
"next week 'll biggest loser world else new","0,0,0
"
"fuck gin vodka think andrew got rum coke","0,0,0
"
"sweaty ping pong player 're referring hate gut","0,0,0
"
"n't little sweet sour sauce mickey 's hahahha","0,0,0
"
"dear eron drum sound fucking incredible .... er .. mean godly incredible","0,0,0
"
"prolly think .. wanted know thought","0,0,0
"
"cheesecake brownie pick one rest life","0,0,0
"
"lol damn great article though bad seems airplaning someone","0,0,0
"
"could read one magazine rest life would","0,0,0
"
"heard suck ... effect nice bad remake original","0,0,0
"
"actually think hate weather everybody stay time","0,0,0
"
"damn drive dad airport time oh well wonder wit 's","0,0,0
"
"oj seriously need get together .. karma bitch though caught him~","0,1,0
"
"time zombie cum n play 's passed 10 sorry maybe next weekend","0,0,0
"
"totally suck know 's gon na get grinched damn danville-ites gt","0,0,0
"
"nooo dont takj ti im procrastinating enough twitter damn internet","0,0,0
"
"'s coffee let 's call blocked number n't answer bitch lol","0,1,0
"
"used ton n't friend fb yet hahaha","0,0,0
"
"hate month january bring back november better yet last semester","0,0,0
"
"speak english frensh little arabic cuz egypt lotta time","0,0,0
"
"hate place oh ... got camera d40 amazing thanks help","0,0,0
"
"bahah yup im gon na tell whole fuckign world lol","0,0,0
"
"may ... hate ... even imagine forgiving n forgettin .. way ..","0,0,0
"
"opportunity movie actor/actress would","0,1,0
"
"would found wallet next-door neighbor hated","0,0,0
"
"congrats mate kick as post forum encourage others","0,0,0
"
"fat lady ... england ... yeah hear ya ... giggle ......... unfair","0,0,0
"
"go lawyer `` hate u 're good worst ''","0,0,0
"
"damn lost thanks alyssa decided patd 's new cd n't bad","0,0,0
"
"jordin rudeo say mean thing","0,0,0
"
"people really still think tabi fake go look dang myspace -.-","0,0,0
"
"http //twitpic.com/w588 yeeeeeeeeeeesssss damn salinger loved","0,0,0
"
"yea drive punk as truck im lovin petro price 10 bux half tank","0,0,0
"
"oh shit funny best video dude made better dick box","0,1,0
"
"n't know ocean park .. count 've went seaworld twice","0,0,0
"
"damn want jew year want go movie get chinese noddle","1,0,1
"
"reason really hate movie book bunch weak as vampire","0,0,0
"
"'m surprised hate movie much um exactly good movie","0,0,0
"
"actually go gay year scale thanksfully u gay stop ageing 27","1,0,0
"
"yeah got big hv idea totally agree kicking as","0,0,0
"
"fuck go mac iphone hooked jailbreak thatll teach em","0,0,0
"
"come visit shalll woohoo wait love bitch","0,1,0
"
"nothing say love wooly as sweater gift certificate beer","0,0,0
"
"doctor leave room change going see naked anyway","0,1,0
"
"kidding dick clark corpse mechanically operated advertising company","0,0,0
"
"lochness yea good job getting shunned as kicked sometime","0,0,0
"
"hope someone getting injured process real life pillowfight fuck yeah","0,0,0
"
"know bought pomegranate today as better get obsessed ...","0,0,0
"
"favourite part outside favourite part inside","0,0,0
"
"hate happens let guess sale marketing need new web report ...","0,0,0
"
"downey freak actor nature make every character magnetic winner","0,0,0
"
"sure saw kissing wife -- dick clark move pretty fast ...","0,0,0
"
"hey- finally managed book damn ticket online- took hour pvr suck","0,0,0
"
"knew cute sweet damn teeth aching http //xrl.us/greengiant","0,0,0
"
"except cat held mom word gay~ used lol","1,0,0
"
"fat white one recession would buy logitech dinovo bt kb sweet","0,0,0
"
"feel like accomplished thing wanted time life","0,0,0
"
"gasp may terminate intarwebz friendship hate anne cry","0,0,0
"
"full confidence ability kick as new work ... raise glass spirit","0,0,0
"
