Text_Lem,Sentiments_analyze
"rt xertx3 islam worldwide mega disaster .islam want drag u 7th century darkness death destruction","0,0,0
"
"jihadia8 lisa_marie74 islam declared war mankind 1400 year ago muslim cry like baby others respond kind","0,0,0
"
"discerningmumin killing people believe differently express excuse murder except among muslim","0,0,0
"
"bdssupporter zionist label something scum like use attack jew","0,0,1
"
"mean_marine one first thing prophet mohammed islamic quest start murdering jew never really stopped","0,0,1
"
"iamthe1teacher ironmanl1 stevecorrales80 's utterly stupid tolerate intolerance islam","0,0,0
"
"discerningmumin muslim also invaded india murdered 80 million hindu virtually exterminated buddhist india","0,0,1
"
"qoloob4 vandaliser sajid_fairooz israeliregime every day get result hatred bred islam http //t.co/fafjrpli6t","0,0,0
"
"harmlesstree2 idiot n't history would say that.you never studied barbarity muslim entire time","0,0,1
"
"congressman_aly money come muslim around world want caliphate domination islam force","0,0,1
"
"long make feel good lecture demonstration freedom speech avoiding real problem violence islam","0,0,0
"
"ardiem1m maxblumenthal oldkhayyam current behavior end ruled power muslim","0,0,0
"
"rt disgruntledtory christianity banned muslim country allow islam asking","0,0,0
"
"bdssupporter muslim state murderous terrorist state earth 's even close","0,0,1
"
"discerningmumin good established muslim slaver humanity failed evolve past slave owning","0,0,1
"
"vandaliser sajid_fairooz israeliregime 'd rather deal clown hopped mushroom muslim filled hatred islam","0,0,0
"
"rayyoosheh waffle_gurl race islam nut case","0,0,1
"
"roisin_morgan quran spell global domination humanity jihad torah global aim","0,0,0
"
"greenlinerzjm versacezaynx nyazpolitics african slave slave muslim","0,0,1
"
"discerningmumin oh please lecture porn muslim world biggest porn consumer islamic heaven brothel","0,1,0
"
"rt dstfelix clear white boy singing abt hanging nigger got police protection black ppl chanting black life matter got them���","1,0,1
"
"rt sudixitca vsramchandra islam nazism could reformed manonive","0,0,0
"
"islamujahideen islam perpetuity oppression thank isi helping world kill islam","0,0,0
"
"dawlatnamansura phony allah worshiping madrassa rat die hand controller thousand mile away","0,0,1
"
"nrllhkose bbcpauladams either murdering scum win murdering 2 genocidal islamist scum win either way scum win","0,0,0
"
"harmlesstree2 fact mohammed thug starving captured khybar stole jew property made pay live","0,0,1
"
"umarfarooq_ faheemhus jackmjenkins example mohammed give u man owned slave raped woman beheaded 600 jew one day","0,0,1
"
"ajwatamr exposefalsehood follower pedophile prophet try funny world outlaw islam soon","0,0,0
"
"obsurfer84 mohammed 's excuse every aggression `` attack heard going attack ''","0,0,0
"
"muslim claim racism islam like everything else claim lie http //t.co/pir6nd159a","0,0,1
"
"rt juliet777777 muslim australia form australian all-muslim army impose sharia law http //t.co/4prvbxhebv ffrnn wakingup tedtba���","0,0,1
"
"love___egypt washingtonpost jew trying defend muslim trying exterminate http //t.co/cqzs0zo0li","0,0,0
"
"oldkhayyam ardiem1m maxblumenthal hate islam religion based hatred jihad http //t.co/n60i1tfxhw","0,0,0
"
"dr_jreid islam proud slavery imperialism genocide minority murdering kurd iran","0,0,1
"
"muslmdawah search objectively find pedophile prophet mohammed declared war humanity 1400 year ago","0,0,0
"
"wflanger dandiedinmont number10gov yeah break relation democracy muslim trying exterminate smart","0,0,0
"
"cnni nope democracy man make law vote islam allah make law sword two coexist","0,0,0
"
"sirajzarook bilalighumman odiniainvictus israeliregime quran source hatred murder imperialism sexism","0,1,0
"
"adoomieforlyf shaffrazz old lie muslim repeat lie truth http //t.co/a6zuxxs4ne","0,0,0
"
"dankmtl left israeli slaughtered lost land deserved","0,0,1
"
"salon themuslimguy think brick head salon know prophet mohammed beheaded people mass islam","0,0,1
"
"lifeinkhilafah daesh price list yezidi christian sex slave http //t.co/h4elrfxhsm","0,1,0
"
"clashoftherats yusufpeaceful tummala82 indyvoices leave muslim claim four translator lying rather admit truth","0,0,0
"
"sirajzarook bilalighumman odiniainvictus israeliregime buddhist teaching contain violence hatred jihad islam","0,0,0
"
"sirajzarook odiniainvictus bilalighumman israeliregime good muslim good despite bad religion","0,0,0
"
"asem_1994 mohammed raped slave girl quran approves rape slave girl isi rape slave girl","0,1,0
"
"bdssupporter care born camel breath call israeli jew","0,0,0
"
"ldstarr18 ac360 liar trying shut people using term 3. islam race know death cult","0,0,1
"
"iltafshehzad would care opinion guy follows pedophile prophet","0,0,0
"
"abu_baraa1 myself_00001 get world recognize islam declared war humanity 1400 ago outlaw","0,0,0
"
"maxblumenthal veganforareason brendlewhat dhere muslim woman talk sex slave max pander http //t.co/jxpdgugy01","0,1,0
"
"zakirnaikirf saying islam way life mean tell democracy must instead follow pedophile","1,0,0
"
"lifeinkhilafah well since islam full hate divisiveness bring thug hate islam","0,0,0
"
"yrohaibani ajwatamr blow one murdered islamist using dead kid religious objective","0,0,0
"
"congressman_aly muslim worldwide problem israel protecting muslim persecution global","0,0,0
"
"dancohen3000 maxblumenthal wheras arab really behaving people scum ignoring","0,0,1
"
"bilalighumman odiniainvictus israeliregime old line b 100 islamic terrorist orgs religion close","0,0,0
"
"vandaliser sajid_fairooz israeliregime even hitler jew still want live west hatefilled islam","0,0,1
"
"lliraqi guess call murder rape slavery hatred bigotry sexism beautiful beautiful","0,1,0
"
"es3udi just_nafisa fatimafatwa jrehling muslim actually read quran total liar","0,0,0
"
"abuyigitalcahrz leonardomaxwel1 another barbaric aspect islam murder people way born","1,0,0
"
"just_nafisa fatimafatwa es3udi jrehling course islam religion murder muslim rifle range","0,0,0
"
"cdnkhadija johnnygjokaj bilalighumman 98halima rfrankh53 quran sanction raping slave girl","0,1,0
"
"alihadi68 rudoren nytimes hey least n't murder people apostacy blasphemy like tribe scum","0,0,1
"
"usamani1 seems like muslim living steady diet conspiracy theory go together islam religion ignorance","0,0,1
"
"suranie exactly merkel defending protester called islamophobes http //t.co/08zwrcto88","0,0,0
"
"iamthe1teacher stevecorrales80 ironmanl1 islam declared war humanity 1400 year ago nothing changed","0,0,0
"
"ardiem1m maxblumenthal oldkhayyam muslim done ethnic cleansing 1400 year israel putting stop","0,0,1
"
"dankmtl prophet mohammed fired starting gun extermination jew christian peninsula http //t.co/v1iiooitig","0,0,1
"
"noughtii_faya islam teach exactly isi practice","0,0,0
"
"romeroscott gunman muslim terrorist","0,0,1
"
"ardiem1m maxblumenthal oldkhayyam forget anti jewish bigotry explain hamas beheading gay honor killing woman","1,1,0
"
"joritson way saying approve muslim men raping child scumbag ignore problem create distraction","0,1,0
"
"ibnhlophe sibanda_tapson eeviewonders ctfleamarkets land muslim colonialized","0,0,1
"
"sirajzarook traitor individual tribe woman child make lying excuse barbarity like muslim","0,0,0
"
"patvpeters funny defender islam like bring crusade muslim crusader attacking christianity first","0,0,0
"
"digvijaya_28 guy spouted one lie another response video typical lying muslim propaganda","0,0,1
"
"col_connaughton muslim train baby hate murder use propaganda http //t.co/c7dlwixjpc","0,0,1
"
"byronfberry good time confront cult hatred murder islam","0,0,0
"
"maxblumenthal blame 24/7 schedule promoting anti semitism","0,0,1
"
"rt ravenhuwolf bloodthirsty muslim flock isi theatre loop jihadi atrocity enjoy watching http //t.co/c96v6mwgnz http /���","0,0,1
"
"yousufpoosuf rkinglive2dance izrinhariri quote mean exactly say people naturally less hateful islam","0,0,0
"
"anjemchoudary prophet rapist murderer pedophile caravan robber slave trader bigot 2. god would never use scum","0,0,0
"
"qoloob4 vandaliser sajid_fairooz israeliregime mohammed always lied saying attack others planned attack","0,0,0
"
"sajid_fairooz israeliregime launched completely unprovoked attack jew khybar murdered many stole land","0,0,1
"
"truaemusic care revised million time barbarity islam","0,0,0
"
"substerrr muslim want able abuse time pretending victim","0,0,1
"
"iftikharawan choose religion islam clearly barbaric inhuman zero god","0,0,0
"
"nndabbour64 religion declares war humanity respect anyone hypocritical ask respect","0,0,0
"
"nndabbour64 excuse hide fact following evil inhuman religion","0,0,0
"
"discerningmumin western world gave slavery 's one forced outside","0,0,0
"
"saudi_castro donttreadonme65 zaki_safar kkk almost non existent muslim terrorist http //t.co/zwtor5yyxd","0,0,1
"
"shehzilk stupid comment illegal u soldier punnished muslim organization make murderer hero","0,0,0
"
"selenakhan14 ptisalarkhan georgegalloway israeli fighting become minority victim minority","0,0,0
"
"sumersloan pawarnhoff etsho127 n't stopped sick muslim trying exterminate israel","0,0,1
"
"adimuliapradana muslim n't follow quran hadith peaceful follow always violent islam","0,0,0
"
"rt maguidhirp juliet777777 grogparty socialist moslem working together destroy australia","0,0,0
"
"occuworld rofl jew used live 40 arabian peninsula committing genocide","0,0,1
"
"rt jimhumbert liberal atheist murder three muslim student member anti-semitic muslim bro��� http //t.co/pntmamdq99 vi���","0,0,0
"
"nndabbour64 islam religion large force religious police running around telling people must","0,0,0
"
"notice news medium avoids pointing murderer 12 french follower death cult islam","0,0,0
"
"rt nydailynews editorial murderous soul radical islam attacked foundation western civilization http //t.co/vbu2idlcct http���","0,0,0
"
"rt greg389 theresa may today pleaded jew leave jew build wealth muslim take welfare simple economics http //t.co/lvan���","0,0,1
"
"angelicpsalms brassidio stop threatening people get want 's people hate religion","0,0,0
"
"huffpostrelig incredible piece garbage muslim crusaded christian 400 year christian crusade","0,0,0
"
"iftikharawan one must imagine god insulted hateful war mongering decisive bigoted 2 religion calling","0,0,0
"
"ameytahl buberzionist mjayrosenberg maybe encourage jewish girl marry black men show open minded","0,0,1
"
"rt riwired hillaryguess pleased hitler grand mufti provided hitler w/ army muslim soldier europe tszarnev vileislam���","0,0,1
"
"yousufpoosuf rkinglive2dance izrinhariri muslim actually better behaved religion lead","0,0,0
"
"lifeinkhilafah cancer islam push even baby begin thinking murdering fellow human being","0,0,0
"
"ibnhlophe eeviewonders ctfleamarkets text fraud brought pedophile slave trader rapist murderer bigot 2 robber","0,0,0
"
"alihadi68 maxblumenthal rudoren nytimes proph beheaded 600 jewish men amp sold woman child slavery love","0,0,0
"
"congressman_aly jessicaelgot thing islamophobia thing naziphobia","0,0,0
"
"israelites234 scamp_faridxx cnn first crusader muslim microbrain 400 year european headed direction","0,0,0
"
"truaemusic mohammed led 17 military expedition beheaded 600 jew one day married six year old girl etc etc get picture","0,1,1
"
"aalawofficial according canon prophet pedophile murderer rapist caravan robber slave trader 2 bigot","0,0,0
"
"rt joannapage784 woman subjected 'brutal ab0 sex act marrying isi militant http //t.co/ypflkjdvtm","0,1,0
"
"wilytone jmorgan_jamie sentomcotton gop islamist whole time dictator kept quite","0,0,0
"
"dianh4 ajwatamr exposefalsehood 's 53 year old man marries 6 year old girl screw 9 like mohammed","1,1,0
"
"dankmtl problem palestinian muslim stand jewish state exist peninsula","0,0,1
"
"libyaliberty sumbelinaz lying muslim still extremist http //t.co/u7l1uprn7l","0,0,1
"
"caliphatecop saeed6ali raping 9 year old girl allowed islam child soldier outlawed","0,1,0
"
"raniakhalek maxblumenthal odeh 's action u prof lying criminal undoubtedly lied happened isr","0,0,0
"
"rt koda1950 lemarquand exactly islam ever done subjugate woman kill torture","0,1,0
"
"maxblumenthal mehdirhasan tnr mohammed pedophile married child isi marries many child http //t.co/hb4uw1f5zd","0,1,0
"
"yousufpoosuf rkinglive2dance izrinhariri thing stopped muslim slaughter historical past military defeat","0,0,1
"
"dianh4 exposefalsehood muslim first crusader attacking christian world century attacked back","0,0,0
"
"buttercupashby madasahatter_17 mohammed murderer people killed disagreeing","0,0,1
"
"abbswinston andyblueskyz palestine woman like would honor killed long ago","0,1,0
"
"harrietyarker beheading christian jew buddhist hindu ezidis etc 1400 year prophet start","0,0,0
"
"sayfudeeen complain islam ethnic cleansing everybody 1400 year n't time return favor","0,0,1
"
"logicalmind11 really n't know anything evil religion http //t.co/c0ode7cc76","0,0,0
"
"politicalant politics_pr foxnews look data dipwad 1/3 think people leave islam killed http //t.co/mftot9ijty","0,0,0
"
"kenisaacs1 raymondarroyo davidlimbaugh ap yes sit butt let murder enslave ezidis christian ...","0,0,0
"
"dorvaltony brassidio rape murder pedophelia bigotry war sexism genocide peaceful islam peaceful","0,1,0
"
"greenlinerzjm versacezaynx nyazpolitics uk enough understand history islamic slavery http //t.co/xwjzpsodgj","0,0,0
"
"gdwessel question n't german criminal prosecutor announce investigation islam 's incitement hatred islam","0,0,0
"
"98halima bilalighumman johnnygjokaj cdnkhadija rfrankh53 n't want read pedo stop reading quran","0,0,0
"
"rt petertownsend7 isi muslim 're woman 're committed islam serious http //t.co/d73nxufiy0 http //t.co/���","0,1,0
"
"remy119 muslim exterminated christian jew continue today un resolution","0,0,1
"
"congressman_aly islam blinded hatred religion built hatred intimidation http //t.co/jpqolzjrgi","0,0,0
"
"rt mickk1954 christian jewish faith made america islam please take back sandpile kill eachother dearbornistan no���","0,0,1
"
"zakirnaikirf fact brain prevents accepting islam","0,0,0
"
"rt deegy2 islam religion hate violence deceit http //t.co/53pbsh0rf2","0,0,0
"
"would much better figuring islamofascim ranting freedom speech went paris islam","0,0,0
"
"benjaminnorton uygaraktas considering endless stream murder minority muslim care","0,0,1
"
"kewldevzzo yes according islam muslim encouraged kill 'm muslim issue hindu","0,0,1
"
"maxblumenthal carolinefourest matter desperately race baiting trash like want islam race 's","0,0,1
"
"vandaliser sajid_fairooz israeliregime go read pact say n't waste time","0,0,0
"
"rt anglosaxonryder lakemba muslim protest complete failure aussie n't want islam n't suit way life l���","0,0,1
"
"ginnysimmons femfreq care issue guilt innocent rest race baiting asshole like","0,0,1
"
"rt 4chunat1 cnn report murder homosexual islamic state problem isn���t isi it���s islam http //t.co/ocd3r���","1,0,0
"
"_enzk nndabbour64 someone want leave islam islam declares apostate demand murdered","0,0,0
"
"yuskan0723 scumbag muslim child use propaganda http //t.co/jg5mewh1ur","0,0,1
"
"camillehughes16 _watch_observe_ n't really care muslim practice care islam encourages murder hatred sexism","0,1,0
"
"abu_talal2 1400 year ago islam stole woman 's right turned slave forever","0,1,0
"
"98halima johnnygjokaj rfrankh53 bilalighumman cdnkhadija muslim land ever lived anything tyrant dummy","0,0,0
"
"ibnhlophe eeviewonders ctfleamarkets actually 's islam destroyed 's crime humanity","0,0,0
"
"harmlesstree2 care defined muslim lived production jew left impoverished","0,0,0
"
"huffpostrelig islam maintained slavery much longer christianity gave western pressure","0,0,0
"
"anjemchoudary maybe give talk 53 year old mohammed raped 9 year old aisha http //t.co/qfk56qu5og","0,0,0
"
"asem_1994 crime islam exactly according belief","0,0,0
"
"liamxkiwi greenlinerzjm halalflaws biebervalue yeap leave muslim consider stoning woman death funny","0,1,0
"
"raja5aab quickieleaks tell could possible happen would consider proof allah mohammed fraud","0,0,0
"
"dankmtl hell muslim everywhere chanting death everybody jew trouble muslim muslim trouble everyone","0,0,1
"
"geeky_zekey thanks showing black biggest 3 blocked","0,0,1
"
"zamiratwitt erdogan fascist islamist scum bag woman 's employment decreased 30 violence woman increased","0,1,0
"
"buellerishere kellyturner99 muslim citizen raqqa enjoying peaceful day beating three men death http //t.co/ki4tdl3idr","0,0,0
"
"rt wolfspirit2013 obama 's peaceful islam islam `` one '' allowed challenge even mean muslim threatening life ht���","0,0,0
"
"peoplemagupdate idiot want support muslim trying exterminate israel","0,0,0
"
"sibelo76 actually follow quran hadith exactly 's `` moderate muslim '' ignore much canon","0,0,0
"
"theinfoislam 's disadvantage following religion uneducated moron rely kufir everything","0,0,0
"
"aboualizarif maxblumenthal muslim exterminated virtually every minority idiot talk israeli aparthide","0,0,1
"
"qoloob4 vandaliser sajid_fairooz israeliregime yes even rape muslim country reported","0,0,0
"
"umarmal muslim kiss as buying oil n't 'd riding camel population would 1/3","0,0,1
"
"josephisvegan sumbelinaz ironmanl1 hatewatch department justice report say black kill 6 time rate white","0,0,1
"
"rt historyscoper islam jihad swedish medium lie protect somali muslim gang-rapists http //t.co/acmf7cg9bj","0,0,1
"
"lifeinkhilafah prophet mohammed illiterate superstition knew nothing war theft slave trading","0,0,0
"
"ummayman90 wood_brwood333 example medina mohammed said kindly cut head 600 jewish men enslave woman","0,1,1
"
"dlsaudiarabian yes 's violation islam islam demand beheaded rather burned","0,0,0
"
"bilalighumman 98halima johnnygjokaj cdnkhadija rfrankh53 like said stupid comment seek hide vileness islam","0,0,0
"
"abu_baraa1 dumb muslim complain freedom speech support blasphemy law time disgusting inhuman religion","0,0,1
"
"muslim woman walking street giant vagina demanding raped covered tent http //t.co/xtd6rtprb8","1,1,1
"
"isi nothing islam n't attract jew himdus buddhist taoist atheist christian muslim","0,0,0
"
"raniakhalek maxblumenthal phan_n muslim blasphemy law lead lynch mob murder let 's stick important stuff","0,0,0
"
"asadumarfans muslim brain dead repeat others said million time","0,0,0
"
"harmlesstree2 today christian still murdered rampaging muslim mob pakistan egypt","0,0,0
"
"rt edwinrowe egyptian tv host nobody dare admit isi crime based islamic source http //t.co/mzk5ymgzun egypt honest���","0,0,0
"
"kamelnasreldien islam perfect nazism","0,0,0
"
"nyc2peach sajid_fairooz israeliregime muslim control determined steal last tiny piece land left jew","0,0,1
"
"dankmtl third jewish tribe beheaded men surrendered sold woman child slavery","0,0,1
"
"aalwuhaib1977 muslim bigot attacking hindu buddhist atheist anamists world daily","0,0,1
"
"discerningmumin mohammed owned 28 slave slavery mohammed otherwise bull shiting","0,0,1
"
"rt sudixitca muhammad inventor thighing started molesting aisha 6 year old shahzadadeindia cc tarekfatah","0,0,1
"
"anwarprince14 sabcnewsonline palestinian behead gay honor kill woman","1,1,0
"
"maddr11 maxblumenthal meantime palestinian fucker beheading gay honor killing","1,0,0
"
"dankmtl israel given palestinian right return would suffering fate minority islam","0,0,0
"
"maxblumenthal every border islam share every religion bloody suppose believe 's jew fault","0,0,1
"
"semzyxx nainfidels owais00 see pedophelia illegal israel legal muslim country outlaw islam","0,0,0
"
"sweden fact many muslim country odious law daesh show sex slave approved ksa http //t.co/rlwz0bqubs","0,1,0
"
"discerningmumin 's muslim virtually killing example 80 civilian killed afghanistan killed taliban","0,0,0
"
"congressman_aly know muslim bigotry driven christian palestine","0,0,0
"
"raja5aab quickieleaks yeah read every verse tao te ching superior every verse quran quran fraud","0,0,0
"
"joritson piece shit like everything power exterminate white people","0,0,1
"
"islamrevlution islam4libya5 bintstranger n't everybody hate islam","0,0,0
"
"buttercupashby madasahatter_17 mohammed attacked third jewish tribe medina beheaded 's men sold rest slavery","0,0,1
"
"withtrish jrehling world nothing islam producing terrorist activity 1400 year","0,0,0
"
"odiniainvictus sirajzarook bilalighumman israeliregime muslim follow religion based terrorism jew","0,0,0
"
"anasmechch peymaneh123 saw report seen report shia crime yet seen evidence tikrit","0,0,0
"
"aalwuhaib1977 dankmtl peacenothate_ ... idf hamas would put bullet head long ago","0,0,0
"
"maxblumenthal mehdirhasan tnr mohammed declared jihad non believer isi executing jihad non believer","0,0,0
"
"salon themuslimguy troll salon know mohammed led 17 major military expedition offensive chance islam","0,0,0
"
"qoloob4 vandaliser sajid_fairooz israeliregime quran hadith make clear islam imperialist http //t.co/uetplzavyi","0,0,0
"
"abu_talal2 islam truth every word lie","0,0,0
"
"jncatron isra_jourisra ampalestine islamophobia like idea naziphobia islam religion hate must outlawed","0,0,0
"
"98halima johnnygjokaj bilalighumman cdnkhadija rfrankh53 majority muslim 2 bigot http //t.co/xjd8w98ite","0,0,0
"
"rt cordiemendoza `` subratabanik religion violent abhorrent islam http //t.co/iurt6el834 '' lesliemarshall","0,0,0
"
"nebula_chain_ paulstephen8 wheras islam simply declared war humanity 1400 year ago never stopped time return favor","0,0,0
"
"rt annebayefsky ���the lofty status woman islam woman 's testimony �� weight man's.��� http //t.co/csickyer8t womensday http ���","0,1,0
"
"maxblumenthal max asks palestinian friend beheading gay honor killing driving palestinian christian existence","1,0,0
"
"roisin_morgan n't care jew protect genocidal muslim","0,0,1
"
"samihnewsam wrong islam n't give woman right imprisoned house remember katjia wealthy islam","0,1,0
"
"jihadi_11 shami_is_back armed ezidi around daesh began slaughter enslave cry","0,0,0
"
"ldstarr18 ac360 islam worse nazi party ever","0,0,1
"
"watching shia militia beat peshmerga death 've concluded animal like isi islam iraq kobane","0,0,0
"
"ok shabab call attack oxford st london muslim careful avoid area warning issued","0,0,0
"
"kufar munafiq leader come together charliehebdo grieve nvm palestine massacre show no1 care muslim blood","0,0,1
"
