Text,Sentiments_analyze
"@discerningmumin And if Muslims are angry that they can't force Islam on people, who cares? http://t.co/G43tlj1dGU","0,0,0"
"@mutaSawwif About 90% of Iraqi civilians are killed by Muslims.","0,0,0"
"@_sara22_ @Number10gov Muslim terrorist execute people daily. But when rare response happens to that provocation they fake being the victims","0,0,1"
"@robert150254 @Ag_nostic @riwired @itsomar99 Mostly Old Testament, were its heroes attacked and slaughter every man, woman, child, animal","0,0,0"
"@exJizyacolector @abunaseeha2 Yes, only Islam can generate that level of barbarity, hatred, and inhumanity. https://t.co/frOHLueT12","0,0,0"
"@NNdabbour64 The same old lie about property rights.  But Arab women had those before Islam.","0,0,0"
"@obsurfer84 @teenage Let people look at the polls that Muslims answered and see that they come from hate. http://t.co/j2BAMNBzi4","0,0,1"
"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime I just gave you the proof from the Quran and the Hadiths that you are lying.","0,0,0"
"@MaxBlumenthal Here are the verses from Quran and Hadith proving genocidal aim of the Muslim biggots. http://t.co/pF8iwpdb1d","0,0,1"
"@truaemusic @mattybboi83 @Number10gov Not masked. The Quran and the Hadith declared war on humanity 1400 years ago. http://t.co/tuOWg1ltyj","0,0,0"
"RT @IronmanL1: The Jihad of Words:how words in Islam are twisted to deceive the Kafir  http://t.co/aFcgWBrqAM","0,0,1"
"The myth of "moderate" Islamic rebels.  They are all fanatics and #Islam must be outlawed.  http://t.co/BYGcWWqJW5","0,0,1"
"@IAmThe1Teacher @IronmanL1 @stevecorrales80 And yet it is a law of Islam and 1/3 of Muslims support that law. But you tell me to tolerate em","0,0,1"
"RT @Chris_1791: What about current slavery? #Ferguson #blacktwitter #DontAllBlackLivesMatter Afraid of Islam? http://t.co/AN93G7q3gg http:/���","0,0,1"
"@Lithobolos @PoliticalAnt @ZaibatsuNews And there is no Jihad and world domination in Judaism as there is in Islam.","0,0,0"
"RT @lajouetreine: RT@UnPoliticalPrty: The true history of #Islam and Slavery 

MUST SEE http://t.co/UFJt3iAzzw

#PJNET","0,0,0"
"@roisin_morgan It can't be separate while those wishing to destroy Israel use it as a basis of their genocidal fanaticism.","0,0,0"
"RT @BlissTabitha: Australia: Gifted teen embraces Islam, becomes a jihad terrorist http://t.co/bpmb7EoaGv","0,0,1"
"@rayyoosheh The murdering Muslim blasphemy mobs of Pakistan. http://t.co/f3aWjksaUz #Islam","0,0,1"
"Gay man thrown off the rooftop by ISIS for being gay.  Despite what the radical left claims, this is the real #Islam. http://t.co/1YPpriD7pk","1,0,1"
"@LifeInKhilafah Islam, on the other hand fights to take away people's freedom and force them to obey an imaginary terrorist god.","0,0,0"
"@PoliticalAnt Look at the data dipwad, 2/3 want sharia law, which denies all rights to women and non Muslims. http://t.co/7QupIMBaN7","0,0,1"
"@roisin_morgan Your terminology is as meaningless as the assumptions you make from them. Palestinians have no country and never have had one","0,0,0"
"@flatspaddler1 @SumbelinaZ @velvethammer @IronmanL1 @Hatewatch She is crying, "Boohoo, you are terrorizing our Islamic terrorists"","0,0,1"
"@yousufpoosuf @HillaryGuess Muslims are fighting Jews, Hindus, Buddhists, Christians, atheists and animists somewhere in the world.","0,0,1"
"@Abu_Baraa1 @tanach67 Not by illiterate baby rapists like you and your prophet.","0,0,1"
"@brassidio @rayyoosheh @waffle_gurl Islam is a believe system based mainly on illusion. Overlooking gross barbarity is necessary.","0,0,0"
"@chrissmax He is lying. It's Islam. ISIS does nothing that the prophet Mohammed did not also do.","0,0,0"
"RT @brassidio: Islam gave women rights. Unfortunately, they were less than they were before Islam http://t.co/RLJBP1ZOQh","0,0,0"
"@IAmThe1Teacher @IronmanL1 @stevecorrales80 What do you think we are doing when we accept Muslim immigrants.  What do we get back.","0,0,1"
"RT @RavenHUWolf: Read it Liberals &amp; get a reality check on life! Within Islam your views, beliefs, any democracy system, mean nothing! http���","0,0,0"
"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Yes, Jews are tired of being murdered by Muslims. So what?","0,0,1"
"@AAlwuhaib1977 All the lies they tell and the mantras they repeat about apartheid, etc. are all scripted propaganda and not spontaneous.","0,0,1"
"@Habibiline @Jihadii8 Not to mention crushing poverty, endless violence, and legal forced marriage of 8 year old girls.","0,1,0"
"@EuklidProof Daesh followers of the pedophile prophet Mohammed and the terrorist Allah are dying in their rage and in their thousands.","0,0,0"
"@congressman_aly I know that they are dedicated to the extermination of the Jews just like their prophet Mohammed was.","0,0,1"
"@logicalmind11 No, but if you are following a Quran that has hatred and bigotry in it it makes you a hateful bigot.","0,0,0"
"@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I dont have to live there to know you can't leave house without male relative","0,1,0"
"@FarooqSumar @NafeezAhmed @MaxBlumenthal As this Palestinian makes clear, they are Egyptians and Saudis and that Arabs must destroy Jews....","0,0,1"
"@Kaya786 Islamophobia is like Naziphobia. There is no such thing.","0,0,0"
"@greenlinerzjm It means "God is Great". Often shouted while Muslims are murdering one of gods creations.","```csv
0,0,1
```"
"@roisin_morgan And while all other religious groups globally are under genocidal attacks by Muslims you blame the Jews.  Utterly  stupid.","0,0,1"
"@ummayman90 No, you know damn well that Mohammed told his followers to breed as a source of population imperialism. #Islam","0,0,1"
"@ameytahl Leave it to some microbrain to get sanctimonious by finding a way to play the race card.","0,0,1"
"RT @DHfromtheV: Christian lady in Pakistan is facing execution for blaspheming the prophet Mohommed. They take Islam serious as hell. No fr���","0,0,0"
"@KeeganNYC @syedmuhammad555 Sure. Why do one third of Muslims want to murder people who want to leave Islam? http://t.co/PqW3lGrmH5","0,0,0"
"@CamilleHughes16 @_Watch_Observe_ A Muslim's "religious freedom" involves denying others their freedom.  So Islam must be outlawed.","0,0,1"
"RT @swagd0ctor: @VileIslam @TRobinsonNewEra @OZzSue @BBCNews Turks won't bomb isis because isis kill Christians http://t.co/HotvEOhXtz","0,0,1"
"@IndyVoices I read the entire Quran and many of the Hadiths, and murdering "unbelievers" and forcing Islam on people is exactly what it is.","0,0,0"
"RT @MaajidNawaz: .@ggreenwald teaching me about discrimination, implies via the link that critiquing Islam is like being a homophobe http:/���","1,0,0"
"@asem_1994 ISIS beheads people. Saudi beheads people. Mohammed beheaded 600 Jews.","0,0,1"
"@AbuYigitAlCahrz @LeonardoMaxwel1 Could that be because Islam declared war on humanity 1400 years ago? http://t.co/xZjOzUQnZx","0,0,1"
"RT @sudixitca: Our Prophet Our Honor = Rape, Beheadings, and Genocide Our Honor = Muhammad Does not Deserve Respect.","0,0,0"
"Islam considers women as one big sex organ, so no part of her can be exposed.  This is a reflection of the perversion of their prophet.","0,1,0"
"RT @curdistani: ISIS intend turn war of Islamism into ethnic war of Pan Arabism&amp;Kurd in Mosul. As evidence show they are conducting Pan ara���","0,0,0"
"RT @george3612: @ProudPatriot101 Austrians Say Islam Does Not Belong in Their Nation: Poll http://t.co/Pa7yTFBQhB ���","0,0,1"
"@pNibbler @AlterNet @MaxBlumenthal In every Christian nation you can say what you want about Christians &amp; Jesus. Muslims kill for blasphemy.","0,0,0"
"@FalconEye123456 May Allah bless him with 72 virgin pigs.","0,0,0"
"@DianH4 Perish slowly my ass. Slavery lasted longer in the Muslim world that anywhere else. And your hero is trying to bring it back.","0,0,1"
"@Zahoorgorsi What the Americans did in Iraq was allow the Iraqis to elect their leadership.  Sunnis and Shia killing each other is Islam.","0,0,0"
"@FarooqSumar @NafeezAhmed @MaxBlumenthal And the Muslim Nazis left the Jews nothing but this. http://t.co/MTVgnwqZVu","0,0,1"
"RT @brassidio: Muslims are like spoilt children who throw violent tantrums when they don't get their own way. #RespectForMuslims","0,0,1"
"@PoliticalAnt @Lithobolos @ZaibatsuNews So ISIS beheads because their prophet beheaded . ISIS rapes slaves because their prophet raped them.","0,0,0"
"@AAlwuhaib1977 So while thousands of churches, temples, synagogs have been destroyed by Muslim biggots, you only worry about one Muslim ....","0,0,0"
"@Bruciebabe @andyblueskyz @End_Bigotry @chezkig1 @ericcartmanfat @AbbsWinston All the Jews,Christians and gays would be dead. Women enslaved","1,1,1"
"@DianH4 By showing your love of a genocidal animal like Baghdadi you have given the reason why Islam must be exterminated.","0,0,1"
"As long as the Middle East is in the grip of #Islam, there will never be such a thing as an Arab Spring. #Syria #Libya #Yemen #Iraq #Egypt","0,0,0"
"@Damhan97 @niall_cullen @AC360 Having more children is what their prophet Mohammed told them to do.  Reproductive imperialism.","0,0,1"
"@DianH4 @rogue_allah You are lying again, just like a Muslim. The Quran approves of raping slave girls explicitly.","0,0,1"
"RT @RudawEnglish: #ISIS has begun recruiting Moroccan prostitutes for its militants in Syria and #Iran, luring them with promises of money ���","0,1,0"
"RT @peddoc63: @fernleex Muslims not killing are complicit by silence.Tolerance of intolerance is cowardice.Ali was maimed by Islam. http://���","0,0,1"
"@morasilh @bbcturkce The Sunni Turkmen are genocidal criminals living off loot they stole from minorities. What they want counts for nothing","0,0,1"
"@discerningmumin It's not a prophet competition. It's about following a fraud who owned slaves, had people murdered, was a bigot, etc.","0,0,0"
"@ZamiraTwitt One way of helping to prevent such crimes would be to outlaw the sick and 2 religion of Islam that victimizes women.","0,1,1"
"@SumerSloan @PAWarnhoff @etsho127 Why haven't you and your world stopped over 100 Islamic terrorist organizations from murdering children.","0,0,1"
"@MaxBlumenthal @Ajzionts Max Blumenthal's Muslim friends busy raping Christian girls around the world. http://t.co/liSKP9U8Uq","0,1,1"
"@GENUG @TheMuslimIssue Saudi Arabia - a nation of Islamolunatics hiding from the Islamolunatics they helped to create. #Islam","0,0,1"
"@biebervalue @greenlinerzjm You fucking moron, slavery is approved right in the Quran. Read it you stupid idiot.","0,0,1"
"@discerningmumin And now, every Jihadi group wants to reinstate slavery in the present because the Quran approves it and Mohammed practiced.","0,0,1"
"@halalflaws @biebervalue @greenlinerzjm What your prophet said was that women are stupid and corrupt. #Islam http://t.co/gmiSHq8QaG","0,1,0"
"@KellyTurner99 @buellerishere @isra_jourisra @fei989 And not only did Mohammed burn them, the crucified, stoned and beheaded people.","0,0,0"
"@etsho127 @PAWarnhoff @SumerSloan They could never choose.  Islam has given them nothing but Caliphates and dictatorships for 1400 years.","0,0,1"
"@shehzilk @watan71969 Those Jews are assholes.  Most Jews are secular and humanist.  Most Muslims are Islamists. http://t.co/GQx6BZAFJ5","0,0,1"
"@RTUKnews An Islamist human rights group? LOL. Now there is a contradiction in terms.","0,0,0"
"@Abu_Baraa1 Peace? You Idiot, Islam declared war on all humanity 1400 years ago. How can you blab on about peace. Time to exterminate Islam.","0,0,1"
"@buellerishere @KellyTurner99 "That which your right hand posses" means slave.  The Quran gives clear permission to rape slaves.","0,1,0"
"@jihadi_11 @Sheikh_Times3 What do you care, scumbag? You murder and enslave unarmed Ezidi and Christian civilians.","0,0,0"
"@truaemusic @mattybboi83 @Number10gov Child abuse is illegal in western culture. It is accepted in Islamic cultures because their prophet...","0,0,1"
"@rico_hands @NAInfidels @semzyxx @owais00 Hey, idiot! You can't use the problems of Judaism to justify the barbarity of the Quran.","0,0,0"
"@DianH4 @ExposeFalsehood We don't support tyrants, Islam produces nothing but tyrants.  All the Caliphs and Sultans were tyrants.","0,0,0"
"@ummahwitness Then why do you smelly rag heads keep moving to Britian?","0,0,1"
"@MDBishop82 @railgirl1952 @LyndaG1963 @Coslopuss @MaxBlumenthal In fact Blumenthal's Palestinian friends behead gays.","1,0,1"
"Muslim abuse and murder of minority religions continues in all Muslim majority countries. http://t.co/1UoMvZWcCq #Islam #Pakistan #Syria","0,0,0"
"@CherguiaMbark Mostly it shows how vile, inhuman, digusting, and barbaric that religion is. #Islam","0,0,0"
"@anjemchoudary @JihadiA8 Sharia put the Muslim world 1000 years behind the rest of civilization and tortured minorities.","0,0,0"
"@discerningmumin The first slaughterers were the Muslims. They invaded the Christian world 400 years before the crusades.","0,0,0"
"@Brown_Saraah Terrorism has been the core of Islam ever since the fraudulent prophet Mohammed invented it.","0,0,1"
"@anjemchoudary Idiots like you making such declarations have no contact with reality.  Islam is inhuman and must be outlawed.","0,0,0"
"@riwired @_Elreda I like that picture of Israel in the context of the Muslim world.  A tiny spec they blame for all their own evil.","0,0,1"
"@etsho127 @SumerSloan @PAWarnhoff Furthermore,your pedo prophet attacked cities with catapults killing children.So what are you crying about","0,0,0"
"@kewldevzzo Islam is full of incitements to murder unbelievers.  What are you talking about?","0,0,0"
"@CavusSeyit You are the one who believes in a god that asks one part of his creation to murder another part. Impossible to get any stupider.","0,0,0"
"@FarooqSumar @NafeezAhmed @MaxBlumenthal Now the Muslim Arabs are using the Palestinans as their spear point to complete the extermination.","0,0,1"
"@jncatron @dailydot Pigs like you never whine so loud at the hundreds of murders by Muslims every day around the world.","0,0,1"
"@loveconcursall @ottomanland But look at the reality disconnect. Burak says he is for freedom and against all slavery while at the ...","0,0,0"
"@mir576607189 Looks like a slum, as people are forced to go to mosque at gun point. Daesh are creating hundreds of thousands of atheists.","0,0,0"
"@scamp_faridxx @cameIzzz The problem was not the communists atheism, but rather their totalitarianism, just like Islam.","0,0,0"
"@Vandaliser @sajid_fairooz @IsraeliRegime A word of advice, until you can show that wikiislam is false, don't bother me with your advice.","0,0,0"
"RT @SeanAAitken: The Kurds clean up the ISIS Islamofascist trash in Kobane. Kobane is the graveyard of ISIS. Via @jackshahine http://t.co/N���","0,0,0"
"@sajid_fairooz @IsraeliRegime Muslim declared war on humanity and their have been murdering men, women, and children for 1400 years.","0,0,1"
"@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime No the hatred was all started by Mohammed. http://t.co/Yyl4nn6LgN","0,0,0"
"@taimiiSays Islam is hatred and Jihad. http://t.co/bp228IR12B","0,0,0"
"@truaemusic You are defending the prophet Mohammed and he was a murderer, 2, imperialist and bigot.","0,0,0"
"@HoosierJason @ciomdx @JameelJaffer @ggreenwald Why not. Muslims have practically exterminated every non Muslim minority in Mus countries.","0,0,1"
"@Vandaliser @sajid_fairooz @IsraeliRegime Read Ibn Warraq on the treatement of Jews and other minorities in Muslim history.","0,0,0"
"@discerningmumin Now Muslim terror groups are trying to complete the job of killing or throwing out any remaining minority groups in Arabia.","0,0,0"
"@jihadi_11 @Shami_IS_back Hopefully the followers of the slave trader, and pedophile prophet, Mohammed.","0,0,1"
"@ummayman90 What do customs and rules and history have to do with it.  Marrying a 6 year old and screwing a 9 year old is sick like Islam.","0,0,1"
"@roisin_morgan Those same genocidal Muslims that practice their bigotry and barbarity against religious and ethnic minorities everywhere.","0,0,1"
"@HillaryGuess @riwired @izrinhariri Because Islam has over 100 operating terrorist groups and a mandate to conquer the world by violence.","0,0,1"
"@fei989 @isra_jourisra War, chopping off heads, raping slave girls, were Mohammed's favorite activities.","0,1,1"
"@logicalmind11 You can never get rid of the radical Muslims because the Quran and Hadiths will always produce more.","0,0,1"
"@dankmtl Hard to get stupider than you. Still no change in ratios justified by anything Israel did.","0,0,0"
"@Pray_4_Life @Pontifex People who call being against Islam 3 know that Islam is not race but want to intimidate others into shutting up","0,0,0"
"@LUVSHINECAFE @bradybaggett We need to outlaw Islam outright.","0,0,1"
"@haroonstyles @greenlinerzjm @halalflaws @biebervalue You try again. Mohammed screwed Aisha when she was 9. http://t.co/gJ5Ob13HFX","0,0,0"
"@NNdabbour64 You have to be an idiot to think that you can follow an ideology of murder, imperialism, hatred and have people like you for it","0,0,0"
"@discerningmumin Islam has never been a resistance to oppression. It has always been source of oppression to both believers and non believer","0,0,0"
"@obsurfer84 They welcomed Islam with a sword at their throats. There was nothing kind about Islam. It was a religion designed for thugs.","0,0,1"
"@anjemchoudary Nothing desperate about it. Humanity realizes now that Islam declared war on it 1400 years ago and Islam will be destroyed.","0,0,0"
"RT @AmyMek: #IslamLOVESWomen Muslim files suit AGAINST law banning child marriage,"OFFENDS Islam" http://t.co/bPPiSINSS8 #IWD2015 http://t.���","0,1,1"
"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Only because there were too many Hindus to exterminate before the British...","0,0,1"
"@CherguiaMbark Every Muslim convert becomes Muslim propaganda.","0,0,0"
"RT @sudixitca: You say Islam is a religion. I say it is a cult. Islam's activities match the description of crime mafia. You must bust it. ���","0,0,0"
"@zh_ha89 You just proved that you are stupid.  I just showed you the Hadiths where Mohammed calls women stupid and you still deny it.","0,1,0"
"@teddyboylocsin @tweetybird2009 @PatVPeters Mohammed had people,who disagreed with him murdered. ISIS murders the same.","0,0,1"
"@harmlesstree2 @MaxBlumenthal Not only them. Mohammed ejected the other 2 Jewish tribes from Medina and later slaughtered them at Khybar.","0,0,1"
"@rayyoosheh 51 Christians or Hindus have been murdered for blasphemy by Muslim mobs in Pakistan alone. Why should Israel be subject to that?","0,0,0"
"@doammuslims @ajwatamr Scum bag Islamists evacuated all the Christian and Ezidi civilians from their homes in Mosul, Raqqa, Sinjar.","0,0,0"
"@pNibbler @AlterNet @MaxBlumenthal million Muslims are extremists.","0,0,1"
"@greenlinerzjm Islam declared war on all humanity 1400 years ago and denying it is simply a lie.","0,0,0"
"@Number10gov I'm totally sick of these politically expedient statements after every attack by Islam on humanity.","0,0,1"
"@scamp_faridxx @AbuAlbaraaSham Islam declared war on all humanity 1400 years ago, so talking about murderers of Muslims is total hypocrisy.","0,0,1"
"@biebervalue @greenlinerzjm Mohammed had people murdered who disagreed with him. He raped women. He married a 6 year old. He beheaded Jews.","0,1,1"
"RT @joe_nuzz: Graphic of growth of Radical Islam following 6 years of care,nurture,coddling by US Democrats #Islamists http://t.co/3YAx9Wpm���","0,0,0"
"@ZamiraTwitt On the contrary, the brutal, bigoted, 2 god of Islam encourages the abuse of women. http://t.co/AFuW9Veuu6","0,1,0"
"@KamelNasrEldien True, no other ideology is as vile, murderous, backwards and stupid as Islam.","0,0,0"
"@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53 ISIS has slavery because the prophet Mohammed was a slave owner and trader.","0,0,0"
"@DecolonisedSoul Islam declared war on all humanity 1400 years ago.  It's time we recognize that and respond.","0,0,0"
"@roisin_morgan Then you are a total idiot, because Muslims are killing people around the globe. They are at war with every religion on earth","0,0,1"
"RT @Canine_Rights: @KizzyCoy1 exactly, is this why Europe has Sharia no go zones, so they can hide their child rapists?","0,0,1"
"@Dr_Jreid Iran where there is no human freedom and where they murder Kurds, gays, apostates, political opponents.","1,0,1"
"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR","0,1,1"
"@sajid_fairooz @IsraeliRegime And periodically the Muslims went on rampages and murdered masses of Jews. This happed all over Muslim world.","0,0,1"
"@Vandaliser @sajid_fairooz @IsraeliRegime There was no Muslim golden age. Those states were always slave states.","0,0,0"
"@IAmThe1Teacher You can preach coexistence all you want.  To Islamist you are just a useful idiot.","0,0,0"
"RT @riwired: There is no "moderate Islam" Islam is #Islam. #Sharia is Islam, no difference. @itsomar99 @VileIslam @BasimaFaysal http://t.co���","0,0,0"
"Following the example of the pedophile prophet Mohammed in every detail, one ISIS militant is marrying a 7 year old child in Mosul. #Islam","0,1,0"
"@greenlinerzjm You should be attacking everyone that follows a religious cult of hated and murder like Islam.","0,0,0"
"@CherguiaMbark @Nebula1979 I'm not interested in your sectarian divisions. Shia and Sunni are all following the vile pedophile prophet.","0,0,0"
"@aliabdalhamid @izrinhariri In Islam, the only "innocent souls" are Muslims.  Anyone else is fair game for any abuse.","0,0,0"
"@HillaryGuess @riwired @izrinhariri @AtharHKhan Turkey and Egypt used to be mostly Christian and the Muslims have mostly exterminated them.","0,0,1"
"@BDSSupporter There are 1.5 billion Muslims idiot. For the size of their population they contribute virtually nothing.","0,0,1"
"@MaxBlumenthal @NYTOpinionator @Volker_Beck Blumenthal's silence on the Muslim Jihad against humanity, and it's cost.","0,0,1"
"@buellerishere @KellyTurner99 Since the Islamist Erdogan came to power,women's employment in Turkey fell 30%.He considers them baby machines","0,1,0"
"@MaxBlumenthal The Arabian Peninsula was once full of Jews and Christians. They were decimated by the Muslims. Max is helping them finish it","0,0,1"
"RT @Greg389: #Islam dominates our crime, prison &amp; welfare system &amp; national security. Why are we still importing it? @PeterDutton_MP  #amag���","0,0,1"
"@ingyusarms The Quran writer imagined god as egotistical and as wanting to be worshiped and bowed to because he was unsophisticated.","0,0,0"
"@Love___Egypt @washingtonpost Muslims kill 50 times that many innocent non Muslims every day, so I don't care.","0,0,1"
"@ClassicDCoy @billmaher What - are you stupid.  There is nothing that compares to the inhumanity and barbarity of Islam.","0,0,0"
"@biebervalue @greenlinerzjm Here is the Quran telling men they can beat their wives and that men are superior. http://t.co/8xldNwbvZx","0,1,0"
"RT @Angelemichelle: RT @PhxKen: ISLAM: CONTRIBUTING NOT ONE DAMN THING TO HUMANITY FOR 1400 YEARS. http://t.co/dajGDn1Wy3 WELL EXCEPT MURDE���","0,0,0"
"@truaemusic Buddha said that slavery was unacceptable 1100 years before the slave trader Mohammed came along.","0,0,1"
"@UmarMal All the rest are impoverished, like every Muslim country that doesn't have an ocean of oil.","0,0,0"
"@HNK2TheRescue @AtheiStranger @Independent @IndyVoices It doesn't count for the vile people practicing vile Islam. http://t.co/5uNZKCyP3i","0,0,0"
"@dankmtl @AAlwuhaib1977 @PeaceNotHate_ No asshole, the Israelis are defending themselves against this. https://t.co/8cmfoOZwxz","0,0,0"
"@PoliticalAnt @Lithobolos @ZaibatsuNews All Muslims share an ideology that is spelled out as bigoted, 2, imperialists, 1.","0,0,1"
"RT @NuritBaytch: .@MaxBlumenthal resents that journalists are reporting on the antisemitism by BDSers at UCLA.

bad press for the BDS mvmt,���","0,0,1"
"@MaDaSaHaTtEr_17 @buttercupashby Another lie about the "few bad seed" All the polls show Muslim extremism. http://t.co/XIHmeTALon","0,0,1"
"@AAlwuhaib1977 @dankmtl @PeaceNotHate_ the abuse that Christians who are stuck living with violent Muslims endure.","0,0,1"
"RT @sudixitca: Some people work very hard to make this world a better place, while others work very hard to book a drink and sex party in t���","0,0,0"
"@FarooqSumar @NafeezAhmed @MaxBlumenthal The Jews lived on 40% of the Arabian penninsula before the pedophile prophet started to murder them","0,0,1"
"@harmlesstree2 Your pedophile Prophet made it exceedingly clear what his intentions were for Jews and Christians. http://t.co/gVJcnOh5bm","0,0,1"
"@yuskan0723 The filthy Palestinians have attacked and murdered Jewish children in their schools in the past.  So fuck Palestinians.","0,0,1"
"@batchelorshow @edgeofthesandbx @FearDept Ask the Muslims.  They are the ones killing all the Jews.","0,0,1"
"@reza_rahman That's an excuse and a cop out.  Every single Islamic nation is repressive. They produce either dictators or theocrats.","0,0,0"
"@discerningmumin What are you talking about provocation? Islam declared war with the world.  That is more than enough provocation.","0,0,0"
"@ibnHlophe @eeviewonders @CTFleaMarkets Jews used to live on 40% of the Arabian Penninsula.  Muslims have virtually exterminated them.","0,0,1"
"@98Halima @johnnygjokaj @BilalIGhumman @cdnKhadija @rfrankh53 I know that the scum Mohammed engraved hatred for Jews into Islam.","0,0,1"
"@MoAnsar @arennie44 Furthermore, Islam demands that women be locked in their homes and covered. Stop lying. http://t.co/iVd1vihPFa","0,1,1"
"@roisin_morgan But Islamolunatic live by Islam and Sharia trying to fulfill Mohammed's wish to exterminate all Jews from peninsula.","0,0,1"
"@CamilleHughes16 @anthfieg1 @_Watch_Observe_ How many times do I have to tell you that most Muslims are extremists. http://t.co/n4sK0jFvmf","0,0,1"
"@_d_n_verg_ @stevesalaita Look at this ranting lunatic Palestinian. Interesting what he tells us. https://t.co/8cmfoOZwxz","0,0,1"
"@ibnHlophe @sibanda_tapson @CTFleaMarkets Okay, we understand that you and your religion are terrorists.  Don't @ me any more.","0,0,0"
"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime Jesus didn't murder, rape, rob, go to war or own slaves like Mohammed.","0,0,1"
"@KellyTurner99 @brushyblues @buellerishere The rapist represent Islam because it's approved in the Quran and Hadiths, microbrain.","0,0,1"
"@J_Eddine @DiversityRUs Bad logic.  If all Muslims did what their books of hatred and murder tell them they would all be dead.","0,0,1"
"@birdSTL @MurdaMookez How can Palestine be free when it is ruled by Islamofascists that behead gays,practice honor killing,murder opposition","1,1,0"
"@harmlesstree2 And this proved to be true.When there was no one left to steal from in the Saudi area they became broken down criminal places","0,0,1"
"@MalickBee Already did.  Found out that Islam is a vile, bigoted, hateful, murdering, 2, slavery supporting cult.","0,0,0"
"@teddyboylocsin @tweetybird2009 @PatVPeters ISIS practices slavery and rape, Mohamed practiced slavery and rape.","0,0,0"
"@_Jihadi_ @ansaralummah2 @lIlIlllIlIllI Democracy only means that people get to elect their leaders. Islam means they are ruled by freak god","0,0,0"
"@Vandaliser @sajid_fairooz @IsraeliRegime Islam is the religion of hatred and bigotry. http://t.co/speHOyfjU1","0,0,0"
"@dankmtl @PeaceNotHate_ Mohammed stated clearly in the Hadith that he wanted Muslims to breed like rats so he could take over the world.","0,0,1"
"@asem_1994 Mohammed was a slave owner and the Quran allows slavery. So ISIS returns to slavery. http://t.co/aVPyjTEK1Z","0,0,0"
"RT @xertx3: Islam is a Worldwide mega disaster .Islam wants to drag us down to the 7th century, darkness, death and  destruction.","0,0,0"
"@JihadiA8 @Lisa_Marie74 Islam declared war on all mankind 1400 years ago, now Muslims cry like babies when others respond in kind.","0,0,1"
"@discerningmumin Killing people because they believe differently than you and express that is not an excuse for murder except among Muslims.","0,0,1"
"@BDSSupporter The Zionist label is just something scum like you use to attack Jews.","0,0,1"
"@MEAN_MARINE One of the first thing the prophet Mohammed did in his Islamic quest was to start  murdering Jews.  It has never really stopped","0,0,1"
"@IAmThe1Teacher @IronmanL1 @stevecorrales80 It's utterly stupid to  tolerate the intolerance of Islam.","0,0,0"
